SA1_CODE_2021,Nepal_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12501158202,2141,2542,0.8422501966955154,True,480,1800,2122,3.6,0.22620169651272384,0.19575146813601102,Affordable,Affordable
12501158204,1634,2033,0.8037383177570093,True,500,2115,2112,3.2,0.23674242424242425,0.23109702797202797,Affordable,Affordable
12503148154,1367,1789,0.7641140301844606,True,480,2000,2066,2.7,0.23233301064859632,0.2233971256236503,Affordable,Affordable
12003168036,1314,1403,0.9365645046329294,True,440,2000,1808,2.6,0.24336283185840707,0.25527569775357384,Affordable,Affordable
12501158307,1204,1747,0.6891814539210075,True,400,2000,1807,3.0,0.22136137244050913,0.25541696820058746,Affordable,Affordable
12003139627,1192,5899,0.20206814714358365,True,470,2135,2022,2.7,0.2324431256181998,0.2436658297192422,Affordable,Affordable
12501158239,1187,1302,0.9116743471582182,True,500,1292,2075,3.5,0.24096385542168675,0.14368860055607044,Affordable,Affordable
11903166422,1108,1599,0.6929330831769857,True,383,1605,1530,2.5,0.2503267973856209,0.2420814479638009,Affordable,Affordable
12503148149,1105,1141,0.9684487291849255,True,470,1975,2392,3.0,0.19648829431438128,0.19053897607409312,Affordable,Affordable
11904138130,1060,1563,0.6781829814459372,True,500,2167,2166,3.0,0.23084025854108955,0.23087577242701895,Affordable,Affordable
11903166421,1058,1196,0.8846153846153846,True,455,1950,1989,2.9,0.22875816993464052,0.22624434389140272,Affordable,Affordable
12501158238,1040,1605,0.6479750778816199,True,450,1993,1883,3.2,0.23898035050451408,0.24425017361820336,Affordable,Affordable
12501158234,977,1358,0.719440353460972,True,480,2165,2035,3.2,0.23587223587223588,0.2455112455112455,Affordable,Affordable
12003168004,955,1303,0.7329240214888718,True,500,2167,2221,2.7,0.22512381809995496,0.2251584525335088,Affordable,Affordable
12501158308,905,1140,0.793859649122807,True,420,1900,1687,2.9,0.24896265560165975,0.25990606903469976,Affordable,Affordable
12003168016,896,1540,0.5818181818181818,True,470,2500,2166,2.9,0.2169898430286242,0.26635414447048794,Affordable,Affordable
11904138149,878,1414,0.620933521923621,True,490,2177,2051,2.8,0.23890784982935154,0.2449461800997637,Affordable,Affordable
11903137427,865,1173,0.7374254049445865,True,480,2000,2031,3.1,0.2363367799113737,0.22724690376093626,Affordable,Affordable
12503148157,855,1408,0.6072443181818182,True,410,1914,1925,2.3,0.21298701298701297,0.22945054945054946,Affordable,Affordable
12003168035,832,1438,0.5785813630041725,True,500,2102,2067,2.8,0.24189646831156264,0.23467678910349446,Affordable,Affordable
12003168028,811,1122,0.7228163992869875,True,480,2167,2326,2.5,0.2063628546861565,0.2149943779350486,Affordable,Affordable
12501158313,811,1554,0.5218790218790219,True,400,1517,1577,3.2,0.2536461636017755,0.22198917125993853,Affordable,Affordable
12501158237,799,1106,0.7224231464737794,True,500,2200,2008,3.1,0.24900398406374502,0.25283481458780266,Affordable,Affordable
12501158301,793,1077,0.7363045496750232,True,430,1604,1895,3.2,0.22691292875989447,0.19533184493606656,Affordable,Affordable
12501158306,781,1349,0.5789473684210527,True,350,1506,1420,2.6,0.24647887323943662,0.2447453954496208,Affordable,Affordable
12501158319,773,1145,0.6751091703056769,True,480,2049,1886,3.1,0.2545068928950159,0.2507137613182152,Affordable,Affordable
21003153616,768,1664,0.46153846153846156,True,353,1647,1619,2.6,0.21803582458307597,0.2347602983798166,Affordable,Affordable
12003168032,767,934,0.8211991434689507,True,340,2200,1447,2.2,0.2349689011748445,0.3508585402158312,Affordable,Moderately_Affordable
