SA1_CODE_2021,Philippines_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
50402105432,952,2179,0.43689765947682424,True,320,1980,2102,2.8,0.1522359657469077,0.21737539339822878,Affordable,Affordable
11601130604,921,6344,0.14517654476670871,True,453,2600,2928,3.9,0.15471311475409835,0.20491803278688525,Affordable,Affordable
11601130652,913,1831,0.4986346258874932,True,470,2200,2521,3.3,0.18643395477984925,0.2013852866689043,Affordable,Affordable
21203155736,868,1998,0.4344344344344344,True,401,2100,2232,3.9,0.1796594982078853,0.21712158808933002,Affordable,Affordable
50604113633,834,1090,0.7651376146788991,True,370,2000,2533,3.7,0.1460718515594157,0.182210209845425,Affordable,Affordable
11603131931,742,1411,0.52586817859674,True,435,2167,2250,3.4,0.19333333333333333,0.22225641025641027,Affordable,Affordable
50703117429,733,1128,0.649822695035461,True,300,1751,1547,2.8,0.19392372333548805,0.26120033812341503,Affordable,Affordable
11603131506,707,1604,0.4407730673316708,True,490,2200,2705,3.8,0.18114602587800369,0.18768662021896773,Affordable,Affordable
11602162902,700,2856,0.24509803921568626,True,600,2835,2859,3.3,0.2098635886673662,0.22883202841230124,Affordable,Affordable
21203155710,652,929,0.7018299246501615,True,445,2281,2466,4.3,0.18045417680454176,0.2134568594422609,Affordable,Affordable
50701125926,628,810,0.7753086419753087,True,315,2157,2143,2.9,0.14699020065328977,0.23227682257080298,Affordable,Affordable
11603131522,622,1524,0.40813648293963256,True,400,2167,2276,3.4,0.1757469244288225,0.2197174530214952,Affordable,Affordable
11602163212,603,2562,0.23536299765807964,True,458,2000,2064,2.3,0.22189922480620156,0.22361359570661896,Affordable,Affordable
11603131956,591,1113,0.5309973045822103,True,410,1972,1792,2.9,0.22879464285714285,0.2539491758241758,Affordable,Affordable
11603131525,588,1807,0.3254012174875484,True,505,2383,2303,3.7,0.21927920104211898,0.23878553057884364,Affordable,Affordable
50703116937,577,1416,0.4074858757062147,True,380,1928,2160,3.1,0.17592592592592593,0.20598290598290597,Affordable,Affordable
31202135003,576,2361,0.24396442185514614,True,400,1887,2245,2.8,0.17817371937639198,0.1939695048826452,Affordable,Affordable
50604113448,547,1094,0.5,True,180,1900,1322,2.6,0.1361573373676248,0.3316653089724194,Affordable,Moderately_Affordable
11603131937,545,1204,0.4526578073089701,True,445,2167,2339,3.2,0.19025224454895254,0.21379945407307527,Affordable,Affordable
11603131505,527,772,0.6826424870466321,True,445,2302,2579,3.6,0.17254749903063202,0.2059832373907597,Affordable,Affordable
31303137017,524,720,0.7277777777777777,True,380,1495,1825,3.2,0.20821917808219179,0.18904109589041096,Affordable,Affordable
11601156104,513,1713,0.29947460595446584,True,430,1970,1907,2.8,0.22548505506030414,0.23839296518897987,Affordable,Affordable
50701125921,504,830,0.6072289156626506,True,475,2200,2516,3.1,0.18879173290937998,0.20178549590314296,Affordable,Affordable
11601130624,502,978,0.5132924335378323,True,400,2400,1721,3.1,0.23242300987797793,0.32181647521566176,Affordable,Moderately_Affordable
11601130630,502,1039,0.48315688161693937,True,393,2000,1887,3.1,0.2082670906200318,0.24458847988259752,Affordable,Affordable
50703116935,502,1204,0.4169435215946844,True,335,1733,1660,2.5,0.20180722891566266,0.24091751621872104,Affordable,Affordable
11603131945,491,1298,0.3782742681047766,True,440,2200,2302,3.5,0.19113814074717636,0.22054400855443426,Affordable,Affordable
50703116921,488,1555,0.31382636655948554,True,309,1559,1485,2.6,0.2080808080808081,0.24226884226884227,Affordable,Affordable
11603131914,481,1402,0.34308131241084167,True,420,1848,1970,3.6,0.2131979695431472,0.21647793830534948,Affordable,Affordable
11603131936,478,968,0.493801652892562,True,490,2200,2456,3.5,0.1995114006514658,0.2067151089952393,Affordable,Affordable
31303137001,476,960,0.49583333333333335,True,340,1083,1402,2.7,0.24251069900142652,0.17826182376824318,Affordable,Affordable
50703116917,470,1535,0.30618892508143325,True,320,1517,1600,2.6,0.2,0.21879807692307693,Affordable,Affordable
11601130601,465,1042,0.44625719769673705,True,550,2327,2708,3.6,0.20310192023633677,0.198301329394387,Affordable,Affordable
11601130638,457,1378,0.3316400580551524,True,400,2167,2031,3.2,0.19694731659281142,0.24622202022497444,Affordable,Affordable
70102101207,457,1172,0.38993174061433444,True,400,2500,1843,2.8,0.21703743895822028,0.3130347677282023,Affordable,Moderately_Affordable
11603131929,450,1278,0.352112676056338,True,400,1900,1674,3.0,0.23894862604540024,0.26192445547284254,Affordable,Affordable
11603131523,430,1236,0.3478964401294498,True,445,2113,2379,3.8,0.18705338377469524,0.2049665340964206,Affordable,Affordable
11603131946,430,976,0.4405737704918033,True,420,2167,2029,3.4,0.20699852143913258,0.246464723054176,Affordable,Affordable
50601111724,424,1588,0.26700251889168763,True,325,1950,2243,3.4,0.14489522960321,0.20062416406598305,Affordable,Affordable
11603131514,422,1143,0.36920384951881013,True,420,2037,2240,3.2,0.1875,0.20985576923076923,Affordable,Affordable
11601130617,420,854,0.4918032786885246,True,583,2575,2516,3.4,0.23171701112877582,0.23618075088663323,Affordable,Affordable
11603131535,420,1181,0.3556308213378493,True,405,1950,1980,3.2,0.20454545454545456,0.22727272727272727,Affordable,Affordable
11601130628,418,750,0.5573333333333333,True,360,2200,1452,2.6,0.24793388429752067,0.34965034965034963,Affordable,Moderately_Affordable
11603131742,417,1126,0.3703374777975133,True,400,2000,1660,3.4,0.24096385542168675,0.27803521779425394,Affordable,Affordable
11603131544,414,1193,0.347024308466052,True,380,1950,1769,3.0,0.21481062747314866,0.25438100621820237,Affordable,Affordable
11602162912,410,1616,0.2537128712871287,True,575,2817,2555,3.3,0.22504892367906065,0.2544332379948818,Affordable,Affordable
11603131542,408,844,0.4834123222748815,True,425,2040,2261,3.4,0.18796992481203006,0.20821283979178715,Affordable,Affordable
11603131643,404,1809,0.22332780541735767,True,530,2500,2591,3.8,0.2045542261675029,0.22266425199655612,Affordable,Affordable
50703116931,400,1248,0.32051282051282054,True,380,2000,2181,3.3,0.17423200366804217,0.21161781822029416,Affordable,Affordable
11603131950,400,899,0.44493882091212456,True,460,2141,2264,3.5,0.20318021201413428,0.21823185648273988,Affordable,Affordable
11603131536,399,1739,0.22944220816561242,True,430,2490,2113,3.4,0.20350212967345008,0.27194291747060323,Affordable,Affordable
21203130044,398,1970,0.2020304568527919,True,386,2000,2015,2.7,0.19156327543424317,0.22905134567665586,Affordable,Affordable
11603131952,397,1135,0.3497797356828194,True,450,2000,2219,3.2,0.20279405137449302,0.20799389884563385,Affordable,Affordable
11603131762,392,889,0.4409448818897638,True,395,1878,1819,3.4,0.217152281473337,0.23825432401573138,Affordable,Affordable
50703116936,389,933,0.41693461950696675,True,350,2013,2312,3.3,0.1513840830449827,0.20092494011179132,Affordable,Affordable
11603131520,387,1346,0.287518573551263,True,400,1900,2110,3.1,0.1895734597156398,0.20780167699598978,Affordable,Affordable
50102125102,383,1947,0.19671289162814587,True,350,1517,1727,2.7,0.2026635784597568,0.20270811990557214,Affordable,Affordable
11004120415,379,2216,0.17102888086642598,True,365,1579,1895,3.1,0.19261213720316622,0.19228739598132738,Affordable,Affordable
30805153318,377,1929,0.19543805080352514,True,250,1517,1409,2.6,0.177430801987225,0.24845771687503412,Affordable,Affordable
50604113631,375,1689,0.22202486678507993,True,322,1600,1809,3.5,0.17799889441680486,0.20410766679423395,Affordable,Affordable
11601130641,375,1075,0.3488372093023256,True,375,1844,1633,2.9,0.22963870177587262,0.2605869329690518,Affordable,Affordable
70104104210,372,1219,0.3051681706316653,True,600,2390,3137,3.4,0.19126554032515142,0.17581716976042766,Affordable,Affordable
31303137013,372,815,0.456441717791411,True,335,1343,1375,2.8,0.24363636363636362,0.2253986013986014,Affordable,Affordable
11603131402,365,1024,0.3564453125,True,422,2235,2094,3.3,0.20152817574021012,0.24630813312761737,Affordable,Affordable
21304157212,364,1474,0.24694708276797828,True,390,2000,2356,3.4,0.16553480475382004,0.19589917722345565,Affordable,Affordable
11603131642,364,2474,0.1471301535974131,True,490,2297,2291,3.5,0.2138804015713662,0.23137360239062552,Affordable,Affordable
11601130611,364,907,0.4013230429988975,True,460,2184,2387,3.3,0.19271051529116046,0.21114369501466276,Affordable,Affordable
70104104218,359,1116,0.3216845878136201,True,560,2383,2695,3.0,0.2077922077922078,0.2040530897673755,Affordable,Affordable
50403105750,358,1298,0.275808936825886,True,262,1900,1929,2.9,0.13582166925868325,0.2272999162579256,Affordable,Affordable
11602163113,355,1402,0.25320970042796004,True,605,2843,3050,3.8,0.19836065573770492,0.21510718789407313,Affordable,Affordable
11603131944,352,944,0.3728813559322034,True,475,2200,2883,3.8,0.16475893166840097,0.17609861522452575,Affordable,Affordable
11603131954,352,1436,0.24512534818941503,True,460,2080,2169,3.9,0.21207929921622867,0.22130013831258644,Affordable,Affordable
11603131647,352,1976,0.17813765182186234,True,480,2266,2343,3.6,0.20486555697823303,0.22318526543878656,Affordable,Affordable
11602163115,350,857,0.40840140023337224,True,590,2745,2934,3.6,0.2010906612133606,0.21590372817366682,Affordable,Affordable
70102101208,349,709,0.4922425952045134,True,635,2575,3214,3.5,0.19757311761045426,0.1848882293810732,Affordable,Affordable
11601130424,349,1398,0.24964234620886983,True,450,2500,2393,3.4,0.1880484747179273,0.24108778809990677,Affordable,Affordable
11602162930,347,1199,0.28940783986655544,True,555,2700,2874,3.4,0.1931106471816284,0.2167978159627429,Affordable,Affordable
11603131512,338,1115,0.3031390134529148,True,430,2500,2849,3.8,0.15093015093015094,0.2025002025002025,Affordable,Affordable
11603131646,334,1298,0.2573189522342065,True,480,2167,2355,3.4,0.20382165605095542,0.2123468887800098,Affordable,Affordable
11603131916,330,1036,0.3185328185328185,True,410,2167,1919,3.1,0.2136529442417926,0.26059245600673425,Affordable,Affordable
11601130616,330,626,0.5271565495207667,True,470,2400,2200,3.2,0.21363636363636362,0.2517482517482518,Affordable,Affordable
11603131504,330,1047,0.3151862464183381,True,420,1950,1731,3.2,0.24263431542461006,0.25996533795493937,Affordable,Affordable
12405158002,329,1697,0.19387153800824986,True,403,1952,1477,2.8,0.2728503723764387,0.3049841154106557,Affordable,Moderately_Affordable
11601130613,327,887,0.3686583990980834,True,433,2167,2356,3.2,0.183786078098472,0.2122567585216142,Affordable,Affordable
31403139420,326,1711,0.19053185271770895,True,450,1820,2140,2.8,0.2102803738317757,0.19626168224299065,Affordable,Affordable
11601130614,324,1403,0.23093371347113328,True,500,2509,2141,3.0,0.23353573096683794,0.27043437645959834,Affordable,Affordable
50703117407,322,1144,0.28146853146853146,True,250,1733,1962,2.9,0.127420998980632,0.2038343919077864,Affordable,Affordable
21301157003,320,1352,0.23668639053254437,True,401,2000,2279,3.5,0.17595436594997807,0.20251797347014547,Affordable,Affordable
11602162918,317,1534,0.20664928292046936,True,600,3033,3291,3.6,0.18231540565177756,0.21267793282378514,Affordable,Affordable
11601130625,316,1213,0.2605111294311624,True,380,2200,1645,2.9,0.23100303951367782,0.30862754267009584,Affordable,Moderately_Affordable
11603131537,315,1182,0.26649746192893403,True,410,2167,2008,3.4,0.20418326693227093,0.2490422923689856,Affordable,Affordable
11603131649,312,1692,0.18439716312056736,True,490,2400,2323,3.5,0.21093413689195006,0.2384184906784993,Affordable,Affordable
11603131404,311,752,0.41356382978723405,True,450,2167,2368,3.5,0.19003378378378377,0.21118113305613306,Affordable,Affordable
11603131907,310,844,0.36729857819905215,True,430,2200,2125,3.5,0.2023529411764706,0.23891402714932128,Affordable,Affordable
11603131926,309,1089,0.2837465564738292,True,400,2500,2399,3.6,0.16673614005835766,0.240484817391862,Affordable,Affordable
11601130619,308,1042,0.29558541266794625,True,450,2167,2692,3.6,0.16716196136701336,0.18576408732426564,Affordable,Affordable
11602163026,306,1350,0.22666666666666666,True,570,2800,2760,3.6,0.20652173913043478,0.23411371237458195,Affordable,Affordable
11601130602,302,850,0.3552941176470588,True,500,2376,2770,3.7,0.18050541516245489,0.19794501527353514,Affordable,Affordable
11603131737,302,842,0.3586698337292161,True,363,1608,1462,3.3,0.24829001367989056,0.25381458486793645,Affordable,Affordable
50403106608,300,1880,0.1595744680851064,True,295,1300,1172,1.9,0.25170648464163825,0.25597269624573377,Affordable,Affordable
50403105745,300,1020,0.29411764705882354,True,390,1950,2132,2.8,0.18292682926829268,0.21106941838649157,Affordable,Affordable
11603131501,300,754,0.3978779840848806,True,400,2029,1774,3.6,0.2254791431792559,0.2639406816407944,Affordable,Affordable
11602156322,298,1975,0.1508860759493671,True,410,1918,1971,2.6,0.20801623541349568,0.22456386839948483,Affordable,Affordable
11603131948,297,1225,0.24244897959183673,True,400,2059,2050,3.2,0.1951219512195122,0.23178236397748592,Affordable,Affordable
11602162922,295,1180,0.25,True,600,3000,3076,3.9,0.19505851755526657,0.22506752025607682,Affordable,Affordable
11602162908,294,1357,0.21665438467207074,True,600,3000,2899,3.7,0.20696791997240427,0.23880913842969725,Affordable,Affordable
21304146113,288,2743,0.10499453153481589,True,500,2500,2801,3.7,0.1785076758300607,0.20597039518853158,Affordable,Affordable
11601156111,286,1364,0.20967741935483872,True,390,1800,1656,2.4,0.23550724637681159,0.2508361204013378,Affordable,Affordable
50601111049,286,1314,0.2176560121765601,True,380,1651,2042,2.9,0.1860920666013712,0.18658178256611166,Affordable,Affordable
21305158603,285,1979,0.14401212733703891,True,379,2100,2214,2.9,0.17118337850045168,0.2188868042526579,Affordable,Affordable
11603131645,281,1879,0.14954763171899946,True,425,1971,1174,2.3,0.36201022146507666,0.3874328397326694,Moderately_Affordable,Moderately_Affordable
40402110105,279,1297,0.2151117964533539,True,250,1517,1303,2.7,0.1918649270913277,0.26866993329004074,Affordable,Affordable
11601130332,279,1291,0.2161115414407436,True,450,2000,2116,2.5,0.21266540642722118,0.2181183655663807,Affordable,Affordable
50703116946,278,828,0.3357487922705314,True,253,1931,2412,3.0,0.10489220563847429,0.18474933027171833,Affordable,Affordable
11603131543,276,1177,0.2344944774851317,True,425,2167,2221,3.5,0.19135524538496174,0.2251584525335088,Affordable,Affordable
70104104219,276,1374,0.20087336244541484,True,565,2167,2392,2.8,0.23620401337792643,0.20906225881142268,Affordable,Affordable
11601130618,276,521,0.5297504798464492,True,461,2249,3175,3.5,0.14519685039370078,0.16346456692913386,Affordable,Affordable
21304157408,273,2164,0.12615526802218113,True,415,2000,2223,2.9,0.1866846603688709,0.2076196408180214,Affordable,Affordable
11603131739,271,1338,0.20254110612855009,True,340,1705,1581,3.1,0.21505376344086022,0.248868778280543,Affordable,Affordable
11603131527,271,706,0.3838526912181303,True,425,2113,2299,3.5,0.1848629839060461,0.2120989058788102,Affordable,Affordable
11603131938,269,658,0.4088145896656535,True,335,2000,1728,3.1,0.19386574074074073,0.2670940170940171,Affordable,Affordable
50604113252,269,765,0.3516339869281046,True,405,1840,2177,3.4,0.18603582912264585,0.19504611144482528,Affordable,Affordable
11603131703,269,998,0.2695390781563126,True,400,2167,1523,3.3,0.262639527248851,0.3283499166624577,Affordable,Moderately_Affordable
11601156132,268,714,0.3753501400560224,True,520,2399,2562,3.7,0.2029664324746292,0.21608719149702757,Affordable,Affordable
40703116543,268,1372,0.19533527696793002,True,246,1181,1135,2.6,0.21674008810572687,0.24012199254490002,Affordable,Affordable
50102101407,268,991,0.2704339051463169,True,300,1300,1183,2.5,0.25359256128486896,0.25359256128486896,Affordable,Affordable
11603131411,268,1091,0.2456461961503208,True,420,2058,1992,3.0,0.21084337349397592,0.23841519925857274,Affordable,Affordable
50403129915,268,1127,0.2377994676131322,True,380,2002,2129,2.9,0.17848755284170972,0.217003287928605,Affordable,Affordable
70102102116,267,1563,0.1708253358925144,True,325,2704,3175,3.4,0.10236220472440945,0.19653543307086613,Affordable,Affordable
11601130615,267,772,0.34585492227979275,True,470,2167,2421,3.3,0.19413465510119784,0.20655800209703556,Affordable,Affordable
31004129933,265,1590,0.16666666666666666,True,370,1890,2062,3.0,0.17943743937924345,0.21151980899798553,Affordable,Affordable
50605113847,264,1595,0.16551724137931034,True,440,2000,2303,3.5,0.1910551454624403,0.20040749524032198,Affordable,Affordable
11602156340,263,1240,0.2120967741935484,True,490,2400,2489,3.3,0.19686621132985135,0.22251753870878016,Affordable,Affordable
21304157208,263,1725,0.15246376811594203,True,390,1952,2224,3.1,0.17535971223021582,0.20254565578306585,Affordable,Affordable
50403129920,263,712,0.3693820224719101,True,300,2000,2409,2.9,0.12453300124533001,0.1915892326851231,Affordable,Affordable
50102101411,262,658,0.3981762917933131,True,250,1387,1463,2.4,0.17088174982911825,0.21878121878121878,Affordable,Affordable
70101100802,261,1256,0.20780254777070065,True,350,1500,2037,2.2,0.1718213058419244,0.16993315962388128,Affordable,Affordable
11603131738,259,812,0.31896551724137934,True,380,1744,1676,3.5,0.22673031026252982,0.24013218285294657,Affordable,Affordable
11603131734,258,857,0.30105017502917153,True,293,1442,944,2.2,0.3103813559322034,0.35250977835723596,Moderately_Affordable,Moderately_Affordable
31402157824,257,899,0.28587319243604004,True,450,1902,2274,3.3,0.19788918205804748,0.1930180637304648,Affordable,Affordable
