SA1_CODE_2021,Vietnam_population,total_population,concentration_ratio,is_cluster,Median_rent_weekly,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size,rent_to_income_ratio,mortgage_to_income_ratio,rent_affordability,mortgage_affordability
12702151342,1370,1957,0.7000510986203372,True,395,2000,1557,3.6,0.25369299935773926,0.29642804209278195,Affordable,Affordable
21301133504,1319,2428,0.5432454695222405,True,401,1800,1809,3.2,0.2216694306246545,0.2296211251435132,Affordable,Affordable
12702151136,1252,1428,0.876750700280112,True,370,1509,1475,3.4,0.25084745762711863,0.23608865710560625,Affordable,Affordable
12702151130,1122,1104,1.016304347826087,True,325,1466,1005,2.5,0.32338308457711445,0.3366245694603904,Moderately_Affordable,Moderately_Affordable
12702151101,1103,1059,1.0415486307837583,True,320,1300,1074,2.9,0.297951582867784,0.27932960893854747,Affordable,Affordable
12702151141,1005,1350,0.7444444444444445,True,430,1517,1687,3.6,0.2548903378778897,0.2075144772240208,Affordable,Affordable
12702151150,963,1202,0.8011647254575707,True,400,1692,1336,3.2,0.2994011976047904,0.2922616305849839,Affordable,Affordable
12702151338,955,1370,0.6970802919708029,True,440,2030,1492,3.5,0.2949061662198391,0.3139822643844092,Affordable,Moderately_Affordable
12702151335,952,1381,0.6893555394641564,True,460,1798,1767,3.5,0.26032823995472554,0.23481781376518218,Affordable,Affordable
21301133415,949,1297,0.7316885119506553,True,328,1450,1045,3.0,0.3138755980861244,0.3202061096797939,Moderately_Affordable,Moderately_Affordable
21301133703,944,1147,0.8230165649520488,True,366,1733,1802,3.3,0.20310765815760268,0.22193289507384956,Affordable,Affordable
12702151112,927,1321,0.7017411052233157,True,370,1733,1798,4.0,0.20578420467185762,0.22242662787712844,Affordable,Affordable
12702151211,921,1202,0.7662229617304492,True,380,1567,1508,3.3,0.2519893899204244,0.23979800040807997,Affordable,Affordable
12702151118,917,1061,0.8642789820923656,True,320,1300,1020,2.5,0.3137254901960784,0.29411764705882354,Moderately_Affordable,Affordable
21301133726,892,1360,0.6558823529411765,True,370,1950,1596,3.0,0.23182957393483708,0.2819548872180451,Affordable,Affordable
21301133527,887,1158,0.7659758203799655,True,350,1300,1581,3.2,0.22137887413029728,0.18975332068311196,Affordable,Affordable
12702151122,877,1168,0.7508561643835616,True,350,1517,1019,2.8,0.3434739941118744,0.3435494829017891,Moderately_Affordable,Moderately_Affordable
12702151148,864,937,0.9220917822838848,True,350,1300,1308,3.2,0.26758409785932724,0.22935779816513763,Affordable,Affordable
12702151337,862,1315,0.6555133079847909,True,250,2167,1239,3.2,0.20177562550443906,0.40361333581672565,Affordable,Expensive
12702151308,862,1334,0.6461769115442278,True,400,1300,1542,3.6,0.2594033722438392,0.19455252918287938,Affordable,Affordable
12702151155,859,1225,0.7012244897959183,True,375,2000,1303,3.3,0.28779739063699156,0.3542121730916819,Affordable,Moderately_Affordable
40402110227,851,1159,0.734253666954271,True,255,1300,1224,2.9,0.20833333333333334,0.24509803921568626,Affordable,Affordable
12702151134,850,1137,0.7475813544415127,True,328,1000,1295,3.4,0.25328185328185326,0.1782001782001782,Affordable,Affordable
12702151113,848,972,0.8724279835390947,True,335,1457,1228,2.7,0.2728013029315961,0.2738035580055124,Affordable,Affordable
21204131732,840,1282,0.6552262090483619,True,451,2000,2202,3.9,0.20481380563124432,0.2095996646405366,Affordable,Affordable
21204131720,830,1186,0.6998313659359191,True,315,1200,1095,2.7,0.2876712328767123,0.2528977871443625,Affordable,Affordable
12702151301,818,867,0.9434832756632064,True,310,1300,1048,2.8,0.2958015267175573,0.2862595419847328,Affordable,Affordable
21301133805,804,3774,0.21303656597774245,True,382,2000,2103,3.1,0.18164526866381359,0.21946669592889279,Affordable,Affordable
