Country,Total_Population,Num_Clusters,Num_Anchor_Points
England,1782394,12866,1267
India,1650879,7527,2317
China,1373703,6446,2157
Vietnam,511663,2182,873
New_Zealand,492560,3808,210
Philippines,221282,1487,180
Nepal,212933,934,296
Iraq,208268,867,366
Lebanon,124094,744,152
Malaysia,100638,745,50
Italy,100218,764,67
Sri_Lanka,90252,686,41
Korea,88188,508,80
Afghanistan,85596,517,94
South_Africa,62818,482,27
Greece,52205,443,18
Cambodia,48868,279,68
Bangladesh,39061,208,55
Pakistan,38000,275,17
Indonesia,35816,178,39
Hong_Kong,33498,294,4
Macedonia,26062,203,22
Myanmar,25589,199,11
Thailand,22041,101,24
Turkey,20754,129,27
Brazil,14245,108,4
Iran,7003,57,0
Croatia,3787,31,2
Japan,2545,17,2
Singapore,2092,21,0
Egypt,907,9,1
Germany,759,4,1
Poland,735,3,1
Bosnia,503,6,0
Chile,148,2,0
Sudan,0,0,0
Serbia,0,0,0
South_Sudan,0,0,0
Somalia,0,0,0
Ethiopia,0,0,0
Ukraine,0,0,0
Russia,0,0,0
Argentina,0,0,0
Colombia,0,0,0
