Country,Total_Population,Num_Suburbs_Present,Num_Suburbs_Concentrated,Median_Income_in_Concentration_Areas,Median_Tertiary_Rate_in_Concentration_Areas,Median_Employment_Rate_in_Concentration_Areas,Correlation_Income,Correlation_Education,Correlation_Employment,Income_Score,Education_Score,Employment_Score,Composite_Score
China,548484,2136,321,883.0,74.88839285714286,59.13430935709739,0.015719446824293697,0.39176071417334235,-0.024314222741615633,50.78597234121468,69.58803570866712,48.78428886291922,57.906460992536566
India,672530,2956,403,850.0,52.95238095238095,62.698412698412696,0.04559318111053598,0.21281911913035576,0.16353949525401057,52.27965905552679,60.640955956517786,58.17697476270053,56.80364095735794
Nepal,122105,721,45,802.0,67.10875331564988,58.69554516367216,-0.013968677744441995,0.1690072502790883,0.020784306516724582,49.3015661127779,58.45036251395441,51.03921532583623,53.30861451586018
England,925886,7898,2085,758.0,31.69811320754717,57.446808510638306,0.015908823629633778,0.12215551777081632,-0.04079345164270425,50.79544118148169,56.107775888540814,47.96032741786479,52.353352311581965
South_Africa,187959,2929,31,966.0,42.12244897959184,61.79775280898876,0.09206694848544211,-0.024180988536493437,0.0876730527039615,54.60334742427211,48.79095057317533,54.383652635198075,52.234449726018596
Korea_South,101438,644,22,897.0,77.29801870909549,58.8426435408667,-0.028624274692860698,0.1453716192652814,-0.09143670806791972,48.56878626535697,57.26858096326407,45.42816459660401,51.42057981076922
Philippines,292276,3272,106,839.0,28.55556720132596,62.15462889348067,0.05714531624432569,-0.04669407285248094,0.10419128229840553,52.85726581221628,47.66529635737595,55.209564114920276,51.25093769082095
Egypt,42362,258,0,,,,0.08046234444123339,-0.04317587767409181,0.032237054171147014,54.023117222061664,47.84120611629541,51.61185270855735,51.0680998770543
Hong_Kong_SAR_Ch,99057,689,4,921.5,89.20499889592473,55.35913245966333,-0.02530988353743156,0.1370357515547288,-0.1383844740522551,48.73450582312842,56.85178757773643,43.080776297387246,50.8506726198234
Ireland,79364,943,5,1113.0,23.684210526315788,61.91852065876914,0.0690773319331415,-0.07727130786932782,0.08977287487184955,53.45386659665707,46.13643460653361,54.488643743592476,50.733849229994775
Iran,70362,554,2,702.0,6.2857142857142865,21.647587345403373,0.0296694747537379,0.007198779555344904,-0.10199986828169694,51.48347373768689,50.35993897776725,44.90000658591515,49.71736640336469
Brazil,46053,303,0,,,,0.022863219516510484,-0.04107450067328568,-0.05971310847871271,51.143160975825516,47.946274966335714,47.01434457606437,49.03864329207737
USA,99741,1749,6,668.5,34.81874731874732,53.11892732219199,0.00576245794962585,-0.04649137914972799,-0.06256332736225158,50.288122897481294,47.6754310425136,46.87183363188742,48.55978830237545
New_Zealand,528497,6784,350,790.0,22.611077297626295,59.30826201758227,0.055279624296554496,-0.13303822658775458,0.005362061125365193,52.76398121482772,43.34808867061227,50.26810305626827,48.498448565429655
Indonesia,85970,602,6,822.0,87.1413415589383,58.28486131572788,-0.11261084124629837,0.04140704795220674,-0.058400750510194555,44.369457937685084,52.07035239761034,47.07996247449027,47.991916629016224
Thailand,82406,812,5,850.0,91.29440096327514,61.39352554375316,-0.07552959842009077,-0.016915286522668514,-0.034078633072133296,46.22352007899546,49.15423567386657,48.296068346393334,47.81031597042349
Chile,29035,160,0,,,,-0.003843600987344885,-0.1976581650076158,0.1655190062197153,49.807819950632755,40.11709174961921,58.27595031098577,47.625154742297944
