Country,Total_Population,Num_Suburbs_Present,Num_Suburbs_Concentrated,Median_Income_in_Concentration_Areas,Median_Tertiary_Rate_in_Concentration_Areas,Median_Employment_Rate_in_Concentration_Areas,Correlation_Income,Correlation_Education,Correlation_Employment,Income_Score,Education_Score,Employment_Score,Composite_Score
China,548484,2136,321,883.0,74.88839285714286,59.13430935709739,0.015719446824293697,0.39176071417334235,-0.024314222741615633,50.78597234121468,69.58803570866712,48.78428886291922,57.906460992536566
India,672530,2956,403,850.0,52.95238095238095,62.698412698412696,0.04559318111053598,0.21281911913035576,0.16353949525401057,52.27965905552679,60.640955956517786,58.17697476270053,56.80364095735794
Nepal,122105,721,45,802.0,67.10875331564988,58.69554516367216,-0.013968677744441995,0.1690072502790883,0.020784306516724582,49.3015661127779,58.45036251395441,51.03921532583623,53.30861451586018
England,925886,7898,2085,758.0,31.69811320754717,57.446808510638306,0.015908823629633778,0.12215551777081632,-0.04079345164270425,50.79544118148169,56.107775888540814,47.96032741786479,52.353352311581965
South_Africa,187959,2929,31,966.0,42.12244897959184,61.79775280898876,0.09206694848544211,-0.024180988536493437,0.0876730527039615,54.60334742427211,48.79095057317533,54.383652635198075,52.234449726018596
Korea_South,101438,644,22,897.0,77.29801870909549,58.8426435408667,-0.028624274692860698,0.1453716192652814,-0.09143670806791972,48.56878626535697,57.26858096326407,45.42816459660401,51.42057981076922
Philippines,292276,3272,106,839.0,28.55556720132596,62.15462889348067,0.05714531624432569,-0.04669407285248094,0.10419128229840553,52.85726581221628,47.66529635737595,55.209564114920276,51.25093769082095
Egypt,42362,258,0,,,,0.08046234444123339,-0.04317587767409181,0.032237054171147014,54.023117222061664,47.84120611629541,51.61185270855735,51.0680998770543
Hong_Kong_SAR_Ch,99057,689,4,921.5,89.20499889592473,55.35913245966333,-0.02530988353743156,0.1370357515547288,-0.1383844740522551,48.73450582312842,56.85178757773643,43.080776297387246,50.8506726198234
Ireland,79364,943,5,1113.0,23.684210526315788,61.91852065876914,0.0690773319331415,-0.07727130786932782,0.08977287487184955,53.45386659665707,46.13643460653361,54.488643743592476,50.733849229994775
