Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly,Region,mean,median,Neighbor_Premium,Neighbor_Premium_Pct
Hornsby,SAL11943,10141.402479776376,66.84894053315105,4462.459708385811,43.00239234449761,89.26862611073138,6408.065618591935,10000.0,88.39623316674022,61.90823015294975,890,38,2.5,2679.2466333480447,22462,2240,440,0.5808124459809854,1952,Upper North Shore,67287.43198882251,50594.342940409624,-57146.02950904614,-84.9
Waitara,SAL14104,10202.568899743574,94.0533151059467,4988.867901229362,47.89815447710184,95.69377990430624,8359.535201640465,9785.714285714286,39.13756891572592,69.7271459868552,1055,36,2.4,10287.477028091362,7837,2200,490,0.4812249362012394,2106,Upper North Shore,67287.43198882251,50594.342940409624,-57084.86308907894,-84.8
Asquith,SAL10104,11851.128550478286,89.54203691045797,5007.203069656284,41.25085440874915,89.20027341079972,8226.24743677375,10000.0,83.79171067279422,61.86071817192601,1041,36,2.7,1758.3421345588447,6160,2400,490,0.5320328086898692,2300,Upper North Shore,67287.43198882251,50594.342940409624,-55436.30343834423,-82.4
Dee Why,SAL11229,12776.218886804032,84.75734791524265,4963.600335530879,37.8503075871497,78.4688995215311,8448.393711551606,9571.428571428572,84.56272901196536,50.02790957298353,1065,36,2.3,7572.878498005773,23354,2457,550,0.532394366197183,2106,Northern Beaches,63621.16451802923,48830.49623310633,-50844.9456312252,-79.9
Brookvale,SAL10598,14453.654253892188,82.15994531784006,4992.882971177057,33.54408749145591,75.32467532467533,8728.639781271359,9357.14285714286,82.71946608354972,47.512195121951216,1113,37,2.2,1543.893216709945,3389,2600,550,0.5390835579514824,2127,Northern Beaches,63621.16451802923,48830.49623310633,-49167.51026413705,-77.3
Manly Vale,SAL12486,14965.039718903496,88.79015721120984,5174.650917976007,33.57826384142173,83.73205741626795,8964.456596035543,9785.714285714286,91.77167007927758,55.17778354528938,1158,38,2.4,3354.334015855515,6389,2625,550,0.5231167795934635,2351,Northern Beaches,63621.16451802923,48830.49623310633,-48656.12479912574,-76.5
Narrabeen,SAL12911,15606.799163613605,61.51742993848257,4689.827147162986,29.0498974709501,66.09706083390294,8079.28913192071,8928.57142857143,93.78954795830109,41.6941907907519,1025,48,2.0,3757.9095916602178,8255,2600,565,0.5853658536585366,1780,Northern Beaches,63621.16451802923,48830.49623310633,-48014.365354415626,-75.5
Freshwater (NSW),SAL11572,20047.78036433326,90.29391660970607,5387.138683957851,25.871496924128508,87.14969241285031,9487.354750512644,10000.0,98.5823405346862,59.16652074943092,1355,37,2.5,5236.2765775523,9186,3055,600,0.5202952029520295,2726,Northern Beaches,63621.16451802923,48830.49623310633,-43573.38415369597,-68.5
Collaroy (NSW),SAL10970,20853.441649466145,74.98291182501708,5083.364931954282,23.376623376623385,76.8967874231032,8489.405331510594,10000.0,89.8286418278205,49.15290131300296,1074,43,2.5,2965.728365564101,7944,2800,600,0.6016330038676407,2372,Northern Beaches,63621.16451802923,48830.49623310633,-42767.72286856308,-67.2
Manly (NSW),SAL12485,21498.570182332533,86.32946001367054,5336.142030287363,23.820915926179083,95.0786056049214,9849.624060150376,9357.14285714286,89.63677516706187,68.74503924508333,1595,38,2.2,2927.3550334123734,16296,3467,725,0.5016156257535568,3164,Northern Beaches,63621.16451802923,48830.49623310633,-42122.5943356967,-66.2
Hornsby Heights,SAL11944,25261.53778194525,52.15311004784689,4785.187946350303,17.94258373205743,81.88653451811346,7501.708817498292,10000.0,67.39560496920348,53.25574951510114,967,41,3.0,621.868149076104,6354,2800,620,0.6682045978840189,2699,Upper North Shore,67287.43198882251,50594.342940409624,-42025.89420687726,-62.5
