SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
11501155412,230,641,462,84,1.3,0.358814352574103,1,0,Moderate Stress (30-50%),690,624,110.57692307692308,1,0,234,120,0.0,690,690,0.0,1,4.8,1.3,0.0,0.0,1.0,0.048,1.0,30.48,20.96,Moderate (25-50),Low (0-25),42.672,Moderate Priority
31304137314,202,664,479,75,1.5,0.3042168674698795,1,0,Moderate Stress (30-50%),550,441,124.71655328798185,1,0,27,15,0.0,550,550,0.0,1,15.6,9.5,0.0,0.0,0.908316961362148,0.156,1.0,29.72633922724296,23.12,Moderate (25-50),Low (0-25),40.70004453176163,Moderate Priority
40702117424,300,687,462,76,1.6,0.4366812227074236,1,0,Moderate Stress (30-50%),491,429,114.45221445221445,1,0,32,19,0.0,491,491,0.0,1,2.6,16.0,0.0,0.0,0.8696791093647676,0.026000000000000002,1.0,27.653582187295356,20.520000000000003,Moderate (25-50),Low (0-25),37.411806155861164,Moderate Priority
10801115218,280,703,509,61,1.6,0.39829302987197723,1,0,Moderate Stress (30-50%),495,478,103.55648535564855,1,24,437,218,11.009174311926607,495,471,0.048484848484848485,1,8.3,30.7,0.0,0.0,0.8565815324165029,0.083,0.963302752293578,27.59465817126584,20.92605504587156,Moderate (25-50),Low (0-25),37.56530924100142,Moderate Priority
31905152502,260,757,426,57,2.0,0.34346103038309117,1,0,Moderate Stress (30-50%),462,512,90.234375,1,0,69,35,0.0,462,462,0.0,1,14.8,31.1,0.0,0.0,0.8506876227897839,0.14800000000000002,1.0,28.493752455795686,22.96,Moderate (25-50),Low (0-25),38.3981296660118,Moderate Priority
11101121103,200,588,521,70,1.3,0.3401360544217687,1,0,Moderate Stress (30-50%),458,339,135.1032448377581,1,0,65,32,0.0,458,458,0.0,1,11.1,18.5,0.0,0.0,0.8480681074001309,0.111,1.0,28.07136214800262,22.220000000000002,Moderate (25-50),Low (0-25),37.780588081204975,Moderate Priority
30903123708,340,612,478,73,1.3,0.5555555555555556,1,1,Severe Stress (50%+),451,335,134.62686567164178,1,0,135,68,0.0,451,451,0.0,1,14.1,16.7,0.0,0.0,0.8434839554682384,0.141,1.0,28.279679109364768,22.82,Moderate (25-50),Low (0-25),38.02639030779306,Moderate Priority
10201102928,310,721,556,68,1.7,0.42995839112343964,1,0,Moderate Stress (30-50%),435,405,107.40740740740742,1,0,74,38,0.0,435,435,0.0,1,3.3,27.0,0.0,0.0,0.8330058939096268,0.033,1.0,26.99011787819254,20.66,Moderate (25-50),Low (0-25),36.11622396856582,Moderate Priority
31901149302,375,1105,554,67,2.1,0.3393665158371041,1,0,Moderate Stress (30-50%),425,685,62.04379562043796,1,0,209,108,0.0,425,425,0.0,1,4.5,31.4,0.0,0.0,0.8264571054354944,0.045,1.0,26.97914210870989,20.900000000000002,Moderate (25-50),Low (0-25),36.03537000654879,Moderate Priority
10202105406,253,600,477,74,1.4,0.4216666666666667,1,0,Moderate Stress (30-50%),428,319,134.1692789968652,1,5,95,43,11.627906976744185,428,423,0.011682242990654205,1,16.7,14.5,0.0,0.0,0.825147347740668,0.16699999999999998,0.9612403100775194,27.78535005558855,22.56480620155039,Moderate (25-50),Low (0-25),37.538560454455464,Moderate Priority
