SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority
10402108942,175,550,550,73,1.0,0.3181818181818182,1,0,Moderate Stress (30-50%),8,9,88.88888888888889,1,0,5,0,0.0,8,8,0.0,0,100.0,16.7,0.0,0.0,0.5533726260641781,1.0,1.0,31.067452521283567,40.0,Moderate (25-50),Moderate (25-50),39.02815979043877,Moderate Priority
10804162027,0,0,342,87,0.0,,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,0.9,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
10805117011,100,450,331,40,1.7,0.2222222222222222,0,0,Affordable (<30%),4,13,30.76923076923077,0,0,0,0,0.0,0,0,0.0,0,100.0,10.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
12203169604,0,0,575,56,0.0,,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,100.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
12501158318,100,949,949,22,2.0,0.1053740779768177,0,0,Affordable (<30%),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,50.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
12502147721,650,900,262,45,3.0,0.7222222222222222,1,1,Severe Stress (50%+),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,25.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
12503147937,900,1125,824,34,1.3,0.8,1,1,Severe Stress (50%+),0,5,0.0,0,0,12,6,0.0,0,0,0.0,0,100.0,25.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
12703152437,0,0,0,32,6.0,,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,20.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
21005144323,0,0,0,18,0.0,,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,100.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
21103126605,225,399,399,46,1.0,0.5639097744360902,1,1,Severe Stress (50%+),0,3,0.0,0,0,9,3,0.0,0,0,0.0,0,100.0,12.5,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
31701145922,0,0,427,61,0.0,,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,1.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
40101100218,0,0,0,31,1.0,,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,16.7,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
40202103002,0,225,150,44,1.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,50.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
51002126713,75,399,243,30,3.1,0.18796992481203006,0,0,Affordable (<30%),0,4,0.0,0,0,8,4,0.0,0,0,0.0,0,100.0,31.3,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
51104128522,0,900,449,55,2.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,50.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
60401108401,0,350,350,56,1.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,100.0,100.0,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
70204106316,43,1312,306,31,4.1,0.03277439024390244,0,0,Affordable (<30%),0,9,0.0,0,0,5,5,0.0,0,0,0.0,0,100.0,11.8,0.0,0.0,0.5481335952848723,1.0,1.0,30.962671905697448,40.0,Moderate (25-50),Moderate (25-50),38.82907662082515,Moderate Priority
12703173206,199,468,450,68,1.1,0.4252136752136752,1,0,Moderate Stress (30-50%),28,28,100.0,1,3,21,14,21.428571428571427,28,25,0.10714285714285714,1,100.0,0.8,0.0,0.0,0.564505566470203,1.0,0.9285714285714286,30.575825615118347,38.57142857142858,Moderate (25-50),Moderate (25-50),39.16549724015343,Moderate Priority
11501155412,230,641,462,84,1.3,0.358814352574103,1,0,Moderate Stress (30-50%),690,624,110.57692307692308,1,0,234,120,0.0,690,690,0.0,1,4.8,1.3,0.0,0.0,1.0,0.048,1.0,30.48,20.96,Moderate (25-50),Low (0-25),42.672,Moderate Priority
31304137314,202,664,479,75,1.5,0.3042168674698795,1,0,Moderate Stress (30-50%),550,441,124.71655328798185,1,0,27,15,0.0,550,550,0.0,1,15.6,9.5,0.0,0.0,0.908316961362148,0.156,1.0,29.72633922724296,23.12,Moderate (25-50),Low (0-25),40.70004453176163,Moderate Priority
10501109301,150,662,364,40,2.3,0.22658610271903323,0,0,Affordable (<30%),34,23,147.82608695652172,1,0,46,23,0.0,0,0,0.0,0,87.5,16.3,0.0,0.0,0.5481335952848723,0.875,1.0,29.71267190569745,37.5,Moderate (25-50),Moderate (25-50),37.07907662082515,Moderate Priority
10302106227,150,887,387,18,3.2,0.16910935738444194,0,0,Affordable (<30%),6,8,75.0,1,0,16,8,0.0,0,0,0.0,0,85.7,58.3,0.0,0.0,0.5481335952848723,0.857,1.0,29.53267190569745,37.14,Moderate (25-50),Moderate (25-50),36.82707662082515,Moderate Priority
10501109628,168,593,274,28,3.3,0.28330522765598654,0,0,Affordable (<30%),22,15,146.66666666666666,1,0,18,9,0.0,0,0,0.0,0,83.3,14.6,0.0,0.0,0.5481335952848723,0.833,1.0,29.292671905697443,36.660000000000004,Moderate (25-50),Moderate (25-50),36.49107662082515,Moderate Priority
10501109214,150,450,342,32,2.3,0.3333333333333333,1,0,Moderate Stress (30-50%),15,16,93.75,1,12,29,17,70.58823529411765,15,3,0.8,0,100.0,3.6,0.0,0.0,0.550098231827112,1.0,0.7647058823529411,28.649023460071653,35.294117647058826,Moderate (25-50),Moderate (25-50),37.96255633884202,Moderate Priority
40203117515,325,575,491,45,1.0,0.5652173913043478,1,1,Severe Stress (50%+),8,4,200.0,1,0,8,4,0.0,8,8,0.0,0,75.0,2.7,0.0,0.0,0.5533726260641781,0.75,1.0,28.567452521283563,35.0,Moderate (25-50),Moderate (25-50),35.52815979043877,Moderate Priority
70101100603,200,737,350,26,3.7,0.27137042062415195,0,0,Affordable (<30%),42,51,82.35294117647058,1,0,101,51,0.0,0,0,0.0,0,75.4,44.8,0.0,0.0,0.5481335952848723,0.754,1.0,28.50267190569745,35.08,Moderate (25-50),Moderate (25-50),35.38507662082515,Moderate Priority
