SA1_CODE_2021,Median_rent_weekly,Median_tot_hhd_inc_weekly,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,rent_to_income_ratio,rental_stress,severe_rental_stress,stress_category,low_income_households,total_households,low_income_pct,high_low_income_concentration,public_housing_dwellings,total_rental_dwellings,total_dwellings,public_housing_rate,estimated_demand,public_housing_gap,supply_demand_ratio,critical_housing_gap,unemployment_rate,labour_force_participation,norm_rent_income_ratio,norm_low_income_pct,norm_public_housing_gap,norm_unemployment,norm_public_housing_rate,rental_stress_score,displacement_risk_score,stress_risk_category,displacement_risk_category,investment_priority_score,investment_priority,Area sqkm,latitude,longitude,dist_to_0,dist_to_1,dist_to_2,dist_to_3,dist_to_4,dist_to_5,dist_to_6,dist_to_7,dist_to_8,dist_to_9,dist_to_10,dist_to_11,dist_to_12,dist_to_13,dist_to_14,dist_to_15,nearest_employment_center_km,nearest_center_name,employment_accessibility_score,accessibility_category,estimated_pt_quality,state_code,pt_multiplier,public_transport_score,estimated_weekly_transport_cost,transport_to_income_ratio,housing_transport_burden,severe_combined_burden,optimal_location_score
11703164501,500,75,0,20,1.0,6.666666666666667,1,1,Severe Stress (50%+),0,3,0.0,0,0,3,3,0.0,0,0,0.0,0,48.0,23.1,0.0,0.0,0.5481335952848723,0.48,1.0,25.76267190569744,29.600000000000005,Moderate (25-50),Moderate (25-50),31.549076620825147,Moderate Priority,0.0062,-33.14,147.36,365.9632281650925,563.1229455313628,832.3169237867938,830.9724644810357,2944.4319441248235,1083.2758801917444,2846.173899277368,288.36537135068386,345.887438290472,412.8307272312228,356.51433552959446,619.3646352312875,811.3821236875249,907.035475326978,1544.4395492085025,1810.6874026970859,288.36537135068386,7,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,2.6666666666666665,9.333333333333334,1,27.774538310412574
20604150614,435,75,75,22,1.1,5.8,1,1,Severe Stress (50%+),20,37,54.054054054054056,1,0,58,33,0.0,20,20,0.0,1,43.8,37.2,0.0,0.0,0.5612311722331369,0.4379999999999999,1.0,25.60462344466274,28.76,Moderate (25-50),Moderate (25-50),31.458784544859203,Moderate Priority,0.006,-43.01,139.49,1437.7743432375637,740.3038778655414,2114.560064620461,901.8884955906794,2408.1929131866564,637.8296094388149,3496.9661979581188,1194.1284843911847,1429.5584724251105,1551.6177022772079,1372.137556309243,678.9374418375604,2083.018256020688,2194.7348645523202,2728.7804893229054,2961.617931926468,637.8296094388149,5,0.0,Poor (>60km),50.0,2,1.15,57.49999999999999,200.0,2.6666666666666665,8.466666666666667,1,27.2293922724296
31802147411,341,75,130,19,1.0,4.546666666666667,1,1,Severe Stress (50%+),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,19.3,47.7,0.0,0.0,0.5481335952848723,0.193,1.0,22.892671905697448,23.86,Low (0-25),Low (0-25),27.531076620825147,Moderate Priority,2.9732,-31.84,148.66,327.9956290845918,744.8558539805219,643.325768785914,994.5341451110371,3084.4259795708235,1233.4149018762153,2820.6312586281188,385.0794004037097,309.9192795403867,317.11028446855215,354.9901562250049,803.2295719392794,623.8595209955437,718.0375855230234,1411.0276158725594,1684.4290455885937,309.9192795403867,8,0.0,Poor (>60km),50.0,3,1.0,50.0,200.0,2.6666666666666665,7.213333333333333,1,23.765538310412573
12001167304,3692,575,575,66,1.0,6.420869565217392,1,1,Severe Stress (50%+),0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.5481335952848723,0.0,1.0,20.962671905697448,20.0,Low (0-25),Low (0-25),24.82907662082515,Low Priority,0.0907,-37.81,147.69,540.9073676998283,239.5423405167557,1252.985780615149,874.1284252353063,2960.4436003845003,564.8275048465088,3276.6134602477946,309.23594778870165,535.1217595471375,657.3204785893749,473.4412563791461,294.13628693168,1211.740788715377,1339.3517466281717,2064.5104428464674,2330.5237513951074,239.5423405167557,1,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,0.34782608695652173,6.768695652173913,1,24.414538310412574
80105105307,301,75,277,20,1.0,4.013333333333334,1,1,Severe Stress (50%+),0,3,0.0,0,0,3,3,0.0,0,0,0.0,0,20.6,48.6,0.0,0.0,0.5481335952848723,0.206,1.0,23.022671905697447,24.12,Low (0-25),Low (0-25),27.713076620825145,Moderate Priority,0.0145,-35.279999999999994,149.62,213.9949188689585,502.3139047113406,926.4790519923284,1002.6646968596177,3132.8766265412055,868.0726486495871,3162.072311345526,44.478483922957786,206.21514436196574,328.6022683929275,149.9121619574024,566.8705821897089,883.1382704283471,1014.1116656110853,1802.6173388104723,2076.898765702012,44.478483922957786,7,12.760758038521107,Limited (40-60km),55.521516077042214,8,1.1,61.07366768474644,130.67469373035226,1.74232924973803,5.755662583071364,1,29.899499258918194
11401128007,150,75,0,59,2.0,2.0,1,1,Severe Stress (50%+),0,3,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,46.2,0.0,0.0,0.5481335952848723,0.0,1.0,20.962671905697448,20.0,Low (0-25),Low (0-25),24.82907662082515,Low Priority,2.2292,-37.68,147.82,522.4847386965653,251.62042944856023,1235.0663549011676,880.4885665140615,2971.133691030089,579.9524315426567,3271.4188112389697,291.3373949919868,516.7285896575655,638.9148354919681,455.0126892086677,307.8241752858505,1193.6368971428813,1321.535681367581,2050.629003168771,2317.188028003779,251.62042944856023,1,0.0,Poor (>60km),50.0,1,1.2,60.0,200.0,2.6666666666666665,4.666666666666666,1,24.414538310412574
31106133305,1851,725,700,55,1.0,2.553103448275862,1,1,Severe Stress (50%+),8,4,200.0,1,0,0,0,0.0,8,8,0.0,0,0.0,50.0,0.0,0.0,0.5533726260641781,0.0,1.0,21.067452521283563,20.0,Low (0-25),Low (0-25),25.02815979043877,Moderate Priority,1.9261,-27.2,148.3,792.0430648376991,1220.6989542572542,467.6735215053753,1260.4569051706706,3169.2296415885903,1745.9826421607925,2447.4043378413985,902.0011925978536,779.6325272725752,719.573462176836,840.8792343473988,1271.7790118918062,510.61950718623996,476.4872004945762,895.8768679817343,1172.2923019698517,467.6735215053753,2,0.0,Poor (>60km),50.0,3,1.0,50.0,200.0,0.27586206896551724,2.8289655172413792,1,22.514079895219385
50703117017,760,350,350,63,2.5,2.171428571428572,1,1,Severe Stress (50%+),0,3,0.0,0,0,0,0,0.0,0,0,0.0,0,50.0,50.0,0.0,0.0,0.5481335952848723,0.5,1.0,25.962671905697444,30.000000000000004,Moderate (25-50),Moderate (25-50),31.82907662082515,Moderate Priority,3.3774,-31.78,116.72,3216.059846317486,2653.550525830028,3525.540638891468,2057.9112596370437,83.35301847268956,2952.8301576546723,2588.2506095560566,3015.7793526129785,3197.4648022315255,3280.702458588109,3181.674161073644,2605.592788497895,3543.864721640632,3556.672468582224,3310.3201643127404,3359.299389878827,83.35301847268956,4,6.664698152731044,Poor (>60km),50.0,5,0.85,42.5,200.0,0.5714285714285714,2.7428571428571438,1,26.413947756231888
21205156723,0,75,557,28,1.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,8.8,71.5,0.0,0.0,0.5481335952848723,0.088,1.0,21.842671905697447,21.76,Low (0-25),Low (0-25),26.061076620825144,Moderate Priority,0.0166,-42.42,145.08,1090.7762261161627,512.3045970619174,1811.1631942347026,1004.4129426509822,2819.699959714331,190.82409455347837,3603.367384112448,867.5727148224613,1087.3260685503265,1208.0764021783907,1022.2178197851872,478.70105910012126,1768.7313588778086,1897.7975443156981,2580.5673592407147,2836.401960668929,190.82409455347837,5,0.0,Poor (>60km),50.0,2,1.15,57.49999999999999,200.0,2.6666666666666665,2.6666666666666665,1,24.530538310412574
50502108422,0,75,75,88,1.0,0.0,0,0,No Data,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.5481335952848723,0.0,1.0,20.962671905697448,20.0,Low (0-25),Low (0-25),24.82907662082515,Low Priority,2.4867,-31.73,111.77,3671.4606057047445,3089.1902886609723,3993.211445355416,2510.339763987843,387.15294140051606,3350.084399190318,2896.9402103398975,3465.977643684178,3653.132821668969,3739.0748129451704,3635.0524291308107,3038.5795251431564,4011.1000502700244,4024.6394649742483,3760.287484842958,3797.065937636128,387.15294140051606,4,0.0,Poor (>60km),50.0,5,0.85,42.5,200.0,2.6666666666666665,2.6666666666666665,1,20.914538310412574
