Suburb,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Income_Weekly,Median_Mortgage_Monthly,Total_Population,Population_55_74
St Peters (SA),46.94384059601395,16.924842226047048,43.6029833620195,26.802847415660786,1097,2700,3231,866
Glen Osmond,43.34123551799972,16.26746506986028,43.31337325349301,22.237697307335193,927,2817,2154,479
Glenelg (SA),42.70657121219576,17.481203007518797,29.385964912280706,33.13953488372093,915,1733,3440,1140
Glenelg South,42.58312545888286,17.889908256880734,28.34862385321101,30.815018315018317,889,2000,2184,673
Burnside (SA),42.280372127273615,18.445945945945947,39.729729729729726,22.091503267973856,1033,2400,3060,676
Fitzroy North,42.1013781536758,17.568801356462764,49.1196034955002,17.925044988655035,1241,2500,12781,2291
Unley,42.049244893845376,17.993557294063507,40.49700874367234,23.71778834125594,1066,2167,3997,948
Marino,41.969152702484344,16.784452296819786,31.802120141342755,29.863855950812475,932,1997,2277,680
Seacliff,41.95149139400517,15.906976744186046,32.0,31.081719414265468,948,1950,2117,658
Walkerville (SA),41.828975543467074,17.711598746081506,43.573667711598745,23.160097663062434,981,2167,2867,664
Goodwood (SA),41.638462841184904,17.98469387755102,39.98724489795919,23.59192348565356,1006,2167,2823,666
Fitzroy (Vic.),41.3903568082141,17.488281881364152,47.58364312267658,17.332949860991278,1265,2500,10431,1808
St Peters (NSW),41.32635105331084,20.182724252491692,40.033222591362126,12.648112427666025,1465,2860,3629,459
Somerton Park,40.67255269580589,17.84452296819788,28.657243816254418,27.361899845121325,908,2058,5811,1590
Norwood (SA),40.00037352936333,16.14231108497501,39.78241693619523,24.70884482215927,1002,2000,6354,1570
Glenelg East,38.84353531863043,15.72926596758818,27.931363203050523,27.833981841763944,976,1950,3855,1073
Parkside (SA),38.521899819993905,15.830665243685521,40.69726076129491,21.049551307062035,1038,2167,5126,1079
Melrose Park (NSW),38.47901825609185,17.231638418079097,30.97928436911488,19.378338999514327,973,2600,2059,399
North Adelaide,37.97894628132343,15.397727272727273,39.77272727272727,23.45009526601202,964,1914,6823,1600
Glenelg North,37.88666715727846,16.00447677672076,26.77672076105204,26.599939338792844,950,1950,6594,1754
