Suburb,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Income_Weekly,Median_Mortgage_Monthly,Total_Population,Population_55_74
Red Hill (ACT),54.17861611989501,23.47879532882606,39.52059004302397,22.981563890654797,1469,3500,3146,723
Bulimba,47.97644320846837,23.65666434054431,34.93835775761805,21.028466483011936,1393,2800,7623,1603
Kenmore Hills,47.44678088293002,21.323529411764707,40.99264705882353,24.387254901960784,898,2694,2448,597
Hendra,46.24503149319152,22.408650260999256,32.92319164802387,21.021571021571024,1216,2855,4914,1033
Teneriffe,45.176201677690116,21.959979476654695,45.89533093894305,18.967391304347824,1660,2167,5520,1047
Bardon,44.85985155531647,20.33655567490154,42.71392767633369,17.856791096227717,1339,2817,10153,1813
Chapel Hill (Qld),43.799393638581,18.21141325162773,44.10187667560322,22.728570069451052,1084,2427,10511,2389
Balmoral (Qld),43.07784107578589,20.16597510373444,35.22821576763486,18.787443086508507,1289,2729,4173,784
New Farm,42.47840154482413,18.058063619947216,41.56132796221698,22.33336066245798,1226,2264,12197,2724
Ascot (Brisbane - Qld),41.53212812329245,19.010863350485995,35.305889079473985,21.084060633899863,1163,2400,6531,1377
Hamilton (Qld),41.08450391562354,19.616872352182725,31.497513354208877,22.49495628782784,1225,2167,8922,2007
Carindale,41.08227673388934,16.628864748716722,33.472603557359434,25.08013305110372,908,2400,16535,4147
Ashgrove,40.99141094124817,17.811330839123464,39.83164083377873,18.646840148698885,1154,2600,13450,2508
Ascot (WA),40.890028460988,16.997518610421835,25.744416873449133,28.077544426494345,1035,2167,3095,869
Norman Park,40.39454153937553,19.396244354647017,36.43926788685524,16.237942122186492,1306,2600,6842,1111
Hamilton South,39.67271048701863,14.93624772313297,35.397692774741955,25.166379097855557,770,2383,4057,1021
The Gap (Brisbane - Qld),39.433054161334844,17.127949183303084,38.61161524500908,20.89155791661855,1038,2253,17318,3618
Ascot Vale,39.30699875950407,17.955902058716045,36.48434644901937,18.576034743699417,1080,2458,15197,2823
Camp Hill,38.860762707995356,18.817581800308943,36.46959696671816,14.599314509547904,1309,2600,12254,1789
Sandgate (Qld),38.356108188666134,16.688978134761268,30.78982597054886,24.380836378400325,774,2167,4926,1201
