SAL_CODE_2021,Suburb_Name,Executive_Score,Manager_Concentration_Pct,Manager_Plus_Professional_Pct,Total_Managers,Total_Professionals,Total_Employed,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Total_Population,Total_Finance_Insurance,Total_Professional_Scientific,Total_Info_Media_Telecom,Total_Public_Admin,Executive_Industries_Pct,Total_All_Industries
SAL12640,Milsons Point,85.34990734089823,28.68579052701801,73.84923282188124,430,677,1499,1866,3267,2529,240,342,58,64,46.99599465954606,1498
SAL80030,Campbell,80.63391058672651,41.88075618031992,70.86766844401357,1728,1196,4126,1292,3052,6564,52,380,31,2412,69.66319360310152,4127
SAL11212,Darling Point,79.85405791617677,27.09772951628825,70.4837117472853,549,879,2026,1799,3219,3977,278,435,74,80,42.75147928994083,2028
SAL80083,Kingston (ACT),76.97385114009361,25.22644927536232,70.22192028985508,1114,1987,4416,1777,2469,6579,62,645,85,2038,63.954802259887,4425
SAL10373,Birchgrove,76.74373207369251,26.59636789689514,73.98945518453426,454,809,1707,1661,3603,3228,229,338,85,80,42.9073856975381,1706
SAL11114,Cremorne Point,74.3175334835467,25.528455284552848,71.46341463414633,314,565,1230,1661,2951,2270,160,267,42,63,43.287225386493084,1229
SAL13126,Paddington (NSW),73.4584930068266,23.4458490811938,72.05786524175682,1799,3730,7673,1698,3131,12701,1142,1824,370,298,47.34853420195439,7675
SAL13450,Rozelle,73.05444359103508,26.363453411149123,67.59911450996177,1310,2049,4969,1652,3196,8553,567,981,229,278,41.39806607574536,4964
SAL12557,McMahons Point,72.52775009133931,24.10841654778887,70.82738944365192,338,655,1402,1664,2568,2315,144,313,53,70,41.42857142857143,1400
SAL14422,Woollahra,71.72110101887758,23.501070663811564,72.18950749464668,878,1819,3736,1638,3013,7189,539,821,169,141,44.72415640064275,3734
SAL11283,Double Bay,71.543718817495,24.072672218016656,69.03860711582135,636,1188,2642,1662,3077,4709,396,589,118,67,44.26787741203178,2643
SAL10165,Balmain,71.4310606877031,26.360931209522143,69.03553299492386,1506,2438,5713,1577,3039,10454,690,1123,262,259,40.86849938714761,5711
SAL12908,Naremburn,71.26492917523943,25.513905683192263,69.58887545344619,844,1458,3308,1593,3272,5924,439,660,167,131,42.179951690821255,3312
SAL11398,Elizabeth Bay,70.61929935128234,22.712628865979383,69.3298969072165,705,1447,3104,1676,2116,4878,322,684,173,202,44.419427468639434,3109
SAL12182,Kirribilli,70.6183460632167,23.42971086739781,72.6321036889332,470,987,2006,1598,2267,3629,258,442,85,120,45.159680638722556,2004
SAL10937,Clovelly,70.46236404421211,23.94005847953217,68.96929824561403,655,1232,2736,1633,3474,4887,262,528,131,137,38.655462184873954,2737
SAL10777,Cammeray,69.9909251474073,24.445551956142538,68.20333914776975,981,1756,4013,1612,2870,7088,553,784,186,187,42.675318193161964,4007
SAL11442,Erskineville,69.97061669860162,21.16091109478325,69.72814107274064,1440,3305,6805,1704,3020,9657,744,1448,333,471,44.02645113886848,6805
SAL12485,Manly (NSW),69.26854854823685,24.82809690045488,66.95229027821856,2347,3982,9453,1595,3164,16296,1089,2149,359,342,41.67812929848693,9451
SAL11132,Crows Nest (NSW),68.92189220970091,22.885572139303484,66.69776119402985,736,1409,3216,1657,2614,4974,419,660,159,142,42.91044776119403,3216
SAL32770,Teneriffe,68.56327447480828,21.95997947665469,67.85531041559774,856,1789,3898,1660,2645,5520,254,818,79,242,35.76379974326059,3895
SAL10848,Castlecrag,68.29570671976262,26.89133425034388,69.73865199449793,391,623,1454,1446,4675,2965,204,336,46,38,43.064182194616976,1449
SAL13657,St Leonards (NSW),67.52672582892163,21.15304852758192,69.6391538780589,1020,2338,4822,1627,2475,7212,709,1102,215,210,46.39004149377593,4820
SAL80136,Yarralumla,67.39452795255673,24.293405114401075,64.6029609690444,361,599,1486,1591,3327,3120,30,270,23,390,48.0782198246797,1483
SAL21677,Middle Park (Vic.),67.19531053426886,27.410670582476747,67.35193343122859,560,816,2043,1430,2836,4000,175,405,45,118,36.368086147821835,2043
SAL10271,Bellevue Hill,67.03842498833677,23.464595375722546,66.74494219653178,1299,2396,5536,1575,3315,10590,642,1027,190,162,36.50650289017341,5536
SAL14377,Wollstonecraft,66.51975559187333,21.231380337636544,69.75173783515393,1069,2443,5035,1590,2639,8115,607,1170,212,294,45.29761904761905,5040
SAL10155,Balgowlah Heights,66.4970550962675,29.22619047619048,67.97619047619048,491,651,1680,1333,4687,3546,219,369,56,50,41.35876042908224,1678
SAL13307,Queens Park (NSW),66.10060897957888,23.5479797979798,68.43434343434343,373,711,1584,1515,3441,3143,239,310,68,53,42.405063291139236,1580
SAL12394,Longueville,65.84196495978149,25.0,68.56060606060606,264,460,1056,1453,4894,2116,130,183,24,35,35.361216730038024,1052
