SAL_CODE_2021,Suburb_Name,Median_mortgage_repay_monthly,Median_rent_weekly,Manager_Concentration_Pct,Manager_Plus_Professional_Pct,Median_tot_prsnl_inc_weekly,Total_Population,Total_Employed
SAL10002,Abbotsbury,2216,550,14.91658488714426,37.68400392541707,846,4200,2038
SAL10003,Abbotsford (NSW),3000,550,22.37865876250463,58.058540200074106,1179,5431,2699
SAL10006,Aberdare,1421,303,5.550416281221091,13.968547641073082,640,2542,1081
SAL10009,Aberglasslyn,1950,430,9.409320273078064,24.33956663698427,881,6552,3369
SAL10010,Abermain,1430,320,8.036529680365296,17.077625570776256,667,2544,1095
SAL10014,Acacia Gardens,2484,540,13.453815261044177,41.86746987951807,1055,3668,1992
SAL10016,Adamstown,2100,395,11.347313990232692,42.31542660155127,925,6335,3481
SAL10017,Adamstown Heights,2201,475,14.171029668411867,46.596858638743456,983,5621,2865
SAL10025,Albion Park,2058,460,8.809111880046135,23.990772779700116,804,13826,6936
SAL10026,Albion Park Rail,1820,390,8.793456032719837,20.38173142467621,636,6920,2934
SAL10027,Albury,1733,270,16.27172195892575,45.61611374407583,930,4955,2532
SAL10030,Alexandria,2751,560,21.465657914256045,65.12386886218661,1629,9649,6741
SAL10031,Alfords Point,2595,768,17.516902274124156,43.63859864781807,956,3131,1627
SAL10036,Allambie Heights,3467,600,21.47222222222222,49.75,1006,7317,3600
SAL10038,Allawah,2167,428,9.34438583270535,35.34287867370007,765,5351,2654
SAL10046,Alstonville,1730,380,12.454212454212454,34.43223443223443,671,5912,2457
SAL10049,Ambarvale,1802,350,9.202453987730062,21.625766871165645,630,7254,2608
SAL10061,Anna Bay,1733,390,9.509202453987731,23.43558282208589,612,4221,1630
SAL10062,Annandale (NSW),3467,570,21.19585338763421,66.01258793039615,1442,9487,5402
SAL10064,Appin (NSW),2500,450,11.971830985915492,27.528809218950062,971,3213,1562
SAL10086,Armidale,1500,290,12.503606809656631,39.23247090506877,730,23967,10397
SAL10087,Arncliffe,2319,500,13.305347691184522,40.84686986676401,856,12023,5479
SAL10091,Artarmon,2772,525,16.782644289807614,62.46418338108882,1202,9417,4886
SAL10094,Ashbury,2817,600,19.75,53.5625,892,3353,1600
SAL10099,Ashfield (NSW),2210,440,11.92891273367424,47.97552183753877,890,23012,11929
SAL10102,Ashmont,1103,220,6.538461538461539,15.230769230769232,577,3747,1300
SAL10103,Ashtonfield,1950,440,12.119950020824657,32.77800916284882,891,4589,2401
SAL10104,Asquith,2400,490,13.607110021452652,49.433037082439476,1041,6160,3263
