Suburb,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Income_Weekly,Median_Mortgage_Monthly,Total_Population,Population_55_74
Albert Park (Vic.),57.88977151291299,26.73076923076923,38.3974358974359,25.810721376571806,1333,3500,6044,1560
Middle Park (Vic.),57.679454169612406,27.410670582476747,39.94126284875183,23.974999999999998,1430,3467,4000,959
Brighton (Vic.),57.13303586461947,25.98165791113881,36.75540913542872,26.72888353690005,1259,3467,23252,6215
Toorak,55.339802286272345,24.08312958435208,40.44926650366748,26.714519778419287,1427,3152,12817,3424
Canterbury (Vic.),54.91384860535841,23.424878836833603,40.1453957996769,25.833333333333336,1102,3500,7800,2015
Ivanhoe East,51.65071197568553,22.44597249508841,37.77013752455795,26.422115895800108,1191,3000,3762,994
Brighton East,50.522568770507554,24.155681104833647,34.149403640929066,22.336933818702633,1036,3300,16757,3743
Malvern (Vic.),50.25618747316213,21.97396541674762,40.81989508451525,22.751535904924967,1326,3057,9929,2259
East Melbourne,50.16567629473173,19.857003574910628,49.171270718232044,26.695261437908496,1532,2383,4896,1307
Malvern (SA),49.291899473743264,20.02913328477786,39.62126729788783,27.09178031699226,1117,2800,2713,735
Surrey Hills,48.36055979797605,20.113275314269927,40.51664594557259,23.903332112779204,1081,3000,13655,3264
Camberwell (Vic.),47.868570916840056,20.71188595296468,39.90738218469082,22.87275210562258,1043,3000,21965,5024
Port Melbourne,47.78628867981498,24.364341876850812,35.6581231491882,22.236715249815685,1366,2500,17633,3921
Kew (Vic.),47.52428081322733,19.415794031965987,41.55578300921187,22.92746642720111,1120,3000,24499,5617
Toorak Gardens,46.80777675297481,17.64252696456086,42.06471494607088,27.419354838709676,1068,2575,2604,714
Caulfield South,46.71885973754318,20.328125,38.4375,22.80986372485399,1074,2889,12328,2812
Hawthorn (SA),46.39717558391938,17.26555652936021,38.913234005258545,28.275551553354344,1027,2600,2221,628
Glen Iris (Vic.),46.397025016034036,20.80551064876643,40.14901244113306,21.154950059316523,1179,2830,26131,5528
Kew East,45.99657258769105,18.755426917510853,38.437047756874094,22.824773413897283,1043,3000,6620,1511
Balwyn,45.81574562611656,19.3392425463336,38.35616438356164,22.904779547980734,850,3000,13495,3091
