SA2_CODE,SA2_Name,Total_Pop,Generational_Overlap_Score,Pct_Young_Children,Pct_Parents,Pct_Grandparents,Pct_Elderly,Cultural_MultiGen_Score,Pct_High_MultiGen_Culture,Pct_Medium_MultiGen_Culture,Total_Families,Total_Households,Pct_Complex_Families,Large_Family_Indicator,Total_Dwellings,Pct_Separate_Houses,Pct_Apartments,Pct_Owned,Norm_Generational_Overlap,Norm_Cultural_Score,Norm_Family_Size,MultiGen_Demand_Score,Supply_Suitability,Supply_Gap_Score,Market_Opportunity_Score
101021007,Braidwood,4343,23.71,15.98,25.24,32.88,10.78,0.81,0.37,0.07,384,1719,13.02,28.44,1719,93.66,0.17,81.56,91.46,11.69,72.37,57.82,79.21,-21.39,69.66
101021008,Karabar,8517,22.25,18.95,26.78,21.67,5.68,5.95,2.15,1.66,1025,3075,16.20,24.94,3075,80.39,2.76,69.33,60.23,56.92,52.99,56.90,44.94,11.96,55.00
101021009,Queanbeyan,11342,19.94,15.31,26.80,19.26,7.93,11.71,5.18,1.36,1048,4916,11.83,20.31,4916,41.74,34.48,54.15,18.53,73.10,30.06,41.09,14.40,26.68,32.76
101021010,Queanbeyan - East,5085,20.43,15.50,27.61,19.84,5.09,10.15,4.39,1.38,507,2276,14.20,17.68,2276,36.56,32.47,54.22,23.10,70.19,21.20,39.01,13.88,25.13,31.54
101021012,Queanbeyan West - Jerrabomberra,12744,23.52,21.29,31.19,19.55,3.19,5.41,2.15,1.11,1978,4305,11.83,22.78,4305,82.11,2.25,75.68,88.59,53.96,41.63,62.38,48.46,13.92,65.99
101021610,Googong,6224,19.70,30.17,32.89,7.39,0.88,8.66,3.95,0.76,1111,1929,12.15,15.35,1929,93.11,0.83,78.28,16.75,66.10,15.90,33.77,76.09,-42.33,51.81
101021611,Queanbeyan Surrounds,16539,24.45,19.40,28.86,26.07,4.64,1.77,0.70,0.37,2287,5374,13.82,25.52,5374,97.97,0.45,87.87,98.10,26.58,55.78,60.37,93.41,-33.03,75.03
101031013,Bombala,2454,22.59,16.46,21.88,31.87,11.25,0.24,0.12,0.00,201,981,18.41,33.62,981,95.72,1.02,74.72,69.05,5.78,92.72,54.01,83.50,-29.49,59.70
101031014,Cooma,6761,21.62,16.37,24.38,25.26,11.67,5.71,2.71,0.30,616,2738,17.69,30.47,2738,88.20,4.42,66.98,43.37,55.54,81.47,59.06,55.30,3.76,53.59
101031015,Cooma Surrounds,3472,23.34,15.70,25.29,31.85,10.05,1.04,0.52,0.00,354,1277,15.82,28.37,1277,98.28,0.00,85.90,85.76,15.49,71.72,56.96,95.79,-38.84,72.01
101031016,Jindabyne - Berridale,8035,21.30,16.12,26.60,22.49,4.69,1.75,0.56,0.63,782,2741,11.51,17.08,2741,75.59,15.21,65.92,35.68,26.46,19.09,27.48,29.81,-2.34,33.52
101041017,Batemans Bay,8581,22.03,15.58,20.86,32.71,13.31,2.38,0.98,0.42,634,3468,18.45,31.12,3468,75.26,12.83,65.72,54.33,33.41,84.02,55.92,30.95,24.97,50.41
101041018,Batemans Bay - South,8938,21.57,13.80,20.54,35.07,14.78,2.35,0.88,0.58,657,3697,16.13,30.26,3697,80.04,7.57,71.22,41.75,33.21,80.58,50.41,39.36,11.05,53.39
101041019,Bega - Tathra,8872,22.76,17.57,22.93,29.20,11.17,1.04,0.44,0.16,816,3559,15.81,30.78,3559,87.47,2.39,70.10,73.38,15.53,82.85,55.97,58.50,-2.52,55.36
101041020,Bega-Eden Hinterland,9557,23.82,15.61,22.55,38.09,6.76,0.84,0.32,0.19,915,3699,14.86,28.83,3699,97.38,0.14,84.35,92.76,12.42,74.27,59.09,92.44,-33.34,72.41
101041021,Broulee - Tomakin,3792,22.28,15.06,21.94,33.25,13.53,0.79,0.24,0.32,346,1514,15.61,32.74,1514,80.71,2.44,72.92,60.96,11.49,90.09,52.38,45.83,6.55,56.43
101041023,Eden,3425,22.25,15.74,20.20,34.42,13.52,1.08,0.38,0.32,247,1378,25.51,31.59,1378,78.96,3.56,64.15,60.32,16.02,86.29,52.60,42.23,10.37,46.98
101041024,Eurobodalla Hinterland,3525,22.73,13.22,22.75,38.55,8.91,0.82,0.31,0.20,281,1325,17.44,28.99,1325,97.13,0.00,80.83,72.61,12.18,74.80,52.12,91.99,-39.87,65.65
101041025,Merimbula - Tura Beach,11513,21.22,13.19,20.52,34.97,14.81,1.72,0.61,0.50,948,4863,18.46,27.28,4863,74.07,10.47,74.69,34.47,26.05,65.86,40.94,31.80,9.14,51.81
101041026,Moruya - Tuross Head,8600,21.74,12.91,20.08,39.09,12.83,1.38,0.56,0.27,657,3586,19.33,29.07,3586,91.44,0.86,77.41,46.60,21.08,75.04,46.20,70.75,-24.55,58.24
101041027,Narooma - Bermagui,9888,21.16,12.65,18.18,40.55,15.19,1.77,0.75,0.27,670,4206,17.16,28.46,4206,83.07,5.71,76.13,33.29,26.66,72.49,42.73,44.70,-1.97,54.80
101051539,Goulburn,24565,21.63,18.31,23.57,23.44,9.86,3.31,1.50,0.32,2350,9486,19.19,28.99,9486,84.36,3.78,63.42,43.49,41.95,74.84,52.35,49.47,2.88,46.06
101051540,Goulburn Surrounds,13839,23.30,16.48,23.93,31.93,9.01,1.65,0.72,0.20,1445,5054,14.46,31.97,5054,97.80,0.24,81.80,85.28,24.68,87.50,64.73,93.77,-29.04,73.86
101061541,Yass,6763,22.60,19.41,25.31,23.47,10.41,1.88,0.83,0.22,790,2524,16.08,31.71,2524,88.47,3.13,72.98,69.22,27.99,86.69,60.03,58.94,1.09,61.15
101061542,Yass Surrounds,12713,24.55,20.00,29.55,25.01,6.03,1.62,0.64,0.35,1730,4180,12.89,27.76,4180,98.35,0.12,85.45,98.54,24.35,68.81,63.66,95.55,-31.89,75.78
101061543,Young,11004,22.40,20.27,22.40,24.75,10.66,3.29,1.53,0.24,1069,4209,17.49,36.63,4209,87.76,2.73,66.81,64.16,41.75,97.65,66.36,58.29,8.07,57.78
101061544,Young Surrounds,7677,22.88,17.21,21.71,31.91,10.60,0.81,0.40,0.00,718,2990,15.32,37.52,2990,95.15,0.77,74.31,75.89,11.77,98.42,60.21,82.24,-22.03,62.97
102011028,Avoca Beach - Copacabana,7513,24.67,20.40,28.20,26.07,6.16,1.06,0.36,0.35,1005,2530,12.14,27.07,2530,89.64,5.42,79.37,98.99,15.82,64.28,59.47,56.35,3.11,68.71
102011029,Box Head - MacMasters Beach,11042,23.48,16.70,24.21,31.86,11.03,1.86,0.75,0.35,1357,4221,10.61,27.19,4221,92.11,2.39,85.00,87.42,27.59,65.09,59.78,68.49,-8.71,73.26
102011030,Calga - Kulnura,4716,22.59,13.97,27.21,30.09,8.33,4.83,2.16,0.51,530,1641,14.53,25.18,1641,95.06,1.40,72.64,68.93,51.05,54.09,58.22,79.81,-21.59,59.54
102011031,Erina - Green Point,14758,20.85,15.78,22.01,26.03,18.82,3.70,1.46,0.77,1649,5609,13.52,27.38,5609,83.35,5.08,75.04,28.40,44.82,66.50,45.58,45.79,-0.21,55.03
102011032,Gosford - Springfield,21204,20.67,15.28,25.47,22.63,8.07,7.54,3.27,0.99,1954,9219,14.84,20.22,9219,39.79,43.24,49.21,26.42,62.58,29.73,40.07,9.14,30.93,30.42
102011033,Kariong,6485,23.00,21.94,29.36,18.84,4.15,4.04,1.87,0.31,942,2093,11.04,25.17,2093,91.93,0.57,75.68,78.96,47.17,53.96,60.34,72.94,-12.60,64.78
102011034,Kincumber - Picketts Valley,7615,20.68,17.36,21.30,23.87,18.12,1.68,0.68,0.32,848,3001,13.09,27.96,3001,66.24,4.23,64.61,26.62,25.16,69.94,39.11,30.54,8.56,39.27
102011035,Narara,7157,23.69,20.93,27.90,22.75,5.21,5.10,2.21,0.68,965,2509,11.92,25.49,2509,88.52,0.64,78.32,91.18,52.51,55.58,66.97,64.32,2.65,71.81
102011036,Niagara Park - Lisarow,8205,23.06,20.27,27.08,22.32,6.87,2.30,1.05,0.21,1145,2804,13.62,27.58,2804,84.45,0.53,79.64,80.38,32.61,67.72,59.86,55.58,4.28,69.20
102011037,Point Clare - Koolewong,6571,22.50,17.30,26.39,24.90,12.39,4.00,1.57,0.87,802,2513,10.10,23.28,2513,89.22,4.42,74.21,66.79,47.05,44.22,53.11,57.77,-4.66,58.60
102011038,Saratoga - Davistown,7160,22.80,18.20,25.07,25.92,11.05,1.27,0.54,0.18,892,2682,14.91,27.43,2682,86.65,8.13,79.31,73.91,18.93,66.87,52.55,46.24,6.32,64.49
102011039,Terrigal - North Avoca,14849,23.19,18.24,26.41,25.84,8.18,3.06,1.21,0.63,1841,5438,12.11,26.59,5438,73.61,19.33,75.10,83.29,40.05,61.57,61.64,26.42,35.22,64.78
102011040,Umina - Booker Bay - Patonga,24697,22.48,16.44,24.63,27.97,12.82,2.56,1.03,0.50,2263,10267,15.29,25.53,10267,69.58,7.16,63.28,66.14,35.60,55.87,52.37,30.91,21.46,45.89
102011041,Wamberal - Forresters Beach,10675,23.48,20.15,26.97,23.79,8.52,2.51,1.03,0.45,1445,3653,13.91,27.55,3653,84.89,5.45,77.31,87.46,35.03,67.44,63.10,47.73,15.37,68.28
102011042,Woy Woy - Blackwall,14346,21.53,15.20,24.29,26.94,13.44,3.92,1.65,0.62,1297,6092,14.49,24.07,6092,66.20,6.20,60.92,41.06,46.24,48.62,45.14,29.57,15.57,39.66
102011043,Wyoming,11423,21.41,18.70,23.85,22.01,12.26,4.25,1.87,0.50,1232,4320,15.34,25.81,4320,77.38,2.52,66.27,38.27,48.38,56.96,47.42,41.71,5.71,45.83
102021044,Bateau Bay - Killarney Vale,22825,22.28,19.87,23.95,23.22,10.76,1.72,0.68,0.35,2566,8341,15.47,27.39,8341,85.06,5.30,71.11,60.88,26.09,66.71,50.45,48.30,2.15,53.18
102021045,Blue Haven - San Remo,11290,21.68,22.59,24.57,18.35,5.85,2.29,0.97,0.35,1234,3913,22.53,29.37,3913,96.47,1.02,65.93,44.98,32.32,76.66,50.05,86.33,-36.27,47.10
102021046,Budgewoi - Buff Point - Halekulani,9728,21.84,16.83,22.48,27.47,11.45,1.17,0.48,0.21,887,3935,21.87,29.69,3935,91.74,3.79,73.24,49.35,17.31,77.91,46.71,64.44,-17.73,53.53
102021047,Chittaway Bay - Tumbi Umbi,16006,22.24,19.33,24.17,23.52,9.05,1.77,0.70,0.37,2017,5708,15.22,28.17,5708,87.91,4.24,77.42,59.95,26.62,70.83,51.55,55.06,-3.51,61.46
102021048,Gorokan - Kanwal - Charmhaven,22362,21.14,17.19,22.52,24.36,11.52,2.25,0.93,0.38,1993,8559,19.72,28.92,8559,82.42,9.84,63.72,32.97,32.00,74.51,45.09,39.60,5.49,42.07
102021049,Jilliby - Yarramalong,3420,23.76,17.78,27.28,27.57,5.64,1.32,0.61,0.09,474,1036,14.98,28.54,1036,98.75,0.58,87.36,92.15,19.50,72.86,60.93,95.23,-34.29,75.12
102021050,Lake Munmorah - Mannering Park,10960,20.59,14.59,19.57,30.38,16.85,1.17,0.52,0.13,960,4652,21.67,31.70,4652,94.13,1.20,79.90,24.96,17.23,86.61,40.75,78.07,-37.32,57.99
102021051,Ourimbah - Fountaindale,4928,22.93,18.26,27.01,24.41,5.62,2.84,1.22,0.41,644,1711,13.04,26.50,1711,79.72,0.70,77.15,76.90,38.31,60.84,58.58,47.17,11.41,65.40
102021052,Summerland Point - Gwandalan,6492,22.68,17.30,24.41,27.56,9.33,2.14,0.89,0.35,698,2472,20.92,29.31,2472,96.68,1.78,78.72,71.44,30.95,76.09,58.66,84.71,-26.05,67.35
102021053,The Entrance,15839,21.66,14.05,24.19,29.67,11.53,3.66,1.53,0.61,1250,6974,19.28,26.90,6974,46.86,21.65,54.23,44.30,44.34,63.39,50.04,17.03,33.01,38.19
102021054,Toukley - Norah Head,9909,21.41,16.09,22.19,27.41,13.94,1.90,0.82,0.26,853,4151,17.94,29.91,4151,78.85,8.48,62.44,38.11,28.44,78.80,46.93,36.85,10.08,41.96
102021055,Tuggerah - Kangy Angy,5229,22.09,19.77,26.26,20.75,6.75,4.67,2.10,0.46,651,1858,15.21,25.49,1858,80.03,1.35,68.30,55.87,50.40,55.54,53.86,46.56,7.30,52.04
102021056,Warnervale - Wadalba,20051,21.87,23.76,27.17,16.16,7.10,5.03,2.29,0.44,2698,6322,17.68,27.69,6322,94.21,0.21,66.17,50.40,52.02,68.41,56.37,80.95,-24.58,51.06
102021057,Wyong,9120,22.11,18.18,25.08,23.66,7.80,4.29,1.85,0.58,822,3484,20.19,27.04,3484,79.48,7.15,57.72,56.15,48.62,64.12,55.91,39.16,16.75,43.83
103011059,Bathurst - East,12330,22.16,22.04,24.51,20.15,7.54,2.34,1.03,0.28,1453,4201,18.58,30.82,4201,93.55,0.71,72.55,57.73,33.09,82.89,56.65,77.67,-21.02,58.49
103011060,Bathurst Surrounds,6909,24.21,17.48,26.17,30.89,6.86,0.77,0.35,0.07,812,2372,13.67,32.15,2372,98.44,0.13,86.21,96.24,11.21,88.15,64.05,95.87,-31.82,76.46
103011061,Oberon,4834,22.75,16.63,23.31,30.26,10.49,2.71,1.24,0.23,400,1795,15.00,33.53,1795,93.26,1.45,72.20,73.26,36.97,92.44,66.31,74.60,-8.28,63.82
103011612,Bathurst - South,10752,17.99,12.44,21.94,21.20,12.21,5.73,2.72,0.30,636,4376,17.14,24.75,4376,57.34,14.79,45.32,10.56,55.74,51.90,38.78,21.12,17.66,28.49
103011613,Bathurst - West,14313,22.62,21.36,24.77,21.86,6.26,2.10,0.97,0.16,1665,5239,18.98,28.11,5239,95.19,0.57,72.46,69.62,30.66,70.55,56.26,82.85,-26.58,58.10
103021062,Condobolin,6372,22.95,21.20,22.77,25.02,10.11,2.07,1.04,0.00,618,2291,12.46,38.37,2291,94.41,2.53,67.00,77.27,30.42,98.95,67.37,74.88,-7.50,58.60
103021063,Cowra,9273,21.68,18.04,21.17,26.63,12.57,1.36,0.61,0.13,803,3760,17.19,35.40,3760,89.95,2.39,66.49,44.82,20.43,96.04,51.65,63.83,-12.19,48.59
103021064,Cowra Surrounds,5716,22.51,15.82,22.55,31.81,11.44,0.98,0.49,0.00,523,2187,16.06,36.21,2187,96.71,0.50,78.24,66.95,14.81,97.37,57.83,89.16,-31.33,66.18
103021065,Forbes,10020,22.28,19.61,21.98,25.64,11.25,1.11,0.51,0.09,910,3805,14.07,37.24,3805,90.14,4.26,68.09,60.84,16.42,98.26,56.52,60.03,-3.51,53.44
103021066,Grenfell,3597,22.13,15.35,21.49,32.67,13.82,1.28,0.64,0.00,308,1497,17.86,40.55,1497,93.79,3.47,76.22,56.96,19.05,99.68,56.51,70.15,-13.64,63.19
103021067,Parkes (NSW),10919,21.89,20.51,22.75,22.47,10.02,1.96,0.90,0.16,1073,4148,20.50,35.96,4148,87.99,6.80,66.10,50.81,29.37,97.17,57.21,50.57,6.65,51.50
103021068,Parkes Surrounds,3262,23.62,20.08,22.04,29.74,9.29,0.43,0.21,0.00,301,1194,14.62,39.52,1194,95.73,1.42,71.52,90.25,7.28,99.43,63.97,81.92,-17.95,61.84
103021069,West Wyalong,5525,22.84,19.62,22.81,26.59,10.62,0.90,0.45,0.00,549,2142,15.85,40.02,2142,91.36,2.05,73.90,74.88,13.67,99.56,60.86,67.60,-6.74,62.89
103031070,Lithgow,12385,21.49,16.11,22.30,27.55,12.01,3.04,1.33,0.38,1020,5149,18.33,30.54,5149,85.43,2.35,65.04,39.89,39.93,81.76,52.46,54.13,-1.66,47.63
103031071,Lithgow Surrounds,8448,23.22,16.70,23.64,31.57,8.40,1.67,0.62,0.44,873,3169,19.47,30.57,3169,96.56,0.09,81.95,84.06,25.00,81.92,62.75,89.89,-27.14,72.81
103031072,Mudgee,12563,21.86,21.36,24.11,20.27,9.35,1.54,0.72,0.11,1357,4727,16.51,30.68,4727,85.61,1.04,63.40,49.76,23.30,82.44,50.30,57.20,-6.90,44.81
103031073,Mudgee Surrounds - East,3398,22.50,14.86,22.07,34.46,13.71,1.94,0.79,0.35,248,1459,14.92,34.63,1459,96.50,1.03,71.90,66.63,29.09,94.82,61.95,86.45,-24.50,60.89
103031074,Mudgee Surrounds - West,11072,24.01,19.28,25.35,28.28,8.56,0.67,0.32,0.04,1190,3975,16.05,34.63,3975,97.41,0.58,79.95,94.74,9.95,94.78,65.08,90.94,-25.86,72.62
103041076,Blayney,7517,23.39,20.25,23.77,26.58,8.50,0.24,0.08,0.08,839,2772,17.88,32.86,2772,95.06,0.79,74.57,86.53,5.66,90.61,59.45,81.80,-22.34,62.76
103041077,Orange,19023,21.41,19.01,22.51,22.92,10.98,2.92,1.35,0.23,1656,7577,17.87,29.29,7577,81.21,4.29,59.61,37.99,39.04,75.89,49.72,44.13,5.59,41.44
103041078,Orange - North,22895,22.38,23.85,25.72,18.25,6.01,3.79,1.73,0.32,2830,8037,16.50,29.26,8037,90.20,2.95,67.72,63.67,45.59,75.73,60.96,63.19,-2.23,55.65
103041079,Orange Surrounds,11830,24.19,20.86,25.68,26.41,7.73,0.67,0.30,0.08,1473,4158,13.44,35.32,4158,93.63,0.96,81.34,96.16,9.87,95.95,65.90,77.10,-11.21,74.38
104011080,Grafton,19255,21.61,18.84,21.70,24.66,12.42,1.12,0.49,0.14,1579,7616,22.67,33.52,7616,82.26,8.27,63.92,43.00,16.50,92.35,48.53,40.94,7.60,44.36
104011081,Grafton Surrounds,16875,22.91,14.65,24.24,33.59,8.06,1.28,0.53,0.23,1503,5860,17.50,32.44,5860,95.60,0.48,84.15,76.42,19.09,89.24,60.20,85.32,-25.12,72.95
104011082,Maclean - Yamba - Iluka,17533,21.62,14.06,20.16,35.31,15.37,0.92,0.38,0.17,1410,7273,18.65,32.09,7273,82.43,3.51,72.53,43.28,13.79,87.82,46.32,46.84,-0.52,52.28
104021083,Bellingen,6168,24.54,19.60,25.42,29.60,8.22,0.96,0.37,0.21,603,2264,17.58,25.82,2264,95.27,0.53,75.27,98.42,14.16,57.12,56.54,83.54,-27.00,61.95
104021084,Coffs Harbour - North,18099,21.81,17.30,24.00,24.94,10.75,3.98,1.71,0.56,1587,7154,18.08,28.55,7154,65.57,14.82,60.57,48.34,46.76,72.90,55.16,24.64,30.52,45.46
