SA2_CODE,SA2_Name,Total_Pop,Total_Dwellings,Pct_Separate_Houses,Pct_Owned,MultiGen_Demand_Score,Generational_Overlap_Score,Cultural_MultiGen_Score,Market_Opportunity_Score
216031593,Kialla,9082,2993,95.76,84.40,79.60,23.19,9.77,84.77
801071076,Fadden,3006,1039,96.73,92.69,73.77,24.93,8.02,84.05
128021534,Illawong - Alfords Point,10554,3290,94.19,92.07,72.51,23.07,10.61,83.25
212021299,Narre Warren North,8241,2308,98.61,93.11,71.71,22.57,13.25,82.85
304011085,Westlake,4444,1473,96.54,87.58,73.07,24.28,13.32,82.48
115011296,West Pennant Hills,12683,3967,91.56,86.77,72.77,23.50,22.88,81.90
304021087,Brookfield - Kenmore Hills,7020,2215,92.37,87.13,72.07,23.64,5.44,81.72
801081091,Chapman,2867,1023,89.93,88.27,70.72,23.68,6.21,81.38
202011023,Maiden Gully,5518,1747,98.86,91.87,69.42,24.78,1.85,81.33
202011024,Strathfieldsaye,10719,3530,99.46,86.23,72.13,24.15,2.60,81.32
507041184,Winthrop,6020,1966,98.78,87.64,71.02,22.73,17.41,81.30
211021262,Warrandyte - Wonga Park,10112,3201,99.16,91.22,69.17,22.97,6.33,81.08
127011593,Cecil Hills,6906,1863,94.85,82.93,75.00,22.12,26.01,81.07
115021297,Dural - Kenthurst - Wisemans Ferry,22479,6807,90.91,83.24,74.33,22.69,10.40,80.84
507041180,Leeming,10883,3817,93.53,86.72,71.09,23.75,9.81,80.82
212031457,Narre Warren South - East,13152,3717,96.77,86.95,70.77,22.55,19.97,80.78
216031418,Shepparton Surrounds - East,4017,1372,98.25,82.29,75.27,24.04,3.26,80.71
125041494,Winston Hills,11199,3681,93.02,84.76,72.40,23.31,14.61,80.69
311031318,Munruben - Park Ridge South,4428,1365,99.19,87.62,69.59,23.48,3.05,80.43
201011007,Smythes Creek,4230,1395,99.78,94.55,67.57,24.70,1.39,80.41
115011557,Castle Hill - West,5183,1545,86.54,84.21,72.28,23.74,25.93,80.26
209031213,Plenty - Yarrambat,9454,3025,95.70,90.81,67.32,22.97,8.79,79.94
503011033,Floreat,8621,2846,89.88,86.16,69.96,24.35,5.35,79.94
210051246,Greenvale - Bulla,22095,6610,96.82,85.51,69.94,22.57,21.58,79.60
128011605,Lilli Pilli - Port Hacking - Dolans Bay,3369,1013,94.77,92.00,66.30,23.44,2.79,79.49
201021012,Gordon (Vic.),6372,2212,99.41,87.79,67.75,24.55,1.82,79.39
317011452,Middle Ridge,7595,2600,93.15,78.50,79.17,23.38,6.57,79.38
505011083,Woodvale,9579,3386,92.56,89.07,66.91,23.83,4.19,79.33
801071083,Macarthur,1405,488,97.34,88.93,66.77,25.07,3.63,79.22
121031410,St Ives,21665,7291,70.22,83.09,71.61,23.63,17.00,79.15
304021089,Fig Tree Pocket,4345,1351,99.41,85.64,68.96,24.30,8.56,79.08
204021067,Wangaratta Surrounds,9925,3703,98.70,85.47,69.08,24.36,1.38,79.07
801011010,Fraser,2126,730,95.89,88.90,66.05,24.39,2.54,78.74
501021252,Gelorup - Stratham,3042,984,99.19,91.77,65.12,24.86,1.12,78.73
505011082,Sorrento - Marmion,10193,3584,81.28,86.55,67.47,23.86,3.28,78.62
304021088,Chapel Hill,10731,3604,97.17,84.52,69.13,24.11,9.66,78.58
123031448,The Oaks - Oakdale,9808,2960,97.64,85.74,67.97,23.18,2.97,78.55
126021590,Putney,4163,1350,83.93,82.74,70.93,22.92,15.78,78.50
216021412,Moira,2843,1043,98.08,81.98,71.89,23.88,2.15,78.33
214021381,Mount Eliza,18734,6271,91.88,89.63,64.91,24.11,2.82,78.31
