SA2_CODE,SA2_Name,Total_Pop,Pct_High_MultiGen_Culture,Pct_Medium_MultiGen_Culture,Cultural_MultiGen_Score,MultiGen_Demand_Score,Supply_Gap_Score,Pct_Separate_Houses
302031036,Brisbane Airport,125,32.00,0.00,64.00,37.06,25.61,0.00
125041719,Rosehill - Harris Park,9034,30.15,1.18,61.49,40.78,38.23,13.61
125041717,Parramatta - North,12062,28.36,1.92,58.64,38.60,37.96,1.16
125041589,Wentworthville - Westmead,21568,27.76,0.98,56.51,44.61,38.75,28.57
125041718,Parramatta - South,9867,27.29,1.69,56.28,40.41,38.10,12.62
213051584,Tarneit - North,7197,26.75,0.67,54.16,40.23,-57.22,98.93
212051568,Clayton - Central,12052,25.98,3.21,55.17,39.17,21.17,40.14
125041588,Pendle Hill - Girraween,13939,24.77,0.94,50.48,62.54,46.04,44.63
125011583,Auburn - North,10592,23.69,3.07,50.44,41.75,39.12,16.10
213051586,Truganina - North,9340,23.23,1.07,47.54,40.46,-49.51,96.50
213051587,Truganina - South East,9596,22.82,1.80,47.45,42.69,-28.63,91.47
213051582,Tarneit (West) - Mount Cottrell,10132,22.56,0.77,45.89,41.90,-56.72,99.33
212041563,Dandenong - North,21487,22.22,2.80,47.24,48.81,33.40,36.90
212051567,Clayton (North) - Notting Hill,9829,21.30,4.57,47.18,37.89,30.57,32.32
210051542,Craigieburn - North West,9842,21.25,1.56,44.06,48.79,-27.18,92.26
125011582,Auburn - Central,19487,21.11,3.73,45.95,49.89,40.31,44.57
212041310,Clayton South,13381,20.85,3.06,44.76,43.43,21.51,55.99
120031396,Homebush,20822,20.60,2.54,43.74,39.38,37.44,10.11
213011335,St Albans - South,17454,20.40,2.50,43.30,52.48,12.96,79.83
213051583,Tarneit - Central,28116,20.27,1.08,41.62,47.65,-18.01,88.66
212041317,Springvale,22248,20.09,4.75,44.93,48.75,18.97,69.29
125011585,Berala,8610,20.03,2.93,43.00,51.52,32.38,60.68
