SA2_CODE,SA2_Name,Total_Pop,Total_Dwellings,Market_Opportunity_Score,MultiGen_Demand_Score,Pct_Owned,Pct_Separate_Houses,Cultural_MultiGen_Score,Large_Family_Indicator,Supply_Gap_Score
216031593,Kialla,9082,2993,84.77,79.60,84.40,95.76,9.77,31.92,-7.90
801071076,Fadden,3006,1039,84.05,73.77,92.69,96.73,8.02,25.37,-12.31
128021534,Illawong - Alfords Point,10554,3290,83.25,72.51,92.07,94.19,10.61,27.08,-3.21
212021299,Narre Warren North,8241,2308,82.85,71.71,93.11,98.61,13.25,28.26,-24.53
304011085,Westlake,4444,1473,82.48,73.07,87.58,96.54,13.32,22.90,-17.02
115011296,West Pennant Hills,12683,3967,81.90,72.77,86.77,91.56,22.88,22.04,7.23
304021087,Brookfield - Kenmore Hills,7020,2215,81.72,72.07,87.13,92.37,5.44,28.31,7.42
801081091,Chapman,2867,1023,81.38,70.72,88.27,89.93,6.21,26.65,8.14
202011023,Maiden Gully,5518,1747,81.33,69.42,91.87,98.86,1.85,31.00,-27.43
202011024,Strathfieldsaye,10719,3530,81.32,72.13,86.23,99.46,2.60,31.63,-26.66
507041184,Winthrop,6020,1966,81.30,71.02,87.64,98.78,17.41,25.74,-25.98
211021262,Warrandyte - Wonga Park,10112,3201,81.08,69.17,91.22,99.16,6.33,28.30,-28.41
127011593,Cecil Hills,6906,1863,81.07,75.00,82.93,94.85,26.01,29.75,-7.32
115021297,Dural - Kenthurst - Wisemans Ferry,22479,6807,80.84,74.33,83.24,90.91,10.40,30.56,11.10
507041180,Leeming,10883,3817,80.82,71.09,86.72,93.53,9.81,24.04,-7.43
212031457,Narre Warren South - East,13152,3717,80.78,70.77,86.95,96.77,19.97,25.98,-19.56
216031418,Shepparton Surrounds - East,4017,1372,80.71,75.27,82.29,98.25,3.26,33.31,-20.32
125041494,Winston Hills,11199,3681,80.69,72.40,84.76,93.02,14.61,24.37,1.17
311031318,Munruben - Park Ridge South,4428,1365,80.43,69.59,87.62,99.19,3.05,30.91,-27.09
201011007,Smythes Creek,4230,1395,80.41,67.57,94.55,99.78,1.39,31.31,-31.42
115011557,Castle Hill - West,5183,1545,80.26,72.28,84.21,86.54,25.93,19.89,13.30
209031213,Plenty - Yarrambat,9454,3025,79.94,67.32,90.81,95.70,8.79,25.53,-13.95
503011033,Floreat,8621,2846,79.94,69.96,86.16,89.88,5.35,25.80,17.17
210051246,Greenvale - Bulla,22095,6610,79.60,69.94,85.51,96.82,21.58,24.95,-20.92
128011605,Lilli Pilli - Port Hacking - Dolans Bay,3369,1013,79.49,66.30,92.00,94.77,2.79,29.07,-17.31
201021012,Gordon (Vic.),6372,2212,79.39,67.75,87.79,99.41,1.82,29.97,-30.47
317011452,Middle Ridge,7595,2600,79.38,79.17,78.50,93.15,6.57,34.10,10.81
505011083,Woodvale,9579,3386,79.33,66.91,89.07,92.56,4.19,26.01,-9.75
801071083,Macarthur,1405,488,79.22,66.77,88.93,97.34,3.63,25.36,-26.07
121031410,St Ives,21665,7291,79.15,71.61,83.09,70.22,17.00,22.16,48.87
304021089,Fig Tree Pocket,4345,1351,79.08,68.96,85.64,99.41,8.56,22.54,-28.17
204021067,Wangaratta Surrounds,9925,3703,79.07,69.08,85.47,98.70,1.38,33.49,-27.64
801011010,Fraser,2126,730,78.74,66.05,88.90,95.89,2.54,27.15,-19.83
501021252,Gelorup - Stratham,3042,984,78.73,65.12,91.77,99.19,1.12,30.55,-32.94
505011082,Sorrento - Marmion,10193,3584,78.62,67.47,86.55,81.28,3.28,27.57,23.82
304021088,Chapel Hill,10731,3604,78.58,69.13,84.52,97.17,9.66,22.21,-22.01
123031448,The Oaks - Oakdale,9808,2960,78.55,67.97,85.74,97.64,2.97,31.15,-24.68
126021590,Putney,4163,1350,78.50,70.93,82.74,83.93,15.78,25.07,16.73
216021412,Moira,2843,1043,78.33,71.89,81.98,98.08,2.15,34.56,-23.25
214021381,Mount Eliza,18734,6271,78.31,64.91,89.63,91.88,2.82,26.38,1.15
201031015,Golden Plains - North,4894,1777,78.27,64.76,89.93,99.04,1.31,30.16,-33.14
123011700,Harrington Park,11241,3228,78.27,67.99,85.16,98.33,7.76,26.21,-27.96
304021086,Bellbowrie - Moggill,10528,3525,78.24,69.18,83.97,95.63,6.40,24.83,-17.23
115041301,Pitt Town - McGraths Hill,11414,3567,78.15,71.75,81.86,91.81,5.07,30.11,9.69
124031463,Mulgoa - Luddenham - Orchard Hills,12040,3553,78.10,75.89,79.03,92.88,10.57,30.30,8.01
506031125,Canning Vale - West,10078,3216,78.01,68.29,84.42,98.45,18.62,22.76,-27.34
211011255,Lysterfield,6594,2036,78.01,64.13,90.72,99.66,10.22,22.25,-34.41
115011558,Cherrybrook,19082,5942,77.99,70.43,82.40,81.47,28.97,19.29,21.49
506031131,Willetton,19262,6159,77.92,76.72,78.50,89.95,24.97,22.77,20.12
801041047,Nicholls,6680,2276,77.88,68.50,84.09,89.32,12.04,23.31,0.70
