SA2_CODE,SA2_Name,Total_Pop,Total_Dwellings,MultiGen_Demand_Score,Generational_Overlap_Score,Cultural_MultiGen_Score,Large_Family_Indicator,Pct_High_MultiGen_Culture,Pct_Young_Children,Pct_Parents,Pct_Grandparents,Pct_Separate_Houses,Pct_Apartments,Pct_Owned
119011656,Greenacre - South,13416,3517,81.03,22.12,27.19,36.23,12.93,24.84,24.35,17.85,67.93,4.89,65.17
313031370,Kilcoy,5799,2043,80.17,23.44,10.85,30.58,5.38,16.93,26.81,28.26,97.45,0.15,75.09
216031593,Kialla,9082,2993,79.60,23.19,9.77,31.92,4.58,22.56,26.40,20.92,95.76,0.00,84.40
127011504,Ashcroft - Busby - Miller,17962,5332,79.22,22.22,21.07,34.84,10.05,24.13,23.57,19.26,80.83,14.07,42.31
317011452,Middle Ridge,7595,2600,79.17,23.38,6.57,34.10,2.90,20.29,25.92,24.29,93.15,3.46,78.50
701021024,Moil,2000,645,78.96,23.58,16.35,27.12,7.60,22.50,30.05,19.35,86.67,0.00,63.57
127021516,Fairfield - West,21249,5856,78.50,21.95,39.48,31.53,18.89,20.05,25.35,20.81,75.67,5.40,56.45
127031599,Lurnea - Cartwright,12670,3805,78.37,22.00,27.08,33.39,12.64,24.25,23.94,18.33,70.96,11.04,50.09
127021510,Bossley Park - Abbotsbury,19690,5678,78.29,22.00,33.38,31.82,15.58,17.19,23.93,25.82,92.71,2.36,70.89
127011595,Hinchinbrook,13038,3499,77.92,22.73,24.97,28.14,11.50,21.94,27.15,19.69,87.85,0.66,76.96
505031256,Carabooda - Pinjar,723,222,77.67,24.30,3.60,34.64,1.24,17.29,27.94,29.60,96.40,0.00,64.41
127021519,Smithfield - Wetherill Park,19510,5984,77.47,21.86,33.91,32.13,15.92,19.26,24.01,22.58,80.95,7.52,59.59
125031713,Greystanes - South,16645,5285,77.06,22.81,19.12,28.44,8.72,21.24,26.85,20.79,85.26,1.02,77.99
127011594,Green Valley,12919,3545,76.90,22.37,27.18,29.28,12.52,19.49,25.39,22.61,82.14,0.90,69.31
127021517,Greenfield Park - Prairiewood,8855,2545,76.89,21.81,36.19,31.72,16.91,17.38,24.09,24.73,86.52,5.78,66.37
506031131,Willetton,19262,6159,76.72,23.97,24.97,22.77,9.79,21.88,30.54,20.56,89.95,5.68,78.50
901011001,Christmas Island,1692,422,76.49,22.99,23.46,26.37,6.62,16.73,31.56,22.93,45.73,30.09,40.28
501021014,Harvey,9309,3409,76.24,22.97,6.53,34.36,3.14,17.38,25.79,26.95,94.63,0.12,72.22
210051247,Meadow Heights,14890,4256,76.13,21.87,28.02,32.12,10.90,21.47,24.75,19.66,82.24,1.13,65.25
506011112,Camillo - Champion Lakes,5793,2110,75.98,23.05,8.75,30.66,3.83,19.94,25.46,24.10,94.98,0.33,71.28
124031463,Mulgoa - Luddenham - Orchard Hills,12040,3553,75.89,22.91,10.57,30.30,4.93,23.44,28.12,18.20,92.88,3.49,79.03
119011655,Greenacre - North,14637,4079,75.88,21.80,25.14,33.51,11.71,22.70,24.03,18.98,59.48,8.07,61.39
115011555,Castle Hill - North,12189,3874,75.80,23.66,22.13,23.50,9.78,18.80,28.15,24.99,83.17,6.92,78.78
215031403,Robinvale,3740,1067,75.52,22.06,18.02,32.83,4.65,18.34,26.79,21.82,88.28,4.22,52.76
509011229,Gnowangerup,2862,1033,75.33,24.81,2.45,34.96,1.22,22.15,27.01,25.51,95.26,0.48,61.67
119011356,Condell Park,12773,3419,75.32,21.84,27.53,31.66,13.00,23.40,24.84,17.90,66.22,1.96,68.18
216031418,Shepparton Surrounds - East,4017,1372,75.27,24.04,3.26,33.31,1.57,18.97,27.26,26.84,98.25,0.00,82.29
801041043,Hall,298,105,75.24,24.93,2.01,47.29,1.01,18.79,27.85,29.53,86.67,0.00,76.19
127021509,Bonnyrigg Heights - Bonnyrigg,17154,4862,75.24,22.10,30.21,29.31,14.08,18.35,24.64,23.84,82.64,4.22,63.12
124051470,St Clair,19942,6327,75.22,23.15,12.77,27.52,5.80,20.92,25.92,22.88,98.36,0.54,76.58
509011231,Kojonup,4053,1520,75.07,24.23,2.42,37.10,1.21,20.26,25.29,27.73,95.79,0.20,64.54
127021514,Edensor Park,10279,2890,75.04,21.92,34.20,29.69,15.79,17.26,23.69,25.72,89.62,1.83,71.18
127011593,Cecil Hills,6906,1863,75.00,22.12,26.01,29.75,11.93,17.67,26.35,23.21,94.85,0.43,82.93
109021179,Wentworth-Balranald Region,3648,1180,74.91,23.52,3.37,35.94,1.01,18.97,24.45,27.99,91.69,1.36,67.03
509021241,Moora,4471,1546,74.91,23.60,3.96,32.91,1.92,19.50,25.61,26.28,92.56,0.00,66.69
123021443,Minto - St Andrews,21335,6539,74.85,23.20,14.87,26.30,6.84,23.00,27.58,19.67,85.35,3.01,65.71
210051545,Roxburgh Park - North,14658,3643,74.64,21.29,37.05,33.96,17.01,25.12,27.08,14.10,90.97,0.00,73.68
116031317,Mount Druitt - Whalan,22918,6980,74.57,22.14,27.20,29.08,12.87,23.78,26.56,17.14,57.79,21.38,46.75
213011333,Kings Park (Vic.),13983,4470,74.48,22.43,33.61,26.49,14.88,18.67,25.23,23.94,95.62,1.63,73.96
115021297,Dural - Kenthurst - Wisemans Ferry,22479,6807,74.33,22.69,10.40,30.56,4.66,18.12,26.14,24.61,90.91,3.64,83.24
119011354,Bass Hill - Georges Hall,23855,6701,73.97,21.82,23.06,31.83,10.77,23.29,24.12,18.49,77.72,7.28,62.78
116031315,Hassall Grove - Plumpton,21414,6027,73.93,22.33,25.82,27.68,12.27,22.07,27.03,18.62,89.15,1.01,70.43
801071076,Fadden,3006,1039,73.77,24.93,8.02,25.37,3.39,19.19,27.31,29.51,96.73,1.35,92.69
509011234,Plantagenet,5388,2001,73.76,23.75,3.54,32.11,1.67,16.65,24.91,32.16,96.90,0.15,74.06
123021438,Claymore - Eagle Vale - Raby,20236,6333,73.47,23.18,9.68,27.56,4.19,22.38,26.27,21.17,87.02,1.15,71.01
127031523,Chipping Norton - Moorebank,20813,6472,73.41,23.03,18.02,25.35,7.95,22.37,28.11,19.41,81.77,5.25,76.33
113011257,Griffith Surrounds,12760,4259,73.40,22.99,4.17,35.75,1.79,19.69,25.33,24.34,95.54,2.02,68.00
212021454,Endeavour Hills - South,13360,4401,73.35,22.84,29.17,24.08,12.90,18.01,25.45,25.96,87.09,0.07,79.91
127021515,Fairfield,18248,5876,73.32,22.04,41.43,27.28,19.74,16.89,26.55,23.81,39.13,46.61,38.65
509021243,Northam,11358,4070,73.25,23.04,5.29,32.26,2.47,18.20,24.59,27.29,94.79,0.39,72.68
701021022,Malak - Marrara,4341,1554,73.24,23.58,9.93,25.98,4.35,20.55,27.16,23.47,63.32,15.89,58.62
116031313,Bidwill - Hebersham - Emerton,18536,5598,73.17,22.22,9.94,33.78,4.53,25.12,22.98,18.98,84.74,2.55,45.96
127011596,Hoxton Park - Carnes Hill - Horningsea Park,13263,3564,73.16,22.46,23.05,27.14,10.53,24.07,29.36,15.96,94.05,0.51,75.45
210051243,Campbellfield - Coolaroo,16057,4892,73.12,21.09,30.90,35.53,13.08,21.68,24.19,17.86,85.47,7.05,65.60
701021029,Wanguri,1836,567,73.09,23.40,10.40,26.37,4.79,20.42,29.63,21.13,91.71,8.99,66.31
304011085,Westlake,4444,1473,73.07,24.28,13.32,22.90,5.90,18.90,26.60,28.40,96.54,0.00,87.58
505031098,Alexander Heights - Koondoola,11687,3949,72.92,22.52,17.97,27.64,7.59,19.54,25.88,22.55,89.47,0.15,75.41
116011306,Doonside - Woodcroft,23384,7054,72.85,22.56,31.86,24.91,15.13,20.01,28.24,20.29,87.43,1.46,62.05
115011296,West Pennant Hills,12683,3967,72.77,23.50,22.88,22.04,9.64,17.24,25.14,29.85,91.56,3.08,86.77
127021520,St Johns Park - Wakeley,11197,3247,72.56,21.76,35.00,28.80,15.92,16.45,23.68,26.37,90.18,1.39,74.53
128021534,Illawong - Alfords Point,10554,3290,72.51,23.07,10.61,27.08,4.21,17.37,23.68,29.78,94.19,2.01,92.07
125041494,Winston Hills,11199,3681,72.40,23.31,14.61,24.37,6.52,21.56,29.54,19.86,93.02,2.31,84.76
701021019,Karama,4803,1554,72.36,22.99,13.30,26.50,5.79,22.65,27.11,19.78,77.22,5.02,58.82
115011557,Castle Hill - West,5183,1545,72.28,23.74,25.93,19.89,11.58,18.97,29.96,23.50,86.54,1.17,84.21
202011024,Strathfieldsaye,10719,3530,72.13,24.15,2.60,31.63,1.12,23.71,28.13,21.09,99.46,0.00,86.23
123021444,Rosemeadow - Glen Alpine,21155,6845,72.11,22.71,8.81,29.82,3.72,20.40,24.02,23.89,82.99,2.16,64.28
304021087,Brookfield - Kenmore Hills,7020,2215,72.07,23.64,5.44,28.31,2.26,19.25,27.18,25.21,92.37,4.29,87.13
501021016,Waroona,4234,1584,71.96,23.31,2.83,35.14,1.35,16.58,25.04,30.40,92.11,0.00,77.65
701021011,Anula,2385,760,71.94,23.84,8.05,25.71,3.73,22.52,29.73,20.21,97.89,0.53,71.45
216021412,Moira,2843,1043,71.89,23.88,2.15,34.56,0.67,17.38,24.27,32.15,98.08,0.00,81.98
506031129,Riverton - Shelley - Rossmoyne,14518,5007,71.81,22.62,22.76,25.63,9.31,19.14,27.86,21.67,82.78,2.42,72.80
115041301,Pitt Town - McGraths Hill,11414,3567,71.75,23.23,5.07,30.11,2.34,20.87,27.48,21.83,91.81,5.02,81.86
604031094,North West,4188,1505,71.72,23.67,2.87,32.16,1.43,19.72,24.93,26.93,97.34,0.40,71.96
