SA2_CODE,SA2_Name,Total_Pop,Total_Dwellings,Supply_Gap_Score,MultiGen_Demand_Score,Supply_Suitability,Pct_Separate_Houses,Pct_Apartments,Cultural_MultiGen_Score,Pct_High_MultiGen_Culture
127021515,Fairfield,18248,5876,64.91,73.32,8.41,39.13,46.61,41.43,19.74
901011001,Christmas Island,1692,422,60.87,76.49,15.61,45.73,30.09,23.46,6.62
116031317,Mount Druitt - Whalan,22918,6980,55.19,74.57,19.38,57.79,21.38,27.20,12.87
119021574,Wiley Park,10135,3095,52.86,58.37,5.50,29.69,64.94,33.82,15.67
119021573,Lakemba,17092,4950,52.73,57.18,4.45,25.54,69.76,31.96,14.77
115011553,Castle Hill - Central,7677,2622,51.59,70.89,19.30,60.37,24.45,22.95,10.29
701041039,Gray,3142,1136,51.33,67.71,16.38,59.77,38.91,8.53,3.79
119011571,Bankstown - North,16981,5527,51.21,55.98,4.77,24.59,65.23,34.88,15.94
121011682,Artarmon,9406,3625,51.06,55.42,4.37,22.62,68.44,24.50,10.48
119011655,Greenacre - North,14637,4079,51.04,75.88,24.84,59.48,8.07,25.14,11.71
125021712,Carlingford - West,19251,6217,50.88,68.40,17.52,58.23,30.51,36.48,16.35
119021366,Punchbowl,21544,6160,50.86,70.11,19.26,58.15,22.95,31.87,14.63
127031732,Liverpool - West,13737,4308,50.70,68.34,17.64,53.69,24.84,33.06,15.03
701021022,Malak - Marrara,4341,1554,50.47,73.24,22.78,63.32,15.89,9.93,4.35
125031483,Guildford - South Granville,22386,6130,50.20,71.28,21.08,61.92,19.64,32.65,15.54
121021579,Wahroonga (West) - Waitara,11877,4413,50.07,54.80,4.73,27.03,68.14,32.52,14.86
119011656,Greenacre - South,13416,3517,49.68,81.03,31.35,67.93,4.89,27.19,12.93
312021347,Mackay Harbour,615,247,49.66,53.82,4.17,8.10,57.09,0.00,0.00
118021654,South Coogee,5611,2054,49.07,58.25,9.18,38.80,41.92,7.45,2.91
127031599,Lurnea - Cartwright,12670,3805,48.88,78.37,29.49,70.96,11.04,27.08,12.64
121031410,St Ives,21665,7291,48.87,71.61,22.73,70.22,22.82,17.00,7.43
120011386,Five Dock - Abbotsford,20933,8378,48.46,56.71,8.25,37.91,46.87,14.58,6.37
121031408,Lindfield - Roseville,24599,8337,48.06,65.98,17.92,64.11,33.36,16.22,6.56
127031601,Warwick Farm,5937,2369,47.87,51.55,3.68,20.14,74.34,30.03,13.59
125031714,Merrylands - Holroyd,23806,7535,47.75,57.05,9.30,41.17,43.28,36.29,17.06
125031480,Fairfield - East,15742,4586,47.26,67.56,20.31,64.72,25.16,36.19,17.13
119011361,Yagoona - Birrong,22484,6546,46.94,70.48,23.54,66.96,18.04,30.81,14.30
125021478,Oatlands - Dundas Valley,18508,6364,46.94,66.72,19.78,51.70,14.14,25.50,11.37
121011687,Willoughby,12996,4504,46.60,64.92,18.33,59.88,27.46,11.32,4.38
125041588,Pendle Hill - Girraween,13939,4412,46.04,62.54,16.50,44.63,23.32,50.48,24.77
119011572,Bankstown - South,18434,5568,45.93,53.46,7.52,36.10,50.56,38.96,18.12
127011504,Ashcroft - Busby - Miller,17962,5332,45.48,79.22,33.74,80.83,14.07,21.07,10.05
118011344,Dover Heights,11122,4111,45.13,52.17,7.04,34.27,52.08,5.92,2.18
121011686,Lane Cove,15888,6215,44.92,51.67,6.76,35.95,56.33,14.02,5.78
125031484,Guildford West - Merrylands West,22929,6946,44.84,63.33,18.49,58.45,25.38,30.00,14.18
311061331,Logan Central,6356,1987,44.68,67.37,22.69,69.25,22.09,9.52,3.96
126011721,Epping (NSW) - West,18690,6427,44.66,58.66,14.00,48.42,43.32,35.56,15.75
206051130,Port Melbourne,16192,7291,44.58,49.07,4.49,6.38,50.47,6.68,2.67
119021367,Roselands,14577,4706,44.21,65.73,21.52,63.41,19.21,24.29,10.83
115011556,Castle Hill - South,10419,3450,44.18,67.80,23.62,70.99,21.86,24.87,11.24
125021711,Carlingford - East,11622,3815,44.15,66.12,21.97,66.89,21.89,30.98,13.20
701021020,Leanyer,4597,1574,44.12,65.36,21.24,71.22,28.14,13.79,6.37
118021653,Matraville - Chifley,13412,4607,44.03,61.87,17.84,50.38,20.10,9.63,3.47
120021387,Balmain,15579,6541,43.71,51.64,7.93,22.31,33.94,3.94,1.58
125011709,Silverwater - Newington,9246,2708,43.50,51.83,8.33,36.37,44.98,22.09,9.36
121021578,Hornsby - West,10629,3719,43.49,67.60,24.11,70.21,20.38,19.52,8.81
119031373,Riverwood,11606,4368,43.27,50.63,7.36,36.13,51.72,34.05,14.89
119011356,Condell Park,12773,3419,43.12,75.32,32.20,66.22,1.96,27.53,13.00
120031576,Strathfield South,3636,1279,42.81,60.16,17.35,55.28,29.16,28.44,12.98
801091102,Garran,3706,1257,42.62,64.34,21.72,61.02,16.55,14.25,6.69
120011383,Concord - Mortlake - Cabarita,23113,8656,42.41,56.00,13.59,45.43,43.41,17.86,7.96
125011587,Regents Park,5138,1613,42.35,61.53,19.17,64.85,29.94,39.06,18.43
115011290,Baulkham Hills - East,24726,8316,41.86,67.55,25.69,67.69,14.81,24.31,11.09
127021516,Fairfield - West,21249,5856,41.81,78.50,36.69,75.67,5.40,39.48,18.89
121031407,Gordon - Killara,22433,7831,41.78,57.36,15.57,55.68,40.31,22.53,9.37
121021577,Hornsby - East,11943,4954,41.51,43.58,2.06,12.01,85.06,30.24,13.71
125031479,Chester Hill - Sefton,20842,5785,41.51,70.48,28.96,72.27,13.34,33.45,15.91
308051534,Gladstone,6174,2653,41.45,59.90,18.45,57.56,24.50,5.78,2.66
127031731,Liverpool - East,17536,6666,41.42,42.63,1.21,5.22,91.16,30.25,13.28
