Suburb,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Income_Weekly,Median_Mortgage_Monthly,Total_Population,Population_55_74
Dalkeith,63.39992257416487,20.376470588235293,47.43529411764706,26.05729877216917,1403,5000,4398,1146
Cottesloe,56.58042834373522,19.836146971201586,44.58788480635551,25.780645161290323,1458,3925,7750,1998
City Beach,56.06931395576772,22.270337148159605,40.64336529539128,24.070536370315946,1228,4000,6805,1638
Swanbourne,51.82867936609972,21.733449477351915,41.89895470383275,21.254355400696863,1362,3504,4592,976
Floreat,50.57850433048105,20.530852994555353,43.46642468239564,23.071569423500755,1215,3250,8621,1989
Mount Claremont,49.4868014428449,20.091135045567523,44.36619718309859,24.54490898179636,994,3033,4999,1227
Applecross,48.82043597084342,20.439377085650722,37.291434927697445,26.411178749308245,1167,2800,7228,1909
Nedlands,48.4691305215958,16.801075268817204,48.406298003072195,22.3558375153868,1121,3347,10561,2361
Mount Pleasant (WA),47.817065135172875,18.511843460350157,36.30278063851699,26.24731759656652,1093,3000,7456,1957
Shenton Park,46.35653576643678,15.119363395225463,51.45888594164456,22.984044846916774,1145,2980,4638,1066
Claremont (WA),45.68146361483297,18.509174311926603,42.43119266055046,22.577854671280274,1115,2800,9248,2088
Subiaco,44.89840385438457,16.148282097649187,48.390596745027125,23.52112676056338,1330,2498,9940,2338
Como (NSW),44.67298307830978,20.37392138063279,32.88590604026846,20.231926967678262,1149,3000,4053,820
Murrumbateman,44.03184646951367,21.86574531095755,26.11056268509378,21.70779040754089,1389,2600,3607,783
Wembley Downs,43.961052711450385,19.719570405727925,40.00596658711218,19.976271689159127,1063,2762,6743,1347
South Perth,42.83284106258985,16.604370327774586,38.25474410580794,26.53223245474754,1147,2200,12596,3342
Ardross,42.733263491541805,16.917131816230143,38.471446972949764,23.503713411970292,1001,2600,4578,1076
Rossmoyne,42.27242902586369,16.469038208168644,39.39393939393939,23.309510720175922,730,2741,3638,848
Waterford (WA),42.16614675715006,12.550937245313772,37.00081499592502,27.479674796747965,801,2817,2460,676
West Leederville,41.76829946134005,16.880093131548314,44.58672875436554,20.829493087557605,1368,2276,4340,904
