Variable,Correlation,Abs_Correlation,N_Observations
Median_tot_hhd_inc_weekly,0.7468962013519785,0.7468962013519785,2883
Median_tot_fam_inc_weekly,0.6840677428310631,0.6840677428310631,2883
Manager_Concentration_Pct,0.6398406833098907,0.6398406833098907,2883
Manager_Plus_Professional_Pct,0.6199966586638654,0.6199966586638654,2883
Professional_Concentration_Pct,0.5507211470622649,0.5507211470622649,2883
Median_tot_prsnl_inc_weekly,0.5434929014133723,0.5434929014133723,2883
Average_household_size,0.34927201094240645,0.34927201094240645,2883
Average_num_psns_per_bedroom,0.2640778668223777,0.2640778668223777,2883
Total_Employed,0.1173275926632211,0.1173275926632211,2883
Median_age_persons,-0.009883542552290316,0.009883542552290316,2883
