Suburb,Region,Rezoning_Category,Rezoning_Likelihood,Subdivision_Risk_Score,Transport_Score,Heritage_Constraint,Separate_House_Pct,Apartment_Pct,Age_65_74_Pct,Age_75_Plus_Pct,Target_Score
North Turramurra,Upper North Shore,Active Rezoning,100.0,100.0,60,0,70.8005249343832,22.11286089238845,10.181211254172627,30.54363376251788,49.17813412222812
North Wahroonga,Upper North Shore,Active Rezoning,86.76935398267344,70.3089274023529,60,0,93.55322338830584,1.7991004497751124,11.761904761904765,9.80952380952381,53.41151642946642
East Killara,Upper North Shore,Active Rezoning,84.45834013269446,65.12274980346355,60,0,99.54648526077098,0.0,9.879101899827289,8.082901554404145,50.22280511749573
East Lindfield,Upper North Shore,Active Rezoning,83.22341095342315,62.351428443442295,60,0,87.85286569717708,11.719418306244654,9.73045822102426,10.296495956873317,53.372376189740805
West Pymble,Upper North Shore,Active Rezoning,81.65717912169033,58.83662629698436,60,0,96.1470065204505,1.4226437462951986,8.233780555045028,7.7743061937143905,47.889382049607065
Willoughby East,Lower North Shore,Active Rezoning,80.55776603529225,56.36941844331642,60,0,95.59859154929578,0.528169014084507,8.905579399141631,6.062231759656652,53.49185382018752
Turramurra,Upper North Shore,Active Rezoning,77.56497919200329,49.6532648014604,60,0,68.08222272419245,27.15156991190422,9.914396887159532,9.750972762645914,48.78114955333773
Pymble,Upper North Shore,Active Rezoning,75.20921950092892,44.366672452250754,60,0,72.37145049884882,24.763366589920697,9.51167728237792,6.794055201698514,52.42285669842741
Roseville,Upper North Shore,Emerging Risk,74.81174046838059,43.47468435159564,60,0,68.80973066898349,28.46799884158703,9.439071566731142,7.4854932301740815,47.640232840825895
Lindfield,Upper North Shore,Emerging Risk,70.24696452420251,33.23080859729815,60,0,52.07301173402868,44.30247718383312,8.964634926436991,8.09650004569131,47.4706718312942
Cremorne Point,Lower North Shore,Emerging Risk,66.04056584668669,23.79117213924369,60,0,13.588516746411482,79.90430622009569,14.140969162995596,9.33920704845815,58.42830355099497
Avalon Beach,Northern Beaches,Emerging Risk,65.53517527008204,62.65701827551818,20,0,81.21314237573716,13.732097725358043,12.49638693515753,9.153097600924944,48.55345980305246
Waverton,Lower North Shore,Emerging Risk,65.19270511363999,21.888476341576908,60,0,17.709118311981914,49.88696307460437,11.036564911103657,8.386447500838646,47.53260106879164
Kirribilli,Lower North Shore,Emerging Risk,64.71421377640716,20.814687426619948,60,0,5.5643879173290935,86.75145733969264,11.904105814273905,12.42766602369799,53.16754166222755
Balgowlah Heights,Northern Beaches,Emerging Risk,62.74239219999556,56.38969582015008,20,0,96.087786259542,0.6679389312977099,8.79864636209814,6.091370558375635,63.72170845911608
Cremorne (NSW),Lower North Shore,Emerging Risk,62.041187291644704,14.816112352464014,60,0,17.096018735362996,71.38953942232631,10.29920980200657,7.875344046879162,49.82523715833364
Milsons Point,Lower North Shore,Emerging Risk,60.95646414685637,12.381870396471736,60,0,0.0,98.97070467141728,13.20680110715698,9.52945828390668,59.37103999019457
Seaforth (NSW),Northern Beaches,Emerging Risk,60.91482294028586,52.28842279869612,20,0,86.63431848257609,5.116894574327305,8.017334777898158,7.326652221018418,57.42992102402446
Castle Cove,Lower North Shore,Emerging Risk,60.20726183639632,70.7005753061894,0,0,90.3078677309008,3.30672748004561,10.404842981460462,12.107453651153993,57.14527647120338
St Ives Chase,Upper North Shore,Moderate Risk,57.88254876254396,65.48365509276536,0,0,95.79158316633266,1.7034068136272544,8.83338409990862,10.173621687480964,52.40378885052017
West Pennant Hills,Hills District,Moderate Risk,57.816058349721175,65.33444305341493,0,0,90.7569418029669,2.795739825028528,12.918170878459687,7.117930204572804,47.56254970151266
North Balgowlah,Northern Beaches,Moderate Risk,57.394018874954725,44.387338530479816,20,0,89.76377952755905,6.474190726159231,6.865828092243187,4.5073375262054505,49.24906669514419
Northbridge (NSW),Lower North Shore,Moderate Risk,53.90379591733887,56.554881741836425,0,0,74.13632119514473,19.234360410831,10.334206068073309,10.50361928230402,59.99099649038956
St Ives (NSW),Upper North Shore,Moderate Risk,52.5133459067993,53.43455397006588,0,0,66.11622737376945,26.103524928548744,10.09029590948651,11.537206266318538,48.78822582255044
Dover Heights,Eastern Suburbs,Moderate Risk,47.78570810908769,42.825197716152665,0,0,66.21004566210046,22.602739726027394,10.16320474777448,6.528189910979229,57.40849643633685
Curl Curl,Northern Beaches,Moderate Risk,45.6130607471877,37.94953023424887,0,0,75.47169811320755,16.037735849056602,7.106598984771575,5.076142131979696,48.12447698188036
North Coogee,Eastern Suburbs,Moderate Risk,44.31635499460573,35.03957522621085,0,0,47.33288318703578,41.86360567184335,12.269446672012831,6.335204490777866,47.76732493765562
South Coogee,Eastern Suburbs,Moderate Risk,41.938310401396826,29.70297302515862,0,0,38.80233690360272,41.91820837390458,9.392265193370166,8.590269114239886,51.163474121683386
Drummoyne,Inner West,Moderate Risk,40.473790214322364,26.41642336324469,0,0,30.41268550518398,57.12543199837366,9.890933311131462,9.549579552077264,48.58161986263523
Queens Park (NSW),Eastern Suburbs,Moderate Risk,40.21205728907704,25.82906494745179,0,0,35.993061578490895,25.758889852558543,8.845052497613745,6.713331212217627,54.94066264091042
Manly (NSW),Northern Beaches,Low Risk,39.8651028750823,5.0504598301732,20,0,11.329413451885848,76.75319087910512,8.038782523318606,7.449680903289151,50.918481911870806
McMahons Point,Lower North Shore,Low Risk,39.14625303891812,23.437279140099086,0,0,13.00256629597947,62.788708297690334,12.267818574514038,9.805615550755938,54.8451128857854
Rose Bay (NSW),Eastern Suburbs,Low Risk,38.37727761604249,21.711610939430237,0,0,20.619071392910637,68.8467299051423,9.464231661789931,10.81626475633135,47.91366282859028
