Suburb,Region,Target_Score,Subdivision_Risk_Score,Risk_Category,Separate_House_Pct,Semi_Detached_Pct,Apartment_Pct,Age_55_64_Pct,Age_65_74_Pct,Age_75_Plus_Pct,Manager_Pct,Median_Mortgage_Monthly
North Turramurra,Upper North Shore,49.17813412222812,100.0,Very High,70.8005249343832,6.36482939632546,22.11286089238845,11.063423938960419,10.181211254172627,30.54363376251788,24.705882352941178,3629
Castle Cove,Lower North Shore,57.14527647120338,70.7005753061894,Very High,90.3078677309008,6.499429874572406,3.30672748004561,13.999243284146804,10.404842981460462,12.107453651153993,26.463104325699742,4000
North Wahroonga,Upper North Shore,53.41151642946642,70.3089274023529,Very High,93.55322338830585,4.7976011994003,1.7991004497751124,12.476190476190476,11.761904761904763,9.80952380952381,23.71458551941238,3884
Longueville,Lower North Shore,65.61050864152898,67.36436715908147,High,98.76352395672335,0.0,1.7001545595054095,15.973534971644613,11.57844990548204,7.655954631379962,25.0,5000
Castlecrag,Lower North Shore,63.12449399440964,65.80641908958357,High,97.38219895287958,1.1518324607329842,1.1518324607329842,15.210792580101181,11.602023608768972,7.1838111298482294,26.89133425034388,4333
St Ives Chase,Upper North Shore,52.40378885052017,65.48365509276536,High,95.79158316633266,2.3046092184368736,1.7034068136272544,12.183978068839476,8.83338409990862,10.173621687480964,24.077800134138165,4223
West Pennant Hills,Hills District,47.56254970151266,65.33444305341493,High,90.7569418029669,6.466337010270065,2.795739825028528,14.789410348977135,12.918170878459687,7.1179302045728035,20.287384315635656,3033
East Killara,Upper North Shore,50.22280511749573,65.12274980346355,High,99.54648526077098,0.3401360544217687,0.0,14.54231433506045,9.879101899827289,8.082901554404145,20.793650793650794,3900
Avalon Beach,Northern Beaches,48.55345980305246,62.65701827551818,High,81.21314237573716,4.830103903397922,13.732097725358045,15.435013007033433,12.49638693515753,9.153097600924944,22.11712618233045,3250
Hunters Hill,Lower North Shore,57.75063616695454,62.62005532142829,High,70.83906464924347,11.760660247592847,17.46905089408528,12.314177945418239,10.849789216773907,13.157310849789216,26.31710362047441,4333
East Lindfield,Upper North Shore,53.372376189740805,62.351428443442295,High,87.85286569717708,0.2566295979469632,11.719418306244654,12.398921832884097,9.730458221024259,10.296495956873315,23.98773006134969,4000
West Pymble,Upper North Shore,47.889382049607065,58.83662629698436,High,96.1470065204505,1.956135151155898,1.4226437462951986,12.699871347178826,8.233780555045028,7.7743061937143905,23.328380386329865,3467
Northbridge (NSW),Lower North Shore,59.99099649038956,56.554881741836425,High,74.13632119514473,6.3958916900093365,19.234360410831002,13.137224703526876,10.334206068073309,10.503619282304019,25.025397900440232,4649
Balgowlah Heights,Northern Beaches,63.72170845911608,56.389695820150074,High,96.08778625954199,3.2442748091603053,0.6679389312977099,13.620981387478851,8.79864636209814,6.091370558375635,29.22619047619048,4878
Willoughby East,Lower North Shore,53.49185382018752,56.36941844331642,High,95.59859154929578,3.5211267605633805,0.528169014084507,11.21244635193133,8.905579399141631,6.062231759656652,24.887892376681613,4219
St Ives (NSW),Upper North Shore,48.78822582255044,53.43455397006588,High,66.11622737376945,7.605589075897109,26.103524928548744,11.972367275892081,10.09029590948651,11.537206266318538,23.38314405260012,3467
Seaforth (NSW),Northern Beaches,57.42992102402446,52.28842279869612,High,86.63431848257609,7.940008822232025,5.116894574327305,12.689599133261106,8.017334777898158,7.326652221018418,28.20292347377472,4333
Turramurra,Upper North Shore,48.78114955333773,49.653264801460395,Moderate,68.08222272419245,4.404788796024396,27.15156991190422,12.381322957198442,9.914396887159533,9.750972762645914,21.904149244129943,3484
North Balgowlah,Northern Beaches,49.24906669514419,44.387338530479816,Moderate,89.76377952755905,3.674540682414698,6.474190726159231,9.879454926624739,6.865828092243187,4.5073375262054505,25.0402144772118,4005
Pymble,Upper North Shore,52.42285669842741,44.366672452250754,Moderate,72.37145049884882,2.4814530570478386,24.763366589920697,13.324840764331212,9.51167728237792,6.794055201698514,23.523333907353194,3689
Roseville,Upper North Shore,47.640232840825895,43.47468435159564,Moderate,68.80973066898349,2.7512308137851145,28.46799884158703,11.20889748549323,9.439071566731142,7.4854932301740815,20.558725162305723,3651
Dover Heights,Eastern Suburbs,57.40849643633685,42.825197716152665,Moderate,66.21004566210046,11.187214611872145,22.602739726027394,12.710187932739862,10.163204747774481,6.528189910979229,24.61459403905447,4333
Curl Curl,Northern Beaches,48.12447698188036,37.94953023424887,Moderate,75.47169811320755,8.221024258760108,16.037735849056602,12.39424703891709,7.1065989847715745,5.0761421319796955,23.419773095623984,3775
Vaucluse,Eastern Suburbs,56.82930168444566,36.941076506407086,Moderate,48.710949347892026,8.492569002123142,40.400363967242946,12.544689800210303,9.589905362776026,9.453207150368033,26.169922762380736,4200
Mosman,Lower North Shore,56.16516839412131,35.0984643582016,Moderate,34.89258489258489,11.988911988911989,51.98371448371448,13.166719615941261,10.858131243601962,11.069928341981715,24.79151943462897,3870
North Coogee,Eastern Suburbs,47.76732493765562,35.03957522621085,Moderate,47.33288318703578,10.330857528696827,41.86360567184335,17.802726543704892,12.269446672012831,6.335204490777866,21.040299906279287,2817
Lindfield,Upper North Shore,47.4706718312942,33.23080859729815,Moderate,52.07301173402868,3.1812255541069105,44.30247718383312,11.486795211550763,8.964634926436991,8.09650004569131,21.72670097198399,3450
Woollahra,Eastern Suburbs,55.80134567387189,30.038391277088273,Moderate,17.8045515394913,31.091030789825968,50.401606425702816,10.738628460147448,10.905550146056475,12.101822228404508,23.501070663811564,4000
South Coogee,Eastern Suburbs,51.163474121683386,29.70297302515862,Low,38.80233690360272,18.15968841285297,41.91820837390458,12.742826590625555,9.392265193370166,8.590269114239886,23.817496860611133,4000
Drummoyne,Inner West,48.58161986263523,26.41642336324469,Low,30.41268550518398,10.896523683675543,57.12543199837366,12.421946548996752,9.890933311131462,9.549579552077264,23.389463927081724,3200
Queens Park (NSW),Eastern Suburbs,54.94066264091042,25.82906494745179,Low,35.993061578490895,38.161318300086734,25.758889852558543,10.944957047406936,8.845052497613745,6.713331212217627,23.5479797979798,4333
Balmain East,Inner City/Inner West,64.04703089950931,25.63059125021153,Low,15.723270440251572,45.0314465408805,37.61006289308176,14.473684210526317,12.210526315789473,8.263157894736842,26.65985699693565,4333
Cremorne Point,Lower North Shore,58.42830355099497,23.791172139243695,Low,13.588516746411482,6.794258373205741,79.90430622009569,15.90308370044053,14.140969162995596,9.33920704845815,25.528455284552848,2996
McMahons Point,Lower North Shore,54.8451128857854,23.437279140099086,Low,13.00256629597947,24.03763900769889,62.788708297690334,14.773218142548597,12.267818574514038,9.805615550755938,24.10841654778887,3000
Waverton,Lower North Shore,47.53260106879164,21.888476341576908,Low,17.709118311981914,32.705350414468725,49.886963074604374,10.768198591076821,11.036564911103657,8.386447500838646,20.761245674740483,3053
Bellevue Hill,Eastern Suburbs,54.14250605633431,21.871588279270192,Low,33.82642998027613,4.289940828402367,61.365877712031555,11.841359773371105,10.226628895184136,6.88385269121813,23.464595375722546,3900
Rose Bay (NSW),Eastern Suburbs,47.91366282859028,21.711610939430233,Low,20.619071392910634,8.786819770344485,68.8467299051423,10.806174957118353,9.464231661789931,10.81626475633135,24.017295597484274,3250
Double Bay,Eastern Suburbs,50.12642895822049,21.467535497793474,Low,13.427230046948358,8.591549295774648,76.61971830985915,10.278190698662137,11.276279464854534,10.95774049692079,24.072672218016656,3000
Kirribilli,Lower North Shore,53.16754166222755,20.814687426619948,Low,5.5643879173290935,6.7302596714361425,86.75145733969264,13.254340038578121,11.904105814273905,12.42766602369799,23.42971086739781,3033
Balmain,Inner City/Inner West,58.0620838774616,18.843983762068607,Low,21.775095014531633,39.839034205231385,37.64811088754751,12.82762578917161,10.06313372871628,6.2368471398507745,26.360931209522143,3986
Rozelle,Inner City/Inner West,53.64233512733741,15.307076502589517,Low,24.535109630863168,38.85650846516791,34.91534832084374,11.352741728048638,9.330059628200631,4.653338010054951,26.363453411149123,3500
Bronte,Eastern Suburbs,50.96502859298808,15.264258885458846,Low,30.80999242997729,18.50870552611658,49.43224829674489,11.303377058331007,7.200669829751605,6.670387943064471,22.353850115889777,3975
Cremorne (NSW),Lower North Shore,49.82523715833364,14.816112352464014,Low,17.096018735362996,11.29976580796253,71.38953942232631,10.911835212643167,10.29920980200657,7.875344046879162,24.124031007751935,3200
Annandale (NSW),Inner City/Inner West,47.46686265643975,14.759760704891997,Low,22.772799156562996,47.074327886136004,28.808645229309437,11.120480657742174,8.559080847475494,5.049014440813745,21.19585338763421,3467
Milsons Point,Lower North Shore,59.37103999019457,12.381870396471735,Low,0.0,0.4750593824228029,98.97070467141727,14.590747330960854,13.206801107156979,9.529458283906681,28.68579052701801,2800
Paddington (NSW),Eastern Suburbs,53.54354759014955,10.588640503537789,Low,6.566024008730448,60.56747908330302,31.811567842851947,10.503109991339263,8.070230690496812,7.196283757184474,23.4458490811938,4000
Elizabeth Bay,Inner City/Inner West,48.92553490755349,8.287433514641025,Low,0.34662045060658575,0.48526863084922006,98.61351819757365,13.530135301353013,10.63960639606396,10.209102091020911,22.712628865979383,2582
