Suburb,Region,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Personal_Income_Weekly,Median_Family_Income_Weekly,Median_Mortgage_Monthly,Median_Age,Total_Population,Population_55_74,Total_Managers,Total_Employed
Longueville,Lower North Shore,65.61050864152898,25.0,43.56060606060606,27.551984877126657,1453,5150,5000,46,2116,583,264,1056
Balmain East,Inner City/Inner West,64.04703089950931,26.65985699693565,46.88457609805924,26.684210526315788,1550,4641,4333,46,1900,507,261,979
Balgowlah Heights,Northern Beaches,63.72170845911608,29.226190476190478,38.75,22.419627749576986,1333,4784,4878,43,3546,795,491,1680
Castlecrag,Lower North Shore,63.12449399440964,26.891334250343878,42.847317744154054,26.812816188870155,1446,4857,4333,47,2965,795,391,1454
Northbridge (NSW),Lower North Shore,59.99099649038956,25.025397900440232,42.397561801557735,23.471430771600186,1375,4650,4649,44,6493,1524,739,2953
Milsons Point,Lower North Shore,59.37103999019457,28.685790527018014,45.163442294863245,27.79754843811783,1866,4517,2800,44,2529,703,430,1499
Cremorne Point,Lower North Shore,58.42830355099497,25.528455284552848,45.9349593495935,30.04405286343612,1661,4509,2996,47,2270,682,314,1230
Balmain,Inner City/Inner West,58.0620838774616,26.360931209522143,42.67460178540172,22.89075951788789,1577,4562,3986,42,10454,2393,1506,5713
Hunters Hill,Lower North Shore,57.75063616695454,26.31710362047441,37.403245942571786,23.163967162192144,1239,4583,4333,46,9014,2088,1054,4005
Seaforth (NSW),Northern Beaches,57.42992102402446,28.20292347377472,35.597592433361996,20.706933911159265,1263,4620,4333,42,7384,1529,984,3489
Dover Heights,Eastern Suburbs,57.40849643633685,24.61459403905447,42.034943473792396,22.873392680514343,1404,4572,4333,41,4044,925,479,1946
Castle Cove,Lower North Shore,57.14527647120338,26.463104325699742,38.16793893129771,24.404086265607265,1219,3841,4000,46,2643,645,312,1179
Vaucluse,Eastern Suburbs,56.82930168444566,26.169922762380736,38.323489323034984,22.134595162986333,1393,4560,4200,43,9510,2105,1152,4402
Mosman,Lower North Shore,56.16516839412131,24.791519434628974,41.59010600706714,24.02485085954322,1487,4502,3870,45,28329,6806,3508,14150
Woollahra,Eastern Suburbs,55.80134567387189,23.501070663811564,48.688436830835116,21.644178606203923,1638,4557,4000,42,7189,1556,878,3736
Queens Park (NSW),Eastern Suburbs,54.94066264091042,23.5479797979798,44.88636363636363,19.79000954502068,1515,4637,4333,40,3143,622,373,1584
Clovelly,Eastern Suburbs,54.84960822096062,23.940058479532166,45.02923976608187,18.57990587272355,1633,4236,4333,37,4887,908,655,2736
McMahons Point,Lower North Shore,54.8451128857854,24.10841654778887,46.718972895863054,27.04103671706263,1664,4226,3000,44,2315,626,338,1402
Bellevue Hill,Eastern Suburbs,54.14250605633431,23.464595375722546,43.28034682080925,22.06798866855524,1575,4509,3900,39,10590,2337,1299,5536
Rozelle,Inner City/Inner West,53.642335127337404,26.363453411149123,41.235661098812635,20.68280135624927,1652,4372,3500,40,8553,1769,1310,4969
Paddington (NSW),Eastern Suburbs,53.54354759014955,23.445849081193796,48.612016160563016,18.573340681836076,1698,4686,4000,38,12701,2359,1799,7673
Willoughby East,Lower North Shore,53.49185382018752,24.887892376681613,39.686098654708516,20.118025751072963,1155,4678,4219,42,1864,375,222,892
North Wahroonga,Upper North Shore,53.41151642946642,23.71458551941238,40.29380902413431,24.23809523809524,1039,3531,3884,45,2100,509,226,953
East Lindfield,Upper North Shore,53.372376189740805,23.987730061349694,41.96319018404908,22.129380053908356,1132,3898,4000,43,3710,821,391,1630
Kirribilli,Lower North Shore,53.16754166222755,23.42971086739781,49.2023928215354,25.158445852852022,1598,3744,3033,44,3629,913,470,2006
Pymble,Upper North Shore,52.42285669842741,23.523333907353194,43.48200447735492,22.836518046709127,1224,3757,3689,41,11775,2689,1366,5807
