Suburb,Target_Score,Manager_Pct,Age_55_74_Pct,Median_Income_Weekly,Median_Mortgage_Monthly
Leichhardt (Qld),14.122629882135517,5.8902275769745644,16.439275329903825,580,1200
Queens Park (WA),17.35734768493985,7.144805017725661,12.09411117226197,781,1640
Parramatta Park,18.902820570268986,7.28476821192053,17.50897542115438,758,1300
Newtown (Toowoomba - Qld),20.816141042709553,7.898858805101812,20.659428229903376,688,1254
Ferryden Park,21.654818778959164,8.094519859225741,20.42269187986652,548,1500
Kingswood (Penrith - NSW),21.895226218455118,8.39677047289504,16.373554029906895,747,1755
Epping (Vic.),22.049391674098516,8.550531914893616,17.98501000328466,709,1733
Clovelly Park,22.87270227645025,9.090909090909092,16.634676903390915,755,1616
St Leonards (Tas.),23.37643001793681,10.273972602739725,20.7145895363675,767,1300
Campbelltown (NSW),23.813291685360184,8.911036201084567,16.14284852506485,739,2000
