Suburb,Target_Score,Manager_Pct,Professional_Pct,Age_55_74_Pct,Median_Income_Weekly,Median_Mortgage_Monthly,Total_Population,Population_55_74
Longueville,67.3279530974525,25.0,43.56060606060606,27.551984877126657,1453,5000,2116,583
Balmain East,65.50426928694698,26.65985699693565,46.88457609805924,26.684210526315788,1550,4333,1900,507
Balgowlah Heights,65.0429163455008,29.226190476190478,38.75,22.419627749576986,1333,4878,3546,795
Castlecrag,64.53140050105016,26.891334250343878,42.847317744154054,26.812816188870155,1446,4333,2965,795
Northbridge (NSW),62.192420828466595,25.025397900440232,42.397561801557735,23.471430771600186,1375,4649,6493,1524
Balmain,60.03359642273264,26.360931209522143,42.67460178540172,22.89075951788789,1577,3986,10454,2393
Cremorne Point,59.866441653155285,25.528455284552848,45.9349593495935,30.04405286343612,1661,2996,2270,682
Dover Heights,59.79251795718151,24.61459403905447,42.034943473792396,22.873392680514343,1404,4333,4044,925
Hunters Hill,59.730223124273344,26.31710362047441,37.403245942571786,23.163967162192144,1239,4333,9014,2088
Seaforth (NSW),59.235026393236524,28.20292347377472,35.597592433361996,20.706933911159265,1263,4333,7384,1529
Vaucluse,58.943453324597556,26.169922762380736,38.323489323034984,22.134595162986333,1393,4200,9510,2105
Woollahra,58.568713544898756,23.501070663811564,48.688436830835116,21.644178606203923,1638,4000,7189,1556
Mosman,58.40354412730573,24.791519434628974,41.59010600706714,24.02485085954322,1487,3870,28329,6806
Queens Park (NSW),57.89732955371395,23.5479797979798,44.88636363636363,19.79000954502068,1515,4333,3143,622
Clovelly,57.82980348694026,23.940058479532166,45.02923976608187,18.57990587272355,1633,4333,4887,908
Bellevue Hill,56.89224492300673,23.464595375722546,43.28034682080925,22.06798866855524,1575,3900,10590,2337
Paddington (NSW),56.65398263243484,23.445849081193796,48.612016160563016,18.573340681836076,1698,4000,12701,2359
Willoughby East,56.16374134181448,24.887892376681613,39.686098654708516,20.118025751072963,1155,4219,1864,375
East Lindfield,56.052526115792126,23.987730061349694,41.96319018404908,22.129380053908356,1132,4000,3710,821
North Wahroonga,55.946996592041955,23.71458551941238,40.29380902413431,24.23809523809524,1039,3884,2100,509
