SAL_CODE_2021,Suburb_Name,Total_Managers,Total_Employed,Manager_Concentration_Pct
SAL80010,ACT Remainder - Majura,67,101,66.33663366336634
SAL22123,Princetown,74,124,59.67741935483871
SAL30723,Corfield,60,101,59.4059405940594
SAL51382,South Plantations,61,104,58.65384615384615
SAL13759,Tambar Springs,58,104,55.769230769230774
SAL51245,Pingrup,68,122,55.73770491803278
SAL22374,Strathdownie,60,109,55.04587155963303
SAL20231,Beulah (Vic.),64,120,53.333333333333336
SAL10345,Bigga,54,103,52.42718446601942
SAL10203,Barmedman,68,130,52.307692307692314
SAL20631,Cooriemungle,101,194,52.0618556701031
SAL20841,Ecklin South,66,129,51.162790697674424
SAL30180,Basalt (Qld),55,111,49.549549549549546
SAL21981,Nullawarre,58,119,48.739495798319325
SAL20480,Caramut,52,108,48.148148148148145
SAL22429,Tallangatta Valley,49,102,48.03921568627451
SAL51148,North Plantations,107,223,47.98206278026906
SAL10843,Cassilis (NSW),57,119,47.89915966386555
SAL40214,Cannawigara,49,103,47.57281553398058
SAL12000,Ivanhoe (NSW),54,115,46.95652173913044
SAL13929,Tooraweenah,57,122,46.72131147540984
SAL22890,Yalca,55,118,46.61016949152542
SAL32778,Thallon,62,135,45.925925925925924
SAL31528,Kilcummin,56,122,45.90163934426229
SAL51171,Nyabing,62,136,45.588235294117645
SAL50465,East Pingelly,59,130,45.38461538461539
SAL14154,Wantabadgery,45,100,45.0
SAL51442,Tenterden (WA),45,100,45.0
SAL31125,Gindie,57,127,44.881889763779526
SAL14232,Weethalle,47,105,44.761904761904766
SAL50388,Darkan,79,178,44.38202247191011
SAL41348,Smoky Bay,47,107,43.925233644859816
SAL13972,Tullamore,63,144,43.75
SAL10362,Binda,60,138,43.47826086956522
SAL32230,Orange Creek,46,106,43.39622641509434
SAL22245,Scotts Creek (Vic.),51,118,43.22033898305085
SAL21602,Mardan,50,116,43.103448275862064
SAL13635,Spring Ridge,56,130,43.07692307692308
SAL50352,Cranbrook (WA),97,226,42.92035398230089
SAL40707,Kongorong,45,105,42.857142857142854
SAL12861,Murrami,46,108,42.592592592592595
SAL21048,Glenthompson,49,116,42.241379310344826
SAL50520,Frankland River,83,197,42.13197969543147
SAL80030,Campbell,1728,4126,41.88075618031992
SAL20611,Colbinabbin,59,141,41.843971631205676
SAL21118,Gundowring,51,122,41.80327868852459
SAL11590,Garah,50,120,41.66666666666667
SAL13914,Tomingley,65,156,41.66666666666667
SAL40138,Booleroo Centre,92,221,41.6289592760181
SAL22283,Simpson (Vic.),131,315,41.58730158730159
