Suburb,Median_Mortgage_Monthly,Manager_Pct,Professional_Pct,Manager_Plus_Prof_Pct,Median_Personal_Income_Weekly,Median_Rent_Weekly,Total_Employed
Walcha,1083,29.57619477006312,11.632100991884581,41.208295761947696,701,203,1109
Canowindra,1100,23.53525322740814,14.299900695134063,37.835153922542204,609,220,1007
Condobolin,1000,20.311284046692606,11.98443579766537,32.295719844357976,668,200,1285
Nhill,774,20.17857142857143,13.750000000000002,33.92857142857143,717,200,1120
St George (Qld),1224,19.298245614035086,14.035087719298245,33.33333333333333,776,210,1482
Tanunda,1452,19.148936170212767,19.51109099139882,38.66002716161159,777,300,2209
Robinvale,1012,19.13536498936924,5.598866052445074,24.734231041814315,615,220,1411
Finley,953,19.113300492610836,12.216748768472907,31.330049261083744,636,175,1015
McLaren Vale,1560,18.202374222724703,18.315432447710574,36.51780667043528,687,328,1769
Angaston,1343,17.988394584139265,19.43907156673114,37.4274661508704,733,249,1034
Tenterfield,1192,17.87375415282392,14.485049833887043,32.35880398671097,517,250,1505
Molong,1600,17.747440273037544,15.955631399317404,33.70307167235495,727,270,1172
Deloraine,1203,17.539484621778886,13.216957605985039,30.756442227763927,559,243,1203
Daylesford,1532,17.194183062446537,22.840034217279726,40.03421727972626,715,331,1169
Coonabarabran,1000,16.991869918699187,15.772357723577235,32.764227642276424,594,210,1230
Narromine,1213,16.852737905369484,13.397129186602871,30.249867091972355,710,250,1881
Longreach (Qld),1185,16.57559198542805,16.39344262295082,32.96903460837887,974,200,1647
Irymple (Vic.),1343,16.50153741031773,14.656645029039971,31.158182439357702,763,260,2927
Beechworth,1550,16.434827408552295,27.04791344667697,43.48274085522927,767,300,1941
Mansfield (Vic.),1603,16.416184971098264,15.992292870905588,32.408477842003855,758,331,2595
East Launceston,1600,16.310845431255338,33.81725021349274,50.12809564474808,932,330,1171
Norfolk Island,1300,16.049382716049383,13.227513227513226,29.276895943562607,736,240,1134
Rutherglen,1300,15.85261353898886,15.5955441302485,31.44815766923736,722,250,1167
Cowra,1235,15.616638287521283,13.451714911213816,29.0683531987351,617,230,4111
Bowden,1560,15.599639314697928,40.21641118124437,55.81605049594229,1056,390,1109
