SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus,SAL_CODE_2021,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,Total_Population_G01,Tertiary_Total,Tertiary_Percentage,Unemployment_Rate
SAL10396,Blacktown,India,13006,33584,68097,19.09922610393997,SAL10396,34,757,1774,2.9,50961,11334,44.710059171597635,7.1
SAL11971,Hurstville,China,12913,13363,43977,29.36307615344385,SAL11971,33,698,1804,2.8,31162,10340,58.1160071942446,6.9
SAL10107,Auburn (NSW),China,8849,16615,54040,16.374907475943743,SAL10107,31,580,1533,3.3,39333,7808,45.42704212241098,11.4
SAL11431,Epping (NSW),China,8409,16302,41820,20.107604017216644,SAL11431,36,946,2243,2.8,29551,13392,72.74702591123908,5.4
SAL10781,Campsie,China,8037,11388,35382,22.714939799898254,SAL10781,36,652,1497,2.6,26132,5991,46.14851332614389,8.0
SAL10817,Carlingford,China,7955,17851,39786,19.994470416729506,SAL10817,38,791,2084,3.0,28044,9909,63.32438650306749,5.2
SAL10891,Chatswood,China,7250,13409,35225,20.581973030518096,SAL10891,37,938,2158,2.5,25553,11215,69.84057790509404,5.5
SAL11372,Eastwood (NSW),China,7020,10689,26324,26.66767968393861,SAL11372,39,760,1945,2.8,18695,7221,64.90203127808736,5.7
SAL13299,Quakers Hill,India,6691,22087,39017,17.148935079580696,SAL13299,35,917,2310,3.1,27893,7165,49.91292232671543,5.0
SAL13517,Schofields,India,5560,10209,21315,26.08491672531081,SAL13517,32,1162,2696,3.2,15213,5150,63.00464888671398,4.4
SAL13851,The Ponds,India,5523,11076,23136,23.87188796680498,SAL13851,35,1207,3285,3.5,16315,5553,65.46804998821032,4.2
SAL10846,Castle Hill (NSW),China,5454,32534,57310,9.516663758506368,SAL10846,42,931,2551,3.0,40874,14247,60.37376048817696,4.5
SAL13925,Toongabbie (NSW),India,5099,10653,22578,22.583931260519087,SAL13925,35,843,2106,2.9,16177,4685,54.22453703703704,6.3
SAL13469,Ryde,China,5012,22717,42851,11.696343142517094,SAL13469,36,983,2024,2.4,31907,11679,60.56002074150895,4.9
SAL12515,Marsden Park,India,4997,9695,20447,24.438792976964837,SAL12515,32,1131,2722,3.4,14610,4578,61.08072048032022,3.9
SAL11686,Glenwood (NSW),India,4463,11472,22576,19.76878100637845,SAL11686,37,984,3068,3.5,15829,5128,60.60749320411299,4.8
SAL10233,Baulkham Hills,China,4462,31933,53072,8.407446487790173,SAL10233,39,973,2474,3.0,37415,12079,58.19241701594643,4.4
SAL10099,Ashfield (NSW),China,4080,15579,31649,12.8914025719612,SAL10099,36,890,1888,2.3,23012,9026,61.317934782608695,6.3
SAL11943,Hornsby,China,4052,15242,31168,13.000513347022588,SAL11943,38,890,1952,2.5,22462,8492,61.81844653126593,4.7
SAL14244,Wentworth Point,China,3826,6618,16920,22.61229314420804,SAL14244,32,1196,2035,2.1,12703,6102,68.69300911854104,5.7
SAL14542,Zetland,China,3765,6300,16831,22.369437347751173,SAL14542,30,1262,2192,2.0,12622,6497,69.3531169940222,6.0
SAL13533,Seven Hills (NSW),India,3762,15303,27489,13.685474189675867,SAL13533,37,780,1892,2.8,20095,4620,45.409868291724,5.8
SAL12749,Mosman,England,3686,25512,38222,9.643660718957667,SAL12749,45,1487,2892,2.3,28329,12944,70.34782608695652,3.6
SAL11936,Homebush (NSW),India,3619,5005,16437,22.01739976881426,SAL11936,31,960,2101,2.5,11660,5136,67.5256376544833,6.4
SAL12529,Mascot,China,3565,11638,28023,12.721692895121864,SAL12529,30,993,2254,2.5,21591,8185,58.16101755133944,5.9
SAL13386,Riverwood,China,3399,7547,16925,20.08271787296898,SAL13386,40,564,1210,2.5,12793,2672,44.40751204919395,7.8
SAL13325,Randwick,England,3215,23738,38035,8.45274089654266,SAL13325,36,1336,2422,2.2,28943,12556,65.29720734307556,3.6
SAL13193,Pendle Hill,India,3096,4068,10451,29.623959429719644,SAL13193,37,773,1824,2.8,7743,2244,52.91204904503655,6.2
SAL12096,Kellyville,India,3076,22582,38387,8.013129444864147,SAL12096,38,1049,3044,3.3,27011,8586,58.285248795058045,4.1
SAL14371,Wolli Creek,China,3052,3874,13102,23.29415356434132,SAL14371,30,1071,2163,2.2,10654,5513,68.6294037096975,6.3
SAL12485,Manly (NSW),England,2892,13486,21812,13.258756647716854,SAL12485,38,1595,3164,2.2,16296,7800,68.78913484434254,3.5
SAL14201,Waterloo (NSW),China,2744,9553,20596,13.322975335016508,SAL14201,33,1172,2028,1.8,16379,7176,61.291424666894436,6.2
SAL13654,St Ives (NSW),China,2714,13792,25690,10.56442195406773,SAL13654,43,1077,2888,2.9,18384,7392,68.28006650655828,4.3
SAL10897,Cherrybrook,China,2652,13352,27267,9.726042468918472,SAL10897,43,940,2924,3.1,19082,7572,66.32796075683251,4.6
SAL12446,Macquarie Park,China,2620,4907,14800,17.7027027027027,SAL12446,31,970,1886,2.0,11071,5763,73.9509816501989,7.7
SAL12516,Marsfield,China,2582,8060,17178,15.030853417161486,SAL12516,39,829,1943,2.5,12492,5036,65.01420087787245,5.5
SAL13003,North Kellyville,India,2496,14057,24424,10.219456272518832,SAL13003,33,1212,3120,3.3,17401,5462,59.04226570100529,4.0
SAL11937,Homebush West,India,2480,3388,12458,19.906887140793064,SAL11937,31,860,1952,2.6,9108,3567,62.077967281587185,8.1
SAL13197,Penshurst (NSW),China,2372,9033,17347,13.673834092350262,SAL13197,38,807,1835,2.6,12592,3692,52.43573356057378,4.9
SAL10299,Berala,China,2323,4739,12007,19.34704755559257,SAL10299,37,595,1552,3.0,8757,1652,44.11214953271028,9.2
SAL11015,Coogee (NSW),England,2159,12133,19303,11.184789929026577,SAL11015,35,1555,2976,2.2,14634,6919,66.9537449196826,3.3
SAL10906,Chippendale,China,2139,3643,10166,21.04072398190045,SAL10906,28,882,1606,1.8,7803,4136,70.01862197392924,9.2
SAL13419,Rosebery (NSW),China,2133,8950,17662,12.076774997169064,SAL13419,33,1158,2274,2.3,13533,5367,61.52699759257136,4.2
SAL12097,Kellyville Ridge,India,2127,8823,15338,13.867518581301344,SAL12097,35,1131,3073,3.4,10890,3267,58.32886984467059,4.2
SAL11229,Dee Why,England,2112,18203,31563,6.691379146468966,SAL11229,36,1065,2106,2.3,23354,7192,50.181412224392965,3.7
SAL14103,Wahroonga,China,2107,15797,25145,8.379399482998608,SAL14103,44,1042,2998,2.9,17853,7256,67.53536857781087,3.9
SAL14266,West Pennant Hills,China,2097,14401,23806,8.808703688145846,SAL14266,43,1032,3078,3.1,16620,6360,65.03067484662577,3.8
SAL12137,Killara (NSW),China,2075,8053,14800,14.020270270270272,SAL12137,42,1117,2802,2.8,10620,4819,73.17036137260857,4.7
SAL10330,Beverly Hills,China,2068,7954,14431,14.330261243157093,SAL10330,40,701,1862,2.9,10483,2574,48.84250474383302,6.1
SAL13294,Pymble,China,2015,9278,16376,12.304592085979484,SAL13294,41,1224,3379,2.9,11775,5543,76.82605682605683,4.3
SAL14268,West Ryde,China,2002,8983,18360,10.904139433551196,SAL14268,37,901,1983,2.5,13171,4891,61.30609175231888,5.7
SAL11724,Gordon (NSW),China,1996,5839,12230,16.320523303352413,SAL11724,39,1075,2460,2.7,8795,4110,73.11866215975805,5.0
SAL13747,Tallawong,India,1975,4478,9043,21.84009731283866,SAL13747,30,1137,2759,3.2,6570,2109,58.99300699300699,4.8
SAL13015,North Ryde,China,1918,10593,19295,9.940399067115834,SAL13015,37,1039,2383,2.6,14043,5313,61.82939602001629,4.3
SAL14104,Waitara,India,1897,3733,10687,17.750538036867223,SAL14104,36,1055,2106,2.4,7837,3498,69.6812749003984,5.1
SAL12511,Maroubra,England,1890,24559,40404,4.677754677754678,SAL12511,39,1026,2141,2.4,30722,10447,57.34438467449775,4.6
SAL10333,Bexley,China,1888,15526,26741,7.0603193597846,SAL10333,40,735,1870,2.9,19646,4276,44.639315168597975,5.3
SAL12050,Jordan Springs,India,1883,11551,16734,11.252539739452612,SAL12050,30,1100,2484,3.2,11772,2443,44.426259319876344,3.6
SAL12348,Lindfield,China,1881,8849,15466,12.162162162162163,SAL12348,40,1174,2833,2.8,10943,4954,74.5298630961336,4.0
SAL10463,Bondi Beach,England,1825,8426,14679,12.432727025001702,SAL10463,33,1583,2795,2.0,11513,5678,67.60328610548875,3.9
SAL13664,Stanhope Gardens,India,1781,7075,13276,13.41518529677614,SAL13664,37,1050,2868,3.2,9349,3046,60.99319183019624,4.3
SAL14024,Ultimo,China,1774,3096,9566,18.544846330754755,SAL14024,30,772,1805,2.1,7410,3433,64.65160075329567,9.8
SAL10818,Carlton (NSW),China,1758,7320,14580,12.05761316872428,SAL10818,38,762,1860,2.7,10631,2996,51.87878787878788,6.0
SAL13102,Oran Park,India,1735,16414,24346,7.126427339193296,SAL13102,30,1026,2349,3.3,17624,3283,41.06316447779862,4.9
SAL12495,Marayong,India,1733,5856,10669,16.243321773362076,SAL12495,36,680,1593,2.8,7834,1465,40.3137039075399,6.8
SAL11135,Croydon (NSW),China,1718,8776,14746,11.65061711650617,SAL11135,42,835,2157,2.7,10755,3616,59.996681599469056,4.7
SAL12164,Kingsford (NSW),China,1712,9486,18275,9.367989056087552,SAL12164,33,845,1892,2.5,13492,5174,63.399093248376424,6.2
SAL13714,Surry Hills,England,1648,12337,21765,7.571789570411211,SAL13714,35,1442,2308,1.8,15828,8207,67.83205223572196,4.7
SAL13011,North Parramatta,India,1611,8627,16045,10.040511062636336,SAL13011,38,874,1703,2.3,12064,3758,53.68571428571428,6.1
SAL11571,Frenchs Forest,England,1576,14724,20200,7.801980198019802,SAL11571,40,1038,3109,3.2,14267,4155,53.75857161340406,3.2
SAL13126,Paddington (NSW),England,1566,12270,17317,9.043136801986488,SAL13126,38,1698,3131,2.1,12701,6775,74.77924944812362,3.7
