SAL_CODE_2021,Tertiary_Total,Total_With_Qual,Tertiary_Pct,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Average_household_size,Suburb_Name,Education_Percentile,Income_Percentile,Edu_Income_Gap,Paradox_Type
SAL13809,60,141,42.6,49,515,949,2.2,Terania Creek,77.95527156549521,7.051574623459607,70.90369694203561,High_Ed_Low_Income
SAL12266,3316,7710,43.0,32,521,1227,3.1,Lakemba,78.45732542218165,7.827476038338658,70.629849383843,High_Ed_Low_Income
SAL11832,862,1810,47.6,29,602,1394,2.6,Gwynneville,84.66453674121406,19.009584664536742,65.65495207667732,High_Ed_Low_Income
SAL14310,1843,4473,41.2,31,551,1246,3.0,Wiley Park,76.08397991784574,10.908261068005478,65.17571884984027,High_Ed_Low_Income
SAL13196,75,147,51.0,55,620,1091,2.2,Penrose,87.2889091738932,22.364217252396166,64.92469192149704,High_Ed_Low_Income
SAL12093,1037,2234,46.4,26,610,1739,2.5,Keiraville,82.7704244637152,20.53856686444546,62.231857599269745,High_Ed_Low_Income
SAL10181,5855,15174,38.6,34,542,1331,2.9,Bankstown,70.94933820173436,9.835691465084437,61.113646736649926,High_Ed_Low_Income
SAL13386,2396,6017,39.8,40,564,1210,2.5,Riverwood,73.23140118667276,12.59698767685988,60.63441350981287,High_Ed_Low_Income
SAL11718,106,275,38.5,51,546,1300,2.3,Goonengerry,70.78959379278868,10.451848471017799,60.33774532177088,High_Ed_Low_Income
SAL13358,819,2068,39.6,36,566,1402,3.0,Regents Park (NSW),72.72934732998631,13.007759014148789,59.72158831583752,High_Ed_Low_Income
SAL13989,56,138,40.6,45,585,1125,2.2,Tuntable Creek,74.96576905522593,16.04290278411684,58.92286627110909,High_Ed_Low_Income
SAL10299,1505,3745,40.2,37,595,1552,3.0,Berala,73.93884071200365,17.434961204929255,56.5038795070744,High_Ed_Low_Income
SAL14011,81,148,54.7,47,690,2374,3.0,Tyagarah,90.73482428115017,34.64171611136467,56.093108169785495,High_Ed_Low_Income
SAL13765,47,120,39.2,58,586,1042,2.0,Tanja,71.95344591510727,16.225467822911913,55.72797809219536,High_Ed_Low_Income
SAL14289,45,110,40.9,47,608,1437,2.8,Whian Whian,75.71884984025559,20.26471930625285,55.454130534002736,High_Ed_Low_Income
SAL11618,0,118,0.0,39,3250,3250,1.0,Gibraltar Range,0.06846188954815154,100.0,-99.93153811045185,Low_Ed_High_Income
SAL10564,6,110,5.5,39,1100,2650,3.1,Bridgman,1.1410314924691922,89.59379278868097,-88.45276129621178,Low_Ed_High_Income
SAL13018,10,110,9.1,38,1097,1786,2.3,North Star,2.8069374714742126,89.38840712003652,-86.5814696485623,Low_Ed_High_Income
SAL12878,22,155,14.2,38,1244,3083,3.0,Muscle Creek,11.478776814240073,94.29484253765405,-82.81606572341397,Low_Ed_High_Income
SAL10101,16,153,10.5,34,955,1899,2.7,Ashley,4.221816522136011,78.93655864901872,-74.71474212688271,Low_Ed_High_Income
SAL13254,5,128,3.9,40,924,1031,2.4,Pooncarie,0.8900045641259698,74.80602464628024,-73.91602008215426,Low_Ed_High_Income
SAL13566,27,298,9.1,21,936,1625,3.3,Singleton Military Area,2.8069374714742126,76.31218621633957,-73.50524874486536,Low_Ed_High_Income
SAL10827,3,106,2.8,56,914,2100,2.6,Carrick (NSW),0.5020538566864445,73.64217252396166,-73.14011866727522,Low_Ed_High_Income
SAL11157,9,105,8.6,38,922,2386,3.1,Cumberland Reach,2.4189867640346874,74.66910086718393,-72.25011410314924,Low_Ed_High_Income
SAL12489,3,186,1.6,39,899,1583,2.3,Mannus,0.25102692834322227,71.15472387037882,-70.9036969420356,Low_Ed_High_Income
SAL12662,11,135,8.1,43,888,2905,3.0,Mitchells Flat,1.9625741670470105,70.0593336376084,-68.0967594705614,Low_Ed_High_Income
SAL12076,21,160,13.1,23,938,2386,3.4,Kapooka,8.626198083067091,76.72295755362848,-68.09675947056138,Low_Ed_High_Income
SAL13868,47,275,17.1,37,1031,1666,2.0,Thredbo,19.009584664536742,85.41761752624373,-66.40803286170699,Low_Ed_High_Income
SAL13844,24,131,18.3,39,1060,2303,2.8,The Lagoon,22.4554997717937,87.67685988133273,-65.22136010953903,Low_Ed_High_Income
SAL13900,19,147,12.9,52,911,2023,2.3,Tirrannaville,8.169785486079416,73.23140118667276,-65.06161570059334,Low_Ed_High_Income
