SAL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Suburb_Name,Mortgage_to_Income_Ratio,Rent_to_Income_Ratio,Stress_Category
SAL10974,54,9999,250,0,250,0.6,250,2.0,Collerina,9.237,0.0,High_Mortgage_Stress
SAL11725,31,9999,833,180,1749,1.3,900,1.7,Gorge Creek,2.566,0.2,High_Mortgage_Stress
SAL11254,52,1859,350,0,1500,1.2,225,1.7,Diamond Head,1.908,0.0,High_Mortgage_Stress
SAL12606,56,5833,350,0,725,0.9,725,2.4,Miamley,1.858,0.0,High_Mortgage_Stress
SAL10887,33,8667,725,150,2874,0.7,1125,2.7,Charlton (NSW),1.779,0.133,High_Mortgage_Stress
SAL10760,63,8500,1124,200,4499,0.4,1124,1.8,Cambalong,1.746,0.178,High_Mortgage_Stress
SAL13751,60,2762,550,100,1312,0.6,387,1.6,Tallowwood Ridge,1.648,0.258,High_Mortgage_Stress
SAL13576,43,3142,383,0,949,1.6,450,3.3,Smiths Creek (Clarence Valley - NSW),1.613,0.0,High_Mortgage_Stress
SAL12646,59,3150,812,0,2250,0.6,474,1.6,Mingoola (NSW),1.535,0.0,High_Mortgage_Stress
SAL11604,58,5600,262,0,725,0.6,850,1.8,Georges Creek (NSW),1.522,0.0,High_Mortgage_Stress
SAL10141,57,2366,416,100,699,0.9,366,1.5,Bakers Creek (Nambucca Valley - NSW),1.493,0.273,High_Mortgage_Stress
SAL11266,60,4008,450,210,1437,0.6,624,1.8,Doctors Gap,1.483,0.337,High_Mortgage_Stress
SAL11184,64,6000,487,0,1125,0.7,949,2.0,Cuttagee,1.46,0.0,High_Mortgage_Stress
SAL14331,62,9999,966,165,2750,0.7,1625,1.9,Wimborne,1.421,0.102,High_Mortgage_Stress
SAL10057,56,5000,466,50,1375,0.8,825,1.6,Angledool,1.4,0.061,High_Mortgage_Stress
SAL13184,70,0,75,350,0,0.3,75,1.0,Pebbly Beach,0.0,4.667,High_Rental_Stress
SAL13956,53,0,416,1154,949,0.5,574,1.8,Triamble,0.0,2.01,High_Rental_Stress
SAL13769,61,0,687,1731,1249,0.5,1375,1.9,Tantonan,0.0,1.259,High_Rental_Stress
SAL10940,51,0,574,869,0,1.0,725,1.0,Clyde (NSW),0.0,1.199,High_Rental_Stress
SAL13351,59,1083,474,865,1312,0.7,1062,1.9,Reddestone,0.236,0.815,High_Rental_Stress
SAL11826,58,1070,387,500,762,0.8,706,2.1,Gurranang,0.35,0.708,High_Rental_Stress
SAL13117,73,4000,602,660,1297,0.7,961,2.1,Oxford Falls,0.961,0.687,High_Rental_Stress
SAL10868,63,2200,599,700,1375,1.0,1149,2.4,Cedar Creek (Tweed - NSW),0.442,0.609,High_Rental_Stress
SAL14198,57,2000,450,375,774,0.7,675,2.1,Watagan,0.684,0.556,High_Rental_Stress
SAL10042,64,1200,662,587,1374,0.6,1083,1.9,Allynbrook,0.256,0.542,High_Rental_Stress
SAL13911,57,2167,514,450,900,0.8,833,1.7,Tomboye,0.601,0.54,High_Rental_Stress
SAL10658,56,0,449,350,1124,1.1,649,2.3,Bulldog,0.0,0.539,High_Rental_Stress
SAL13818,68,0,450,240,0,0.6,450,1.0,Terreel,0.0,0.533,High_Rental_Stress
SAL14042,54,936,599,725,1468,1.0,1375,2.8,Upper Duroby,0.157,0.527,High_Rental_Stress
SAL13130,36,1509,612,975,1666,0.9,1874,2.9,Paddys River (Wingecarribee - NSW),0.186,0.52,High_Rental_Stress
SAL13240,42,54,619,150,1474,0.9,1350,2.7,Pleasant Hills,0.009,0.111,Low_Mortgage_Stress
SAL10008,37,150,1041,210,3083,0.8,2250,2.9,Aberfoyle,0.015,0.093,Low_Mortgage_Stress
SAL12000,42,100,864,150,2031,0.7,1416,2.2,Ivanhoe (NSW),0.016,0.106,Low_Mortgage_Stress
SAL12121,40,105,933,205,1749,0.8,1458,2.7,Kia Ora (NSW),0.017,0.141,Low_Mortgage_Stress
SAL13759,50,80,570,183,1437,0.7,1013,2.1,Tambar Springs,0.018,0.181,Low_Mortgage_Stress
SAL12501,52,195,912,0,2562,0.6,2250,2.5,Marinna,0.02,0.0,Low_Mortgage_Stress
SAL13996,55,83,362,0,1374,1.2,900,2.6,Tuross,0.021,0.0,Low_Mortgage_Stress
SAL12626,29,477,850,0,3249,0.9,4499,4.5,Millah Murrah,0.024,0.0,Low_Mortgage_Stress
SAL12782,48,200,949,0,2250,0.8,1937,3.1,Mount Knowles,0.024,0.0,Low_Mortgage_Stress
SAL11126,38,269,1125,200,2600,0.8,2416,3.0,Croppa Creek,0.026,0.083,Low_Mortgage_Stress
SAL11582,37,300,1125,300,2874,0.7,2374,2.4,Gala Vale,0.029,0.126,Low_Mortgage_Stress
SAL11169,39,217,575,0,2250,1.3,1649,3.2,Curlew Waters,0.03,0.0,Low_Mortgage_Stress
SAL12381,54,78,497,215,1357,1.0,570,1.3,Loftville,0.032,0.377,Low_Mortgage_Stress
SAL10707,49,163,599,118,1625,0.8,1124,2.5,Burren Junction,0.033,0.105,Low_Mortgage_Stress
SAL11484,38,195,624,200,1125,0.9,1374,3.1,Fairholme,0.033,0.146,Low_Mortgage_Stress
SAL11695,46,1200,820,1,1812,0.8,1843,2.5,Godfreys Creek,0.15,0.001,Low_Rental_Stress
SAL10601,39,0,900,5,2124,0.6,2124,2.8,Broughams Gate,0.0,0.002,Low_Rental_Stress
SAL13432,62,0,1124,7,2999,0.5,1749,1.5,Rossgole,0.0,0.004,Low_Rental_Stress
SAL11618,39,0,3250,15,0,0.3,3250,1.0,Gibraltar Range,0.0,0.005,Low_Rental_Stress
SAL12862,30,0,425,10,1625,0.9,1625,4.3,Murrawombie,0.0,0.006,Low_Rental_Stress
SAL12645,53,2940,1125,23,2468,0.8,2583,2.9,Mindaribba,0.263,0.009,Low_Rental_Stress
SAL10635,58,4867,687,16,1624,0.7,1624,2.0,Budden,0.692,0.01,Low_Rental_Stress
SAL12034,27,0,2124,20,0,0.4,1874,1.0,Jews Lagoon,0.0,0.011,Low_Rental_Stress
SAL14151,41,1896,819,15,1812,0.7,1333,2.4,Wanganella,0.328,0.011,Low_Rental_Stress
SAL10093,35,4117,928,25,1906,0.9,1843,2.8,Arumpo,0.516,0.014,Low_Rental_Stress
SAL10728,57,1800,900,30,2125,0.6,2125,1.9,Bylong,0.196,0.014,Low_Rental_Stress
SAL10740,40,0,1875,28,0,0.7,1874,1.0,Cabramurra,0.0,0.015,Low_Rental_Stress
SAL12849,52,542,825,30,1875,0.8,1687,2.3,Mundarlo,0.074,0.018,Low_Rental_Stress
SAL11741,54,1272,584,23,1562,0.8,1125,2.3,Grahamstown,0.261,0.02,Low_Rental_Stress
SAL11804,64,750,1374,80,6499,0.6,3999,2.1,Gumbalie,0.043,0.02,Low_Rental_Stress
