SAL_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW,Total_Non_English,English_Only,Total_Population,Non_English_Pct,Num_Languages,Suburb_Name,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_age_persons,Diversity_Category
SAL10107,2625,..,..,..,..,2625,..,0,0,0,0,0,..,1677,366,2040,13,2053,..,0,0,0,0,0,..,605,559,1165,0,1165,..,955,2227,3188,31,3219,..,41,78,116,0,118,..,1609,2859,4470,30,4500,..,30,0,29,0,29,..,8,5,9,0,9,..,0,0,0,0,0,..,36,14,52,0,54,..,160,18,178,5,180,..,95,6,99,0,102,..,262,9,271,0,275,..,2731,97,2830,18,2843,..,107,5,111,0,118,..,17,0,14,0,14,..,1490,103,1599,12,1607,..,11,0,11,0,11,..,4866,249,5118,38,5155,..,54,14,73,0,71,..,7,0,9,0,9,..,0,0,0,0,0,..,163,107,267,0,265,..,6,0,7,0,7,..,65,7,66,0,66,..,86,34,125,0,124,..,8,0,9,0,9,..,13,0,13,0,13,..,19,8,30,0,30,..,13,0,13,0,13,..,8,5,15,0,17,..,52,22076,2625,24701,89.4,24,Auburn (NSW),580,1533,31,High_Diversity
SAL11971,3124,..,..,..,..,3124,..,0,0,0,0,0,..,345,44,392,0,393,..,0,0,0,0,0,..,1575,771,2342,15,2358,..,2462,1308,3765,20,3785,..,84,38,123,0,123,..,4120,2117,6231,39,6268,..,55,14,64,0,64,..,14,0,14,0,14,..,4,0,4,0,4,..,266,47,312,6,320,..,115,9,118,0,120,..,26,3,24,0,24,..,94,4,100,0,100,..,2681,55,2732,16,2746,..,17,0,17,0,17,..,14,0,14,0,14,..,47,0,47,0,47,..,13,0,13,0,13,..,3001,61,3065,16,3088,..,66,4,70,0,70,..,20,4,26,0,24,..,7,6,10,0,10,..,47,25,74,0,74,..,216,37,256,0,256,..,17,0,17,0,14,..,10,0,10,0,10,..,10,0,14,0,14,..,60,10,68,0,66,..,23,5,25,0,25,..,9,0,9,0,9,..,32,6,37,0,36,..,78,20106,3124,23230,86.6,28,Hurstville,698,1804,33,High_Diversity
SAL11867,509,..,..,..,..,509,..,0,0,0,0,0,..,104,18,118,0,118,..,0,0,0,0,0,..,30,16,48,0,48,..,54,34,88,0,90,..,0,0,0,0,0,..,89,54,142,0,142,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,9,3,17,0,17,..,46,0,46,0,46,..,414,18,435,3,438,..,324,25,344,0,347,..,150,4,154,0,156,..,156,10,164,0,168,..,3,0,6,0,6,..,40,8,44,0,44,..,45,0,42,0,41,..,1172,63,1233,8,1244,..,4,4,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,6,8,0,8,..,0,0,0,0,0,..,40,0,46,0,45,..,5,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,7,0,13,0,13,..,0,0,0,0,0,..,11,2984,509,3493,85.4,15,Harris Park,802,1779,31,High_Diversity
SAL12266,1556,..,..,..,..,1556,..,0,0,0,0,0,..,735,147,884,8,898,..,7,0,7,0,7,..,109,77,185,3,192,..,62,44,108,0,110,..,13,7,21,0,21,..,183,122,313,3,311,..,9,4,9,0,9,..,14,3,11,0,11,..,0,0,0,0,0,..,169,41,211,0,211,..,1592,179,1771,12,1783,..,41,5,48,0,48,..,188,9,197,0,198,..,85,4,88,0,87,..,38,0,37,0,37,..,0,0,0,0,0,..,1253,92,1345,23,1366,..,22,0,22,0,22,..,3219,279,3501,39,3537,..,33,8,40,3,46,..,0,0,0,0,0,..,0,0,0,0,0,..,30,17,45,0,45,..,10,3,12,0,12,..,0,0,0,0,0,..,4,3,4,0,4,..,6,0,6,0,6,..,22,11,29,0,29,..,0,0,0,0,0,..,0,0,8,0,8,..,9,0,9,0,9,..,9,9007,1556,10563,85.3,19,Lakemba,521,1227,32,High_Diversity
SAL14310,912,..,..,..,..,912,..,3,0,3,0,3,..,627,143,772,8,780,..,0,0,0,0,0,..,85,48,133,5,135,..,45,52,90,0,97,..,0,3,3,0,3,..,128,101,229,3,233,..,0,0,0,0,0,..,15,0,12,0,12,..,0,0,0,0,0,..,105,24,130,0,130,..,764,79,836,12,849,..,17,0,16,0,16,..,97,10,104,0,104,..,55,3,58,0,58,..,19,0,19,0,19,..,0,0,0,0,0,..,690,43,729,14,744,..,17,4,14,0,14,..,1648,129,1778,19,1801,..,20,3,17,0,17,..,9,0,9,0,9,..,0,0,4,0,4,..,12,5,17,0,17,..,4,0,11,0,8,..,5,0,5,0,5,..,8,0,10,0,10,..,0,0,0,0,0,..,28,7,39,0,39,..,0,0,3,0,3,..,5,0,5,0,5,..,11,0,11,0,11,..,12,5126,912,6038,84.9,19,Wiley Park,551,1246,31,High_Diversity
SAL10716,1955,..,..,..,..,1955,..,0,0,0,0,0,..,129,13,138,0,138,..,0,0,0,0,0,..,635,231,865,8,873,..,1674,1049,2716,17,2732,..,79,43,128,0,127,..,2386,1324,3708,28,3736,..,41,8,46,0,46,..,14,0,14,0,14,..,4,0,4,0,7,..,75,14,90,0,96,..,18,0,22,0,22,..,7,0,7,0,7,..,78,7,82,0,82,..,789,13,805,7,811,..,14,0,14,0,14,..,13,0,13,0,13,..,29,0,30,0,30,..,28,0,25,0,25,..,977,19,1002,7,1010,..,94,19,117,0,115,..,35,14,48,0,44,..,12,0,12,0,12,..,118,55,178,0,178,..,4,0,7,0,7,..,19,0,19,0,19,..,10,0,11,0,11,..,19,0,19,0,19,..,18,3,22,0,22,..,13,0,18,0,20,..,0,0,0,0,0,..,8,0,8,0,8,..,46,10238,1955,12193,84.0,25,Burwood (NSW),707,1671,32,High_Diversity
SAL10781,2831,..,..,..,..,2831,..,0,0,0,0,0,..,529,92,619,4,621,..,9,0,9,0,9,..,590,529,1121,9,1133,..,1108,1879,2986,38,3023,..,42,61,98,0,100,..,1738,2470,4204,41,4254,..,5,0,3,0,3,..,12,0,17,0,17,..,6,0,6,0,6,..,241,47,290,0,285,..,197,7,204,0,204,..,17,0,16,0,16,..,104,4,108,0,112,..,1291,49,1342,5,1348,..,81,8,92,0,90,..,12,0,12,0,12,..,69,4,70,0,70,..,18,0,18,0,18,..,1783,77,1858,11,1870,..,100,17,110,6,114,..,24,0,29,0,29,..,9,0,9,0,9,..,218,170,388,5,392,..,4,0,4,0,5,..,11,0,13,0,13,..,15,0,13,0,13,..,12,0,10,0,10,..,100,33,133,4,135,..,10,0,14,0,13,..,12,0,14,0,14,..,8,0,10,0,10,..,80,13948,2831,16779,83.1,26,Campsie,652,1497,36,High_Diversity
SAL11937,928,..,..,..,..,928,..,0,0,0,0,0,..,50,0,50,0,50,..,0,0,0,0,0,..,220,97,314,4,320,..,329,227,557,0,557,..,22,3,26,0,26,..,570,328,896,4,903,..,0,0,0,0,0,..,6,0,6,0,6,..,5,0,5,0,5,..,12,0,14,0,14,..,61,0,57,0,57,..,27,0,27,3,24,..,201,4,204,3,204,..,630,18,650,4,651,..,64,3,64,0,64,..,18,0,19,0,19,..,107,9,114,0,114,..,43,3,41,0,47,..,1140,32,1175,14,1191,..,16,0,16,0,16,..,11,7,18,0,18,..,0,0,0,0,0,..,126,69,192,0,194,..,0,0,0,0,0,..,38,6,44,0,46,..,3,0,3,0,3,..,4,0,4,0,4,..,7,0,7,0,7,..,10,0,9,0,9,..,0,0,0,0,0,..,10,0,7,0,7,..,37,4556,928,5484,83.1,19,Homebush West,860,1952,31,High_Diversity
SAL13372,1295,..,..,..,..,1295,..,0,0,0,0,0,..,126,12,137,0,136,..,0,0,0,0,0,..,363,55,419,7,427,..,1214,300,1514,16,1532,..,20,4,31,0,29,..,1602,365,1965,26,1992,..,7,0,7,0,7,..,7,0,9,0,9,..,0,0,4,0,4,..,14,0,10,0,13,..,39,0,39,0,39,..,17,0,17,0,17,..,192,0,192,5,195,..,50,0,57,0,57,..,24,0,23,0,23,..,16,3,21,0,21,..,44,3,51,0,51,..,15,0,17,0,17,..,397,14,414,4,419,..,29,0,29,0,29,..,24,3,30,0,30,..,4,0,4,0,4,..,439,123,560,5,571,..,4,0,4,0,4,..,27,0,26,0,30,..,71,3,78,0,78,..,11,0,11,0,11,..,51,7,56,0,55,..,17,0,21,0,20,..,0,0,0,0,0,..,0,0,4,0,4,..,45,5824,1295,7119,81.8,23,Rhodes,1119,2183,32,High_Diversity
SAL12325,2533,..,..,..,..,2533,..,3,0,3,0,3,..,362,69,431,3,433,..,0,0,0,0,0,..,668,283,951,7,954,..,874,772,1642,18,1664,..,78,36,114,0,114,..,1617,1085,2705,26,2733,..,44,18,60,0,60,..,7,0,7,0,7,..,11,0,11,0,11,..,55,9,65,0,70,..,81,4,84,0,84,..,15,0,17,0,17,..,128,4,135,0,136,..,775,21,792,6,796,..,51,4,60,0,62,..,9,0,9,0,9,..,181,9,188,3,187,..,11,0,13,0,19,..,1251,42,1291,8,1304,..,34,3,42,0,42,..,23,7,29,0,29,..,12,0,12,0,12,..,1210,849,2052,4,2060,..,4,0,5,0,5,..,15,0,15,0,15,..,33,8,46,0,46,..,13,3,15,0,15,..,18,3,27,0,31,..,21,0,24,0,24,..,7,0,7,0,7,..,16,6,22,0,22,..,69,10971,2533,13504,81.2,26,Lidcombe,741,1888,33,High_Diversity
