SAL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,Stayed_Same_Address,Moved_Within_NSW,From_Victoria,From_Queensland,From_ACT,From_Other_States,Total_Interstate,From_Overseas,Total_Pop,Recent_Mover_Pct,Interstate_Pct,Overseas_Pct,From_Vic_Pct,Suburb_Name,Median_tot_prsnl_inc_weekly,Median_age_persons,Median_tot_hhd_inc_weekly,Tertiary_Pct,Tertiary_Total,Category,Vic_Arrivals_Count,Mobility_Quartile
SAL12573,38,44,85,37,38,76,597,592,1191,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,599,1199,4,5,13,3,0,4,645,649,1294,10,18,29,693,710,1404,85,1191,0,9,0,0,9,13,1298,93.5,0.7,1.0,0.0,Melonba,1266,31,2859,62.5,511,High_Population_Churn,,
SAL19494,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284,1808,3327,237,414,50,185,886,413,6434,71.9,13.8,6.4,3.7,No usual address (NSW),0,0,0,17.7,1282,High_Population_Churn,,
SAL12977,398,404,800,22,17,39,299,305,606,4,4,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,314,313,628,10,20,24,0,0,0,338,350,691,45,53,104,788,812,1597,800,606,10,4,3,5,22,24,1452,44.9,1.5,1.7,0.7,Nirimba Fields,1159,31,2567,56.0,545,High_Population_Churn,,
SAL13731,1175,1139,2316,207,197,402,751,760,1511,17,19,41,16,17,31,7,0,6,7,4,8,4,0,3,3,0,3,0,5,7,0,0,0,801,805,1608,54,52,103,11,8,18,1066,1057,2122,149,155,303,2390,2356,4746,2316,1511,41,31,7,20,99,103,4029,42.5,2.5,2.6,1.0,Sydney Olympic Park,1135,31,1975,52.7,1815,High_Population_Churn,,
SAL12100,371,370,740,33,42,79,259,254,516,5,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,266,265,534,0,0,4,0,0,3,307,315,619,30,21,46,711,699,1411,740,516,12,0,3,0,15,4,1275,42.0,1.2,0.3,0.9,Kembla Grange,1106,29,2574,31.9,233,High_Population_Churn,,
SAL10906,1993,1859,3853,245,279,528,1109,1104,2219,41,44,82,37,31,70,8,6,13,11,19,32,3,3,7,0,3,3,14,19,32,0,0,0,1226,1244,2465,120,118,235,21,24,40,1613,1657,3266,331,308,642,3926,3830,7756,3853,2219,82,70,32,55,239,235,6546,41.1,3.7,3.6,1.3,Chippendale,882,28,1606,54.9,3243,High_Population_Churn,,
SAL11215,756,629,1385,71,62,127,310,332,640,20,27,51,13,10,23,7,11,16,3,4,11,4,3,7,0,0,4,8,13,24,0,0,0,366,404,773,74,68,139,7,3,9,511,530,1047,88,65,154,1348,1228,2581,1385,640,51,23,24,38,136,139,2300,39.8,5.9,6.0,2.2,Darlington (Sydney - NSW),780,27,2392,63.0,1095,High_Population_Churn,,
SAL10537,1798,1843,3641,60,63,121,1151,1187,2333,0,6,6,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1157,1191,2348,13,22,32,0,0,5,1230,1280,2514,65,71,138,3101,3193,6291,3641,2333,6,9,0,0,15,32,6021,39.5,0.2,0.5,0.1,Box Hill (NSW),1271,31,2881,52.5,1841,High_Population_Churn,,
SAL14542,3474,3277,6746,386,352,743,1861,1741,3598,77,72,145,66,62,129,22,12,33,12,16,26,0,0,0,9,0,12,8,17,24,0,0,0,2051,1925,3976,176,152,330,29,36,65,2642,2472,5111,290,306,599,6403,6056,12459,6746,3598,145,129,24,71,369,330,11043,38.9,3.3,3.0,1.3,Zetland,1262,30,2192,54.8,5133,High_Population_Churn,,
SAL11370,1092,1056,2149,97,97,191,583,618,1200,7,16,21,9,9,18,0,0,0,0,0,4,0,0,0,0,0,0,5,5,4,0,0,0,614,644,1254,53,42,93,14,3,18,776,793,1563,147,148,296,2011,1999,4009,2149,1200,21,18,4,4,47,93,3489,38.4,1.3,2.7,0.6,Eastgardens,1113,31,2232,45.5,1171,High_Population_Churn,,
SAL14024,2060,1960,4023,236,250,489,944,898,1845,46,58,100,39,36,74,8,16,27,18,16,31,0,0,0,5,0,4,10,16,23,0,0,0,1068,1041,2108,98,96,187,21,13,36,1414,1398,2818,274,250,520,3748,3614,7362,4023,1845,100,74,23,62,259,187,6314,36.3,4.1,3.0,1.6,Ultimo,772,30,1805,52.7,2797,High_Population_Churn,,
SAL12960,436,420,854,30,25,55,180,206,388,4,4,12,14,13,25,0,0,0,0,4,3,0,0,4,0,0,0,4,0,4,0,0,0,214,230,439,13,15,23,0,0,0,250,276,524,43,23,67,732,712,1441,854,388,12,25,4,7,48,23,1313,35.0,3.7,1.8,0.9,Newcastle West,1022,42,1639,47.2,473,High_Population_Churn,,
