Suburb_Name,SAL_CODE_2021,Managers_Pct,Managers_Total,Total_Employed,Occupation_Category,Professionals_Pct,Professionals_Total,Technicians_Trades_Pct,Technicians_Trades_Total,Community_Personal_Service_Pct,Community_Personal_Service_Total,Clerical_Admin_Pct,Clerical_Admin_Total,Sales_Pct,Sales_Total,Machinery_Drivers_Pct,Machinery_Drivers_Total,Labourers_Pct,Labourers_Total
Murrami,SAL12861,19.8,103.0,520,Managers,,,,,,,,,,,,,,
Tooraweenah,SAL13929,19.4,109.0,561,Managers,,,,,,,,,,,,,,
Bigga,SAL10345,19.1,98.0,512,Managers,,,,,,,,,,,,,,
Barmedman,SAL10203,18.5,116.0,626,Managers,,,,,,,,,,,,,,
Cassilis (NSW),SAL10843,18.0,104.0,578,Managers,,,,,,,,,,,,,,
Binda,SAL10362,17.8,112.0,629,Managers,,,,,,,,,,,,,,
Bellata,SAL10266,17.7,96.0,543,Managers,,,,,,,,,,,,,,
Tomingley,SAL13914,17.6,130.0,739,Managers,,,,,,,,,,,,,,
Spring Ridge,SAL13635,17.4,110.0,633,Managers,,,,,,,,,,,,,,
Barangaroo,SAL10192,17.1,99.0,579,Managers,,,,,,,,,,,,,,
Erskineville,SAL11442,,,33765,Professionals,19.6,6614.0,,,,,,,,,,,,
Kirribilli,SAL12182,,,10070,Professionals,19.5,1966.0,,,,,,,,,,,,
St Leonards (NSW),SAL13657,,,23934,Professionals,19.5,4676.0,,,,,,,,,,,,
Waverton,SAL14219,,,8725,Professionals,19.5,1698.0,,,,,,,,,,,,
Darlington (Sydney - NSW),SAL11215,,,7404,Professionals,19.4,1437.0,,,,,,,,,,,,
Forest Lodge,SAL11549,,,15641,Professionals,19.4,3037.0,,,,,,,,,,,,
Paddington (NSW),SAL13126,,,38444,Professionals,19.4,7447.0,,,,,,,,,,,,
Woollahra,SAL14422,,,18831,Professionals,19.3,3633.0,,,,,,,,,,,,
Northwood (NSW),SAL13034,,,2161,Professionals,19.2,414.0,,,,,,,,,,,,
Wollstonecraft,SAL14377,,,25360,Professionals,19.2,4879.0,,,,,,,,,,,,
Upper Main Arm,SAL14053,,,516,Technicians_Trades,,,11.2,58.0,,,,,,,,,,
Mitchells Flat,SAL12662,,,667,Technicians_Trades,,,10.9,73.0,,,,,,,,,,
Coolongolook,SAL11032,,,590,Technicians_Trades,,,10.8,64.0,,,,,,,,,,
Belimbla Park,SAL10261,,,1386,Technicians_Trades,,,10.7,148.0,,,,,,,,,,
Currarong,SAL11177,,,850,Technicians_Trades,,,10.6,90.0,,,,,,,,,,
Forest Hill (NSW),SAL11547,,,8130,Technicians_Trades,,,10.5,855.0,,,,,,,,,,
Millingandi,SAL12633,,,864,Technicians_Trades,,,10.5,91.0,,,,,,,,,,
Conjola Park,SAL11012,,,615,Technicians_Trades,,,10.4,64.0,,,,,,,,,,
Killingworth (NSW),SAL12145,,,1851,Technicians_Trades,,,10.4,192.0,,,,,,,,,,
Wisemans Ferry,SAL14362,,,525,Technicians_Trades,,,10.1,53.0,,,,,,,,,,
Singleton Military Area,SAL13566,,,1627,Community_Personal_Service,,,,,44.0,716.0,,,,,,,,
Kapooka,SAL12076,,,1312,Community_Personal_Service,,,,,23.9,313.0,,,,,,,,
Mitchell (NSW),SAL12661,,,1253,Community_Personal_Service,,,,,13.9,174.0,,,,,,,,
Callaghan,SAL10754,,,2589,Community_Personal_Service,,,,,11.8,305.0,,,,,,,,
Charles Sturt University,SAL10883,,,1074,Community_Personal_Service,,,,,11.5,124.0,,,,,,,,
West Nowra,SAL14265,,,3549,Community_Personal_Service,,,,,9.9,353.0,,,,,,,,
Vale Of Clwydd,SAL14082,,,951,Community_Personal_Service,,,,,9.6,91.0,,,,,,,,
Forest Hill (NSW),SAL11547,,,8130,Community_Personal_Service,,,,,9.3,760.0,,,,,,,,
Thredbo,SAL13868,,,1064,Community_Personal_Service,,,,,9.2,98.0,,,,,,,,
Bowraville,SAL10535,,,1840,Community_Personal_Service,,,,,9.1,167.0,,,,,,,,
Manton (NSW),SAL12491,,,872,Clerical_Admin,,,,,,,9.1,79.0,,,,,,
Dyers Crossing,SAL11341,,,675,Clerical_Admin,,,,,,,8.6,58.0,,,,,,
Horsley Park,SAL11950,,,3535,Clerical_Admin,,,,,,,8.4,297.0,,,,,,
Cumberland Reach,SAL11157,,,528,Clerical_Admin,,,,,,,8.3,44.0,,,,,,
Mount Fairy,SAL12769,,,613,Clerical_Admin,,,,,,,8.3,51.0,,,,,,
Hammondville,SAL11851,,,7253,Clerical_Admin,,,,,,,8.2,597.0,,,,,,
Riverside (NSW),SAL13382,,,555,Clerical_Admin,,,,,,,8.1,45.0,,,,,,
Fiddletown,SAL11516,,,570,Clerical_Admin,,,,,,,7.9,45.0,,,,,,
Kogarah Bay,SAL12191,,,4826,Clerical_Admin,,,,,,,7.9,381.0,,,,,,
Mount Vernon,SAL12807,,,2910,Clerical_Admin,,,,,,,7.9,231.0,,,,,,
Callaghan,SAL10754,,,2589,Sales,,,,,,,,,11.2,290.0,,,,
Charles Sturt University,SAL10883,,,1074,Sales,,,,,,,,,7.5,81.0,,,,
Maloneys Beach,SAL12470,,,661,Sales,,,,,,,,,7.0,46.0,,,,
Glenthorne,SAL11684,,,536,Sales,,,,,,,,,6.7,36.0,,,,
Gilgai,SAL11622,,,1350,Sales,,,,,,,,,6.4,86.0,,,,
Beelbangera,SAL10251,,,893,Sales,,,,,,,,,6.2,55.0,,,,
Tarraganda,SAL13783,,,890,Sales,,,,,,,,,6.2,55.0,,,,
Yippin Creek,SAL14533,,,1701,Sales,,,,,,,,,6.2,105.0,,,,
Mitchell (NSW),SAL12661,,,1253,Sales,,,,,,,,,6.1,77.0,,,,
Black Range (NSW),SAL10387,,,519,Sales,,,,,,,,,6.0,31.0,,,,
Glenridding,SAL11680,,,529,Machinery_Drivers,,,,,,,,,,,11.3,60.0,,
Boggabri,SAL10441,,,2391,Machinery_Drivers,,,,,,,,,,,11.0,264.0,,
Blackett,SAL10391,,,4910,Machinery_Drivers,,,,,,,,,,,9.9,487.0,,
Lethbridge Park,SAL12316,,,6380,Machinery_Drivers,,,,,,,,,,,9.6,613.0,,
Tregear,SAL13952,,,4803,Machinery_Drivers,,,,,,,,,,,9.6,461.0,,
Shalvey,SAL13538,,,4809,Machinery_Drivers,,,,,,,,,,,9.2,441.0,,
Willmot,SAL14319,,,3051,Machinery_Drivers,,,,,,,,,,,9.2,281.0,,
Gowrie (Singleton - NSW),SAL11735,,,924,Machinery_Drivers,,,,,,,,,,,8.9,82.0,,
Whalan,SAL14283,,,8017,Machinery_Drivers,,,,,,,,,,,8.9,716.0,,
Bridgman,SAL10564,,,619,Machinery_Drivers,,,,,,,,,,,8.6,53.0,,
Arrawarra,SAL10089,,,843,Labourers,,,,,,,,,,,,,18.4,155.0
Clybucca,SAL10939,,,626,Labourers,,,,,,,,,,,,,13.9,87.0
Tooleybuc,SAL13920,,,751,Labourers,,,,,,,,,,,,,13.8,104.0
South Guyra,SAL13602,,,674,Labourers,,,,,,,,,,,,,12.5,84.0
Yanco,SAL14478,,,1374,Labourers,,,,,,,,,,,,,11.7,161.0
Batlow,SAL10232,,,2466,Labourers,,,,,,,,,,,,,11.3,279.0
