SAL_CODE,Suburb_Name,Top_Non_Australia_Country,Top_Non_Australia_Count,Australia_Count,Total_Population,Percentage_Non_Aus
SAL10396,Blacktown,India,13006,33584,68097,19.099226103939966
SAL11971,Hurstville,China,12913,13363,43977,29.363076153443846
SAL10107,Auburn (NSW),China,8849,16615,54040,16.374907475943743
SAL11431,Epping (NSW),China,8409,16302,41820,20.107604017216644
SAL10781,Campsie,China,8037,11388,35382,22.714939799898254
SAL10817,Carlingford,China,7955,17851,39786,19.994470416729506
SAL10181,Bankstown,Vietnam,7851,18958,44678,17.57240700120865
SAL10891,Chatswood,China,7250,13409,35225,20.581973030518096
SAL11372,Eastwood (NSW),China,7020,10689,26324,26.667679683938612
SAL13299,Quakers Hill,India,6691,22087,39017,17.148935079580696
SAL11480,Fairfield (NSW),Iraq,6270,7872,22120,28.34538878842676
SAL13690,Strathfield (NSW),Nepal,5727,13915,36237,15.804288434473051
SAL13517,Schofields,India,5560,10209,21315,26.084916725310812
SAL10790,Canley Heights,Vietnam,5531,6989,16453,33.616969549626205
SAL13851,The Ponds,India,5523,11076,23136,23.87188796680498
SAL10846,Castle Hill (NSW),China,5454,32534,57310,9.516663758506368
SAL12325,Lidcombe,Korea_South,5294,10836,33064,16.011371884829423
SAL12370,Liverpool,Iraq,5206,15986,37321,13.949251091878567
SAL11763,Greenacre,Lebanon,5182,20875,34280,15.116686114352392
SAL10513,Bossley Park,Iraq,5177,9715,20041,25.832044309166207
SAL13925,Toongabbie (NSW),India,5099,10653,22578,22.583931260519087
SAL13469,Ryde,China,5012,22717,42851,11.696343142517094
SAL12515,Marsden Park,India,4997,9695,20447,24.438792976964834
SAL10791,Canley Vale,Vietnam,4633,5418,13806,33.557873388381864
SAL11686,Glenwood (NSW),India,4463,11472,22576,19.768781006378454
SAL10233,Baulkham Hills,China,4462,31933,53072,8.407446487790173
SAL10099,Ashfield (NSW),China,4080,15579,31649,12.8914025719612
SAL11943,Hornsby,China,4052,15242,31168,13.000513347022588
SAL12266,Lakemba,Bangladesh,4032,8292,22882,17.62083733939341
SAL13286,Punchbowl (Canterbury-Bankstown - NSW),Lebanon,3961,14563,27918,14.187979081596103
SAL13394,Rockdale,Nepal,3879,7848,20734,18.708401659110642
SAL14244,Wentworth Point,China,3826,6618,16920,22.61229314420804
SAL11796,Guildford (NSW),Lebanon,3809,16392,30917,12.320082802341755
SAL14542,Zetland,China,3765,6300,16831,22.369437347751173
SAL13533,Seven Hills (NSW),India,3762,15303,27489,13.685474189675869
SAL12599,Merrylands,Lebanon,3707,19942,41881,8.851269071894176
SAL12749,Mosman,England,3686,25512,38222,9.643660718957667
SAL13410,Rooty Hill,Philippines,3623,10656,21478,16.86842350311947
SAL11936,Homebush (NSW),India,3619,5005,16437,22.01739976881426
SAL12529,Mascot,China,3565,11638,28023,12.721692895121864
SAL13575,Smithfield (NSW),Iraq,3546,8401,16673,21.267918191087386
