Suburb_Name,SAL_CODE_2021,Combined_Score,Tertiary_Total,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly
Darling Point,SAL11212,0.878923541247485,920.0,49,1799,3219
Bowral,SAL10534,0.8714285714285716,1300.0,55,802,1535
Mosman,SAL12749,0.869718309859155,6036.0,45,1487,2892
North Turramurra,SAL13023,0.8568913480885313,726.0,56,886,2064
Hunters Hill,SAL11961,0.8537977867203219,1619.0,46,1239,3413
Narrabeen,SAL12911,0.8449949698189135,929.0,48,1025,1780
Port Macquarie,SAL13258,0.8421277665995976,3253.0,48,679,1282
Breakfast Point,SAL10554,0.8386066398390342,833.0,47,1249,2303
Newport (NSW),SAL12965,0.8367957746478873,1307.0,46,1126,2479
Burradoo,SAL10698,0.8350100603621732,418.0,59,950,2180
Kiama,SAL12124,0.8349597585513079,872.0,52,799,1572
Abbotsford (NSW),SAL10003,0.8348843058350102,815.0,47,1179,2263
Bayview (NSW),SAL10237,0.8348088531187122,504.0,58,876,1885
Palm Beach (NSW),SAL13143,0.8341549295774648,314.0,58,1295,2807
Glenhaven,SAL11671,0.8322686116700202,884.0,48,950,2532
Castlecrag,SAL10848,0.8295271629778672,691.0,47,1446,4675
Avalon Beach,SAL10112,0.8250754527162979,1332.0,46,995,2481
Leura,SAL12318,0.8245472837022133,685.0,55,753,1369
Birchgrove,SAL10373,0.8210513078470825,742.0,46,1661,3603
Mona Vale,SAL12683,0.8210010060362174,1213.0,46,1020,2296
Springwood (NSW),SAL13644,0.8184607645875251,907.0,48,855,1778
Wahroonga,SAL14103,0.8181841046277666,3559.0,44,1042,2998
Cremorne Point,SAL11114,0.8129527162977868,540.0,47,1661,2951
Forster (NSW),SAL11553,0.8110915492957746,685.0,57,581,1009
Haberfield,SAL11835,0.8092303822937625,966.0,46,996,2761
Wentworth Falls,SAL14243,0.8065392354124749,806.0,50,740,1528
Northbridge (NSW),SAL13032,0.8037474849094567,1392.0,44,1375,3874
Blackheath,SAL10392,0.8035965794768611,614.0,53,740,1332
Point Piper,SAL13245,0.8013832997987929,279.0,52,1835,4530
Belrose,SAL10283,0.800125754527163,1082.0,46,903,2598
Tweed Heads,SAL14002,0.7990191146881288,599.0,55,660,1138
Longueville,SAL12394,0.7853873239436621,513.0,46,1453,4894
Cabarita (NSW),SAL10734,0.7853370221327969,315.0,50,1150,2695
Katoomba,SAL12085,0.7841297786720323,894.0,48,649,1171
Sylvania,SAL13732,0.7839285714285714,964.0,46,840,1961
Kirribilli,SAL12182,0.7836770623742455,875.0,44,1598,2267
St Ives (NSW),SAL13654,0.7835513078470825,3607.0,43,1077,2888
Clontarf (NSW),SAL10934,0.7829225352112676,399.0,47,1385,4609
Turramurra,SAL13998,0.7828470824949698,2738.0,43,1144,3046
Westleigh,SAL14277,0.7817404426559356,840.0,45,1022,3021
Mittagong,SAL12664,0.7817152917505031,643.0,49,751,1425
Ballina,SAL10163,0.7807847082494971,476.0,56,615,1013
Castle Cove,SAL10844,0.7807847082494971,520.0,46,1219,3439
Dural (Hornsby - NSW),SAL11331,0.7778672032193159,1045.0,45,909,2489
Vaucluse,SAL14089,0.7766096579476861,1830.0,43,1393,3418
West Pennant Hills,SAL14266,0.7751509054325956,3149.0,43,1032,3078
East Ballina,SAL11348,0.7749748490945675,578.0,48,814,1554
Cronulla,SAL11120,0.7748490945674045,2153.0,43,1179,2058
Kingscliff,SAL12162,0.7735160965794768,722.0,47,778,1575
Balmain East,SAL10166,0.7731136820925553,436.0,46,1550,3020
Elizabeth Bay,SAL11398,0.7716297786720322,1404.0,43,1676,2116
Cheltenham (NSW),SAL10895,0.7715040241448693,481.0,46,1159,3573
Berry,SAL10321,0.7703219315895373,307.0,57,775,1495
Banora Point,SAL10186,0.7696428571428572,684.0,49,629,1268
Bilgola Plateau,SAL10350,0.7695422535211268,515.0,46,1062,2856
Milsons Point,SAL12640,0.7690895372233401,708.0,44,1866,3267
Earlwood,SAL11346,0.7685362173038229,1958.0,44,837,2164
Bundanoon (NSW),SAL10667,0.7675301810865192,324.0,59,664,1290
Cherrybrook,SAL10897,0.766851106639839,3774.0,43,940,2924
Beecroft,SAL10249,0.764989939637827,2050.0,43,1076,2962
North Epping,SAL13000,0.7639587525150906,915.0,44,1036,3062
McMahons Point,SAL12557,0.7629024144869216,660.0,44,1664,2568
Yamba (NSW),SAL14476,0.7628018108651912,370.0,57,602,1106
Oatley,SAL13075,0.7594567404426559,1716.0,43,1064,2537
Corlette,SAL11075,0.7588531187122738,434.0,52,674,1566
Erina,SAL11436,0.7583501006036217,308.0,61,607,1010
Clareville,SAL10922,0.7565643863179076,149.0,57,1223,2802
Lugarno,SAL12430,0.7565643863179075,718.0,45,934,2721
Alstonville,SAL10046,0.7550050301810864,449.0,51,671,1312
Green Point (Central Coast - NSW),SAL11760,0.7539486921529176,563.0,48,698,1510
Nelson Bay (NSW),SAL12932,0.7535965794768612,429.0,51,689,1305
Valentine,SAL14083,0.7530181086519115,558.0,46,904,2159
Illawong,SAL11982,0.752791750503018,841.0,44,985,2778
Terrey Hills,SAL13819,0.7514336016096579,372.0,47,973,2778
Church Point,SAL10914,0.7511569416498994,164.0,54,1161,3182
Woolwich,SAL14430,0.7495975855130785,177.0,52,1288,2931
Eleebana,SAL11396,0.7490945674044265,694.0,45,900,2227
Woy Woy,SAL14443,0.7489185110663984,606.0,48,605,1151
Pokolbin,SAL13248,0.7486670020120725,155.0,57,1045,2395
Vincentia,SAL14093,0.7479376257545272,357.0,50,797,1550
Tura Beach,SAL13991,0.7466800804828975,276.0,58,659,1280
Glenbrook,SAL11660,0.746076458752515,723.0,44,1031,2502
Putney,SAL13290,0.7437877263581488,656.0,44,1085,3053
Concord,SAL10999,0.7432595573440643,1820.0,43,935,2410
Sans Souci,SAL13504,0.7419265593561368,979.0,44,859,1863
Pennant Hills,SAL13194,0.7405935613682092,1502.0,43,952,2433
Balmain,SAL10165,0.7396378269617706,2162.0,42,1577,3039
Warners Bay,SAL14171,0.7391096579476861,619.0,46,766,1494
Dawes Point,SAL11224,0.7388832997987929,118.0,55,2468,4708
Yowie Bay,SAL14537,0.7365442655935613,339.0,46,1085,2959
Albury,SAL10027,0.7354124748490946,552.0,45,930,1601
Drummoyne,SAL11296,0.7354124748490946,2129.0,42,1388,2776
