Suburb_Name,SAL_CODE_2021,Combined_Score,Tertiary_Total,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly
Mosman,SAL12749,0.9195171026156942,6036.0,45,1487,2892
Darling Point,SAL11212,0.8876592890677397,920.0,49,1799,3219
Hunters Hill,SAL11961,0.8683769282360831,1619.0,46,1239,3413
Elizabeth Bay,SAL11398,0.8490945674044266,1404.0,43,1676,2116
Northbridge (NSW),SAL13032,0.8479208584842389,1392.0,44,1375,3874
Vaucluse,SAL14089,0.8450704225352114,1830.0,43,1393,3418
Birchgrove,SAL10373,0.8437290409121395,742.0,46,1661,3603
Balmain,SAL10165,0.84037558685446,2162.0,42,1577,3039
Turramurra,SAL13998,0.8346747149564052,2738.0,43,1144,3046
Newport (NSW),SAL12965,0.8333333333333334,1307.0,46,1126,2479
Wahroonga,SAL14103,0.8321596244131456,3559.0,44,1042,2998
Breakfast Point,SAL10554,0.8321596244131455,833.0,47,1249,2303
Woollahra,SAL14422,0.8309859154929576,1591.0,42,1638,3013
Kirribilli,SAL12182,0.8308182427900738,875.0,44,1598,2267
Castlecrag,SAL10848,0.8303152246814219,691.0,47,1446,4675
Cronulla,SAL11120,0.8291415157612341,2153.0,43,1179,2058
Drummoyne,SAL11296,0.8272971160295103,2129.0,42,1388,2776
St Ives (NSW),SAL13654,0.8259557344064387,3607.0,43,1077,2888
Abbotsford (NSW),SAL10003,0.8222669349429913,815.0,47,1179,2263
Cremorne Point,SAL11114,0.8165660630449363,540.0,47,1661,2951
Milsons Point,SAL12640,0.8153923541247486,708.0,44,1866,3267
Greenwich,SAL11776,0.8061703554661301,1316.0,42,1457,2946
McMahons Point,SAL12557,0.8053319919517102,660.0,44,1664,2568
West Pennant Hills,SAL14266,0.8044936284372904,3149.0,43,1032,3078
Pymble,SAL13294,0.8036552649228706,2689.0,41,1224,3379
Beecroft,SAL10249,0.8008048289738431,2050.0,43,1076,2962
Cremorne (NSW),SAL11113,0.7984574111334674,2393.0,40,1502,2481
Narrabeen,SAL12911,0.7966130114017438,929.0,48,1025,1780
Killara (NSW),SAL12137,0.7954393024815559,2315.0,42,1117,2802
Avalon Beach,SAL10112,0.7922535211267606,1332.0,46,995,2481
Rozelle,SAL13450,0.7917505030181088,1695.0,40,1652,3196
Oatley,SAL13075,0.7914151576123407,1716.0,43,1064,2537
Mona Vale,SAL12683,0.7912474849094568,1213.0,46,1020,2296
Seaforth (NSW),SAL13524,0.7904091213950369,1333.0,42,1263,4184
Longueville,SAL12394,0.7882293762575454,513.0,46,1453,4894
Cammeray,SAL10777,0.7847082494969818,1523.0,40,1612,2870
Manly (NSW),SAL12485,0.7798457411133467,3820.0,38,1595,3164
Paddington (NSW),SAL13126,0.7798457411133467,3188.0,38,1698,3131
Rose Bay (NSW),SAL13412,0.778336686787391,1816.0,40,1398,2539
Bellevue Hill,SAL10271,0.7774983232729711,2263.0,39,1575,3315
Balmain East,SAL10166,0.7754862508383636,436.0,46,1550,3020
Balgowlah,SAL10154,0.7739771965124077,1402.0,41,1264,2681
Haberfield,SAL11835,0.7716297786720322,966.0,46,996,2761
Balgowlah Heights,SAL10155,0.7697853789403085,718.0,43,1333,4687
Castle Cove,SAL10844,0.7696177062374246,520.0,46,1219,3439
Roseville,SAL13426,0.7696177062374246,2280.0,40,1203,3200
Cherrybrook,SAL10897,0.7687793427230046,3774.0,43,940,2924
Palm Beach (NSW),SAL13143,0.7686116700201208,314.0,58,1295,2807
Lilyfield,SAL12334,0.767605633802817,1211.0,41,1348,2858
Lindfield,SAL12348,0.767605633802817,2378.0,40,1174,2833
Point Piper,SAL13245,0.7667672702883971,279.0,52,1835,4530
Clontarf (NSW),SAL10934,0.7657612340710932,399.0,47,1385,4609
Glenhaven,SAL11671,0.761234071093226,884.0,48,950,2532
Collaroy (NSW),SAL10970,0.7595573440643862,1027.0,43,1074,2372
North Epping,SAL13000,0.7585513078470824,915.0,44,1036,3062
Westleigh,SAL14277,0.7570422535211266,840.0,45,1022,3021
Wollstonecraft,SAL14377,0.7543594902749833,2080.0,38,1590,2639
Neutral Bay,SAL12943,0.7540241448692152,2203.0,38,1552,2443
Millers Point,SAL12630,0.7538564721663313,484.0,43,1723,3160
Cheltenham (NSW),SAL10895,0.7520120724346077,481.0,46,1159,3573
Lane Cove,SAL12275,0.7516767270288397,2552.0,38,1377,2539
East Lindfield,SAL11360,0.7515090543259557,773.0,43,1132,3457
Darlinghurst,SAL11213,0.7508383635144198,3199.0,37,1535,2279
Riverview (NSW),SAL13385,0.7496646545942319,684.0,42,1417,4731
Dover Heights,SAL11286,0.7476525821596244,822.0,41,1404,3877
Naremburn,SAL12908,0.7456405097250167,1232.0,39,1593,3272
Castle Hill (NSW),SAL10846,0.7453051643192489,6956.0,42,931,2551
Willoughby (NSW),SAL14320,0.7436284372904091,1258.0,40,1264,2995
Double Bay,SAL11283,0.7432930918846412,1092.0,39,1662,3077
Putney,SAL13290,0.7431254191817572,656.0,44,1085,3053
Caringbah South,SAL10815,0.7426224010731053,1339.0,42,1041,2721
Gladesville,SAL11642,0.7422870556673374,2073.0,39,1200,2257
Annandale (NSW),SAL10062,0.7407780013413817,1904.0,38,1442,2683
Pennant Hills,SAL13194,0.7385982562038901,1502.0,43,952,2433
Russell Lea,SAL13462,0.7365861837692824,678.0,43,1133,2658
Fairlight,SAL11485,0.7360831656606304,1211.0,39,1491,3251
Concord,SAL10999,0.7349094567404425,1820.0,43,935,2410
Bronte,SAL10591,0.7342387659289068,1425.0,38,1562,3365
Five Dock,SAL11533,0.7340710932260229,1308.0,41,1079,2328
Bilgola Plateau,SAL10350,0.7339034205231387,515.0,46,1062,2856
Glenbrook,SAL11660,0.7334004024144868,723.0,44,1031,2502
Illawong,SAL11982,0.732897384305835,841.0,44,985,2778
Killarney Heights,SAL12138,0.732394366197183,751.0,43,1063,3426
Leichhardt (NSW),SAL12306,0.7318913480885311,2608.0,37,1377,2673
North Turramurra,SAL13023,0.7305499664654594,726.0,56,886,2064
Pyrmont,SAL13297,0.7293762575452716,2933.0,37,1297,2422
Belrose,SAL10283,0.7292085848423877,1082.0,46,903,2598
Bella Vista,SAL10263,0.7287055667337358,1663.0,40,1081,3518
Warrawee,SAL14183,0.7273641851106639,726.0,42,1153,3388
Potts Point,SAL13268,0.7270288397048961,1942.0,37,1534,2054
Cabarita (NSW),SAL10734,0.7268611670020121,315.0,50,1150,2695
West Pymble,SAL14267,0.7265258215962441,1065.0,41,1107,3503
Allambie Heights,SAL10036,0.7263581488933601,909.0,43,1006,2890
Bowral,SAL10534,0.7251844399731723,1300.0,55,802,1535
Maroubra,SAL12511,0.7236753856472166,4740.0,39,1026,2141
Randwick,SAL13325,0.7231723675385647,5360.0,36,1336,2422
Kurraba Point,SAL12225,0.7221663313212608,365.0,43,1744,3047
Burraneer,SAL10702,0.720657276995305,501.0,43,1209,3490
Dural (Hornsby - NSW),SAL11331,0.7194835680751174,1045.0,45,909,2489
Newcastle,SAL12958,0.7179745137491617,720.0,41,1251,1943
