Suburb_Name,SAL_CODE_2021,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly
New Chum,SAL32128,91,225,0
Maude (SA),SAL40843,87,612,2250
Walyunga National Park,SAL51513,84,450,450
Salisbury South,SAL41295,83,366,525
Capital Hill,SAL80032,82,824,1375
Aubrey,SAL20083,81,612,1124
Kenmare (Vic.),SAL21323,81,1437,1999
Regency Park,SAL41245,81,426,725
Brumby Plains,SAL10613,80,625,1125
Town Common,SAL32865,80,350,725
Upper Murray,SAL51481,80,725,1024
Milkers Flat,SAL12625,79,187,549
Howqua Hills,SAL21212,79,1125,1749
Cascade (NSW),SAL10841,78,449,575
Germantown (Vic.),SAL20987,78,900,0
Tonghi Creek,SAL22529,78,725,1375
Tablelands (Gladstone - Qld),SAL32713,78,575,1249
Mount Lindesay (WA),SAL51022,78,450,450
Sherlock (WA),SAL51347,78,725,1375
Worrowing Heights,SAL14442,77,458,767
