Suburb_Name,SAL_CODE_2021,Combined_Score,Tertiary_Total,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly
Brighton (Vic.),SAL20337,0.9406952965235172,4512.0,48,1259,2710
Toorak,SAL22547,0.9383274136260896,2856.0,47,1427,2533
Mosman,SAL12749,0.9303089010870735,6036.0,45,1487,2892
Darling Point,SAL11212,0.8968894629211065,920.0,49,1799,3219
City Beach,SAL50294,0.8920998816058551,1468.0,47,1228,3700
Hunters Hill,SAL11961,0.8891938435044667,1619.0,46,1239,3413
Cottesloe,SAL50343,0.8853729415563448,1741.0,44,1458,3351
Malvern (Vic.),SAL21586,0.8828436120977289,2070.0,44,1326,2606
Yarralumla,SAL80136,0.8818211172102034,758.0,50,1591,3327
Beaumaris (Vic.),SAL20182,0.8771929824561404,2249.0,48,1044,2626
Sandringham (Vic.),SAL22234,0.8770315358949521,1867.0,47,1090,2313
Albert Park (Vic.),SAL20018,0.8745560219567324,1170.0,46,1333,2533
Northbridge (NSW),SAL13032,0.868474868151975,1392.0,44,1375,3874
Williamstown (Vic.),SAL22792,0.8683134215907867,2271.0,45,1106,2411
Vaucluse,SAL14089,0.8666451404585084,1830.0,43,1393,3418
Dalkeith,SAL50374,0.8652459369282101,1086.0,45,1403,4672
Canterbury (Vic.),SAL20468,0.8651383058874179,1657.0,46,1102,2877
Hampton (Vic.),SAL21131,0.8651383058874179,2452.0,45,1080,2682
Port Melbourne,SAL22107,0.8651383058874179,2974.0,42,1366,2372
Elizabeth Bay,SAL11398,0.8634700247551393,1404.0,43,1676,2116
