Suburb_Name,SAL_CODE_2021,Tertiary_Total,Tertiary_Males,Tertiary_Females,Median_age_persons,Median_tot_prsnl_inc_weekly
Melbourne,SAL21640,13066.0,13066,0.0,29,864
Point Cook,SAL22086,9502.0,9502,0.0,33,969
Glen Waverley,SAL21013,7757.0,7757,0.0,40,707
Parramatta,SAL13167,7237.0,7237,0.0,32,1015
Tarneit,SAL22451,7217.0,7217,0.0,30,850
Castle Hill (NSW),SAL10846,6956.0,6956,0.0,42,931
Epping (NSW),SAL11431,6557.0,6557,0.0,36,946
Richmond (Vic.),SAL22170,6414.0,6414,0.0,34,1356
Mount Waverley,SAL21816,6362.0,6362,0.0,40,810
South Yarra,SAL22314,6218.0,6218,0.0,33,1395
Southbank,SAL22315,6096.0,6096,0.0,31,1171
Mosman,SAL12749,6036.0,6036,0.0,45,1487
Baulkham Hills,SAL10233,5693.0,5693,0.0,39,973
Reservoir (Vic.),SAL22161,5582.0,5582,0.0,38,741
Glen Iris (Vic.),SAL21010,5458.0,5458,0.0,40,1179
Brunswick (Vic.),SAL20361,5438.0,5438,0.0,34,1085
Ryde,SAL13469,5406.0,5406,0.0,36,983
Randwick,SAL13325,5360.0,5360,0.0,36,1336
Chatswood,SAL10891,5328.0,5328,0.0,37,938
Blacktown,SAL10396,5287.0,5287,0.0,34,757
