Suburb_Name,SAL_CODE_2021,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly
Bulga (Vic.),SAL20379,58,3500,8000
Petticoat Creek,SAL22063,69,3500,4750
Warenda,SAL32989,54,3500,4400
Middleback Range,SAL40869,32,3500,0
Ulooloo,SAL41485,62,3500,8000
Lockier,SAL50856,54,3500,4750
Londonderry (WA),SAL50860,47,3500,4750
Marrah,SAL50909,44,3500,0
Pearshape,SAL60497,39,3500,8000
Coongbar,SAL11045,67,3250,3250
Deep Creek (Clarence Valley - NSW),SAL11230,26,3250,4750
Gibraltar Range,SAL11618,39,3250,3250
Giro,SAL11637,58,3250,0
Adelaide Airport,SAL40003,51,3250,0
Brown Beach,SAL40169,62,3250,2250
Krongart,SAL40723,75,3250,7000
Witera,SAL41628,50,3250,8000
Juna Downs,SAL50704,46,3250,2250
Rockwell,SAL51303,51,3250,0
Freycinet,SAL60216,54,3250,7000
