LGA_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
LGA35010,138771,22779,7974,1267,181241,76.57,12.57,4.4,0.7,76.57,12.57,4.4,39,29.35,476340,761,1648,1957,63616,230729,27.57,99.65,99.86,True,74.35,False,80.11,False,47.64,72.59,85.65,88.5,97.27,Very High
LGA10750,98390,14480,8158,98,127688,77.06,11.34,6.39,0.08,77.06,11.34,6.39,34,20.58,396776,831,2107,2251,82709,191248,43.25,99.29,99.72,True,85.49,True,77.61,False,48.63,73.61,86.44,90.55,99.64,Very High
LGA21610,102149,9995,1007,122,117991,86.57,8.47,0.85,0.1,86.57,8.47,0.85,34,20.75,365239,783,1918,2045,57334,167206,34.29,98.94,99.58,True,86.57,True,75.71,False,48.51,73.49,86.35,90.23,99.09,Very High
LGA11650,103225,15743,11486,983,146248,70.58,10.76,7.85,0.67,70.58,10.76,7.85,43,35.15,346596,727,1507,1954,48947,174231,28.09,98.76,99.5,True,68.55,False,83.52,True,47.31,72.23,85.37,87.62,96.18,Very High
LGA34590,95721,13294,3075,381,118942,80.48,11.18,2.59,0.32,80.48,11.18,2.59,34,23.74,345098,736,1616,1825,34877,152918,22.81,98.58,99.43,True,70.9,False,73.92,False,46.43,71.3,84.62,85.75,91.64,Very High
LGA27260,79221,8421,2045,87,95935,82.58,8.78,2.13,0.09,82.58,8.78,2.13,32,15.19,292011,839,2023,2129,62325,143573,43.41,98.23,99.29,True,88.64,True,71.21,False,48.19,73.15,86.09,89.4,98.36,Very High
LGA22750,89397,10866,2558,556,115839,77.17,9.38,2.21,0.48,77.17,9.38,2.21,39,31.51,271057,769,1592,2051,50113,140374,35.7,98.05,99.22,True,79.33,False,81.32,True,48.27,73.24,86.16,89.54,98.73,Very High
LGA23270,66487,6828,2242,123,80257,82.84,8.51,2.79,0.15,82.84,8.51,2.79,33,21.05,243901,665,1703,1852,34681,104702,33.12,97.52,99.01,True,80.17,True,72.87,False,47.34,72.27,85.4,87.47,96.0,Very High
LGA27070,65609,8132,2156,20,80108,81.9,10.15,2.69,0.02,81.9,10.15,2.69,35,22.73,229396,737,1768,1970,37742,105361,35.82,96.81,98.72,True,82.75,True,75.72,False,47.94,72.89,85.89,88.6,97.45,Very High
LGA33960,69218,7145,1346,240,83392,83.0,8.57,1.61,0.29,83.0,8.57,1.61,33,21.35,229208,795,1668,1936,26060,103378,25.21,96.64,98.66,True,75.93,False,72.64,False,46.75,71.65,84.9,86.07,92.73,Very High
LGA16350,57474,8934,6712,179,77368,74.29,11.55,8.68,0.23,74.29,11.55,8.68,35,23.72,217664,866,1903,2188,27499,99891,27.53,96.28,98.51,True,74.66,False,78.52,False,47.28,72.21,85.35,87.1,95.09,Very High
LGA14650,68750,7813,3589,406,86059,79.89,9.08,4.17,0.47,79.89,9.08,4.17,42,34.77,213845,759,1623,2050,32215,109134,29.52,95.93,98.37,True,75.51,False,85.0,True,48.12,73.09,86.04,88.82,97.82,Very High
LGA58760,65649,5066,302,184,75811,86.6,6.68,0.4,0.24,86.6,6.68,0.4,35,22.46,209111,817,1894,2148,27076,97322,27.82,95.58,98.23,True,83.25,True,77.1,False,48.08,73.04,86.0,88.67,97.64,Very High
LGA21180,52121,8955,2731,87,68236,76.38,13.12,4.0,0.13,76.38,13.12,4.0,37,28.15,194618,611,1506,1674,28556,83120,34.36,95.22,98.09,True,75.74,False,76.47,False,47.1,72.01,85.2,86.52,94.0,Very High
