Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Abbotsbury,SAL10002,11736.930688742332,46.684894053315105,4258.989585809657,35.28708133971291,60.355434039644564,5765.550239234451,10000.0,74.7858921828553,38.41975308641975,846,42,3.3,843.5767654856593,4200,2216,550,0.6044735406437534,2621
Abbotsford (NSW),SAL10003,20798.895270490033,78.67395762132604,5148.259702189032,23.75256322624743,82.365003417635,9053.315105946685,9571.428571428572,97.9901768172888,54.04356908385557,1179,47,2.3,5334.970530451867,5431,3000,550,0.5871990604815033,2263
Abercrombie,SAL10004,6527.3056762663255,99.86329460013671,4966.329301040557,75.08544087491455,57.48462064251538,8133.97129186603,10000.0,59.283515253288556,36.7109634551495,1029,39,2.8,378.50545759865656,1127,1733,393,0.38865216416236825,2202
Aberdare,SAL10006,3754.8349041184956,50.37593984962406,3188.286010810473,83.91148325358851,2.460697197539303,2255.6390977443607,10000.0,72.37381551935115,10.297029702970297,640,36,2.5,771.2144655805346,2542,1421,303,0.5123798076923076,1251
Aberdeen (NSW),SAL10007,4062.6848510648465,68.01093643198907,3489.9518113465483,84.9025974025974,4.511278195488721,3468.8995215311,9785.714285714286,10.0,12.366230677764566,716,41,2.4,49.26416014334886,2051,1517,280,0.48893425010743446,1426
Aberglasslyn,SAL10009,6812.829506976274,78.19548872180451,4254.549160942401,61.44907723855091,26.862611073137387,6257.689678742311,9428.57142857143,80.27077903272517,21.989174560216508,881,32,3.0,1054.1558065450333,6552,1950,430,0.5107832009080591,2147
Abermain,SAL10010,3894.7167951503966,56.664388243335615,3318.708679657101,84.21052631578948,3.007518796992481,2699.931647300068,10000.0,52.17953218655329,11.598440545808966,667,37,2.7,165.38596559659868,2544,1430,320,0.4947526236881559,1449
Acacia Gardens,SAL10014,13185.536610820236,87.21804511278195,5046.013832991138,37.26930963773069,80.51948051948052,8359.535201640465,10000.0,93.31618895435933,51.867007672634266,1055,36,3.2,3663.2377908718663,3668,2484,540,0.5433467006926722,2796
Adamstown,SAL10016,7665.873775064324,87.76486671223513,4557.369819023289,58.4501025290499,73.06903622693096,6920.71086807929,9785.714285714286,85.38184201901016,45.407577497129736,925,36,2.4,2076.368403802032,6335,2100,395,0.5239085239085239,1875
Adamstown Heights,SAL10017,10261.092234996195,88.17498291182501,4856.168859649122,46.32604237867396,76.41831852358169,7734.107997265892,10000.0,86.73976608187134,48.66732477788746,983,39,2.8,2347.953216374269,5621,2201,475,0.5167070975819704,2325
Adelong,SAL10018,3073.0549713526466,44.2241968557758,2861.4384825700618,92.1138072453862,5.331510594668489,1551.6062884483936,9571.428571428572,10.0,12.88056206088993,599,49,2.3,46.2759685639156,938,1200,205,0.4623089764992937,1158
