Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Worrowing Heights,SAL14442,1146.9545674667322,2.255639097744361,1149.4084073820918,99.21394395078606,9.432672590567329,126.45249487354752,4428.571428571429,10.0,15.064935064935064,458,77,1.7,52.84378103553059,713,503,187,0.2534430634867316,767
Gilead,SAL11621,1250.616344597083,2.460697197539303,1230.2115516062886,97.36842105263158,1.0936431989063569,225.56390977443607,4642.857142857143,10.0,7.971014492753622,471,74,1.6,31.46022528660194,882,495,265,0.2425281724644782,758
Hastings Point,SAL11875,1779.340467651325,5.809979494190021,1675.3591188599034,93.1561859193438,25.153793574846205,649.3506493506493,5857.142857142858,58.1471446436015,21.238938053097343,520,67,1.7,344.41433930804504,661,960,290,0.4260355029585798,744
Arrawarra,SAL10089,1783.6204974950028,9.979494190020509,1775.8544943719387,98.5645933014354,2.392344497607656,533.1510594668489,6428.571428571429,53.65744026496333,10.273972602739724,506,66,1.9,209.72320794889995,591,659,200,0.3005472788081484,718
Coomba Park,SAL11038,1954.2223510222889,7.10868079289132,1797.6107313738894,90.98598769651402,14.149008885850993,20.505809979494195,7142.857142857143,10.0,16.6189111747851,430,61,1.9,64.91432436494814,691,906,300,0.4862254025044722,786
Barraba,SAL10207,1982.5515105265524,13.602187286397813,1962.231373889269,97.97505126452496,10.936431989063568,215.31100478468895,7571.4285714285725,10.0,15.601503759398495,470,58,1.9,2.5384875007664167,1329,758,195,0.3721767594108019,776
Emmaville,SAL11417,1986.005258752141,13.260423786739576,1954.1110731373888,97.39405331510596,0.9569377990430622,198.2228298017772,7571.4285714285725,10.0,7.659574468085106,463,58,1.9,0.8161676838324777,505,840,150,0.4186741983718225,748
Bingara,SAL10364,2077.162467854959,9.774436090225564,1926.8485987696515,91.7634996582365,6.630211893369788,280.2460697197539,7357.142857142857,10.0,13.48314606741573,479,61,2.0,4.892542251074281,1318,1062,200,0.5116428456720733,853
Kandos,SAL12065,2099.6600065369694,13.46548188653452,2019.8356117566643,95.19822282980178,4.442925495557074,116.1995898838004,7928.571428571429,10.0,12.333965844402275,457,54,1.8,31.645411039563022,1263,867,220,0.4378050833193065,677
Binnaway,SAL10371,2112.316123351612,19.343814080656184,2123.512987012987,99.53007518796991,3.144224196855776,105.94668489405332,8357.142857142859,10.0,11.67883211678832,456,54,2.0,0.7387229949312151,658,585,150,0.2960526315789473,782
Laurieton,SAL12292,2148.640160347954,0.888585099111415,1588.1725882413332,72.91524265208476,16.19958988380041,365.6869446343131,5857.142857142858,62.13942400123044,17.622523461939522,487,67,1.7,464.1827200369131,2012,1365,315,0.6468172484599589,755
Ashford (NSW),SAL10100,2250.881428365968,22.48803827751196,2246.4658236500345,98.80382775119617,1.161995898838004,160.62884483937117,8785.714285714286,10.0,8.076923076923077,461,54,2.2,0.9676273586283948,659,658,185,0.3293842816619389,855
Wentworth (NSW),SAL14242,2265.1236429433056,19.61722488038277,2207.6517429938485,96.46274777853723,8.202323991797677,440.8749145591252,8285.714285714286,10.0,14.36388508891929,496,56,2.1,0.963516570316028,1577,878,200,0.4084987593052109,952
Lightning Ridge,SAL12329,2266.0564993185235,19.548872180451127,2204.688653451811,96.29186602870811,4.30622009569378,256.3226247436774,8500.0,10.0,12.278876170655566,476,53,2.0,0.9099016847956553,1946,867,200,0.4203296703296703,792
Yanco,SAL14478,2304.9601416074543,12.030075187969924,2097.5925039872404,90.00341763499658,8.544087491455912,232.39917976760083,8095.2380952380945,10.0,14.479638009049776,473,25,2.5,13.078352338546509,744,1083,200,0.52837859814604,1256
Mitchell (NSW),SAL12661,2316.8840519706287,5.263157894736842,1890.295496208955,80.58783321941216,0.4101161995898838,160.62884483937117,7333.333333333334,57.66983042622094,4.204545454545454,461,30,1.7,330.09491278662824,1179,1235,215,0.6182212581344902,779
Wallaga Lake,SAL14120,2376.563806656632,12.7136021872864,2136.763157894737,88.90977443609023,39.33697881066302,1066.3021189336978,7214.285714285716,10.0,27.27272727272727,563,62,2.0,47.84377012168782,587,1127,320,0.4619483536002186,915
Iluka (NSW),SAL11983,2394.398139005467,4.101161995898838,1873.3424072794448,77.23855092276145,19.822282980177715,365.6869446343131,7000.0,51.26425996731643,19.03669724770642,487,62,1.9,137.92779901949285,1764,1300,300,0.6160164271047227,834
Stuarts Point,SAL13696,2396.8645973392177,11.89336978810663,2138.427546138073,88.21770334928229,11.278195488721805,266.57552973342445,8214.285714285716,10.0,15.733333333333333,478,55,2.0,45.58628364666464,766,1083,283,0.5228516253620856,777
Tea Gardens,SAL13794,2400.419032106856,1.367053998632946,1732.6414900888587,71.1807928913192,25.4272043745728,745.0444292549556,6000.000000000001,10.0,21.40575079872205,529,69,1.9,40.31887224877039,3288,1420,365,0.6194561582085211,991
Wooli,SAL14421,2431.535103369589,4.032809295967191,1886.4008885850992,76.58065618591934,19.61722488038277,311.00478468899524,7142.857142857143,10.0,18.992248062015506,481,61,1.9,16.004276291716913,503,1300,300,0.6237006237006236,778
Murrurundi,SAL12875,2470.670341590844,18.865345181134654,2288.5027341079976,91.6267942583732,9.706083390293916,649.3506493506493,8357.142857142859,10.0,15.113871635610764,520,54,2.0,12.937992105771166,945,1083,250,0.4806213017751479,877
Tuncurry,SAL13987,2474.3199402069167,4.169514695830485,1910.0802830286316,76.19617224880383,7.928913192071087,495.5570745044429,7000.0,60.22991146451561,14.299802761341224,499,62,1.9,406.8973439354682,6376,1322,310,0.6113765993525512,854
Menindee,SAL12582,2488.548567584081,32.262474367737525,2477.713260423787,98.5645933014354,6.151742993848257,628.8448393711552,9142.857142857143,10.0,13.274336283185844,519,50,2.1,0.0403264326346304,537,758,184,0.3370386838594931,885
Barham,SAL10200,2510.554397332616,21.872863978127132,2362.340738209159,93.09637730690362,16.883116883116884,1185.9193438140803,8000.0,10.0,17.95252225519288,571,58,2.1,3.318505458507895,1569,1148,185,0.4639633571332345,995
Baradine,SAL10191,2522.0902540095126,35.611756664388245,2533.5198222829804,99.45317840054685,13.602187286397813,628.8448393711552,9357.14285714286,10.0,16.40378548895899,519,50,2.2,0.6525943542670545,783,650,157,0.2890173410404624,1034
Cobargo,SAL10950,2522.7463831296463,19.822282980177715,2333.721462747779,91.50717703349282,30.28024606971975,481.8865345181134,8714.285714285716,10.0,23.29113924050633,498,56,2.3,7.363005798126759,766,1020,285,0.4726598702502317,967
Peak Hill (NSW),SAL13177,2526.554591093341,32.53588516746412,2500.8745727956257,97.9835953520164,20.98427887901572,512.6452494873548,9357.14285714286,10.0,19.477911646586342,503,48,2.2,0.9198469729276844,1162,814,185,0.3734515981036856,996
Tingha,SAL13891,2551.7121444974696,30.348598769651403,2479.774094326726,96.1807928913192,0.2050580997949419,105.94668489405332,9785.714285714286,10.0,2.6923076923076925,456,47,2.4,2.859759817123163,774,867,180,0.4387651821862348,897
