SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,is_sydney_metro
SAL11186,SAL11186,56,450,651,3033,130,1.8,52,39,393,17,368,520,10.0,7.5,75.6,70.8,107.5,,37,20.0,Manageable (<30%),91,11.7,15.4,29.8,0.9,108.3,14.0,160,520,18.0,19.2,52.1,1146,48.8,38.4,78.5,64.6,True
SAL11568,SAL11568,39,450,619,2709,220,2.2,5,6,27,0,0,52,9.6,11.5,51.9,0.0,101.0,,0,35.5,Moderate (30-40%),0,0.0,51.9,44.2,1.2,63.5,26.9,8,52,24.2,33.3,20.0,120,45.3,39.0,69.7,55.8,True
SAL13117,SAL13117,73,602,961,4000,660,2.1,54,14,7,6,5,119,45.4,11.8,5.9,4.2,96.1,Extreme (>50%),20,68.7,Extreme (>50%),5,0.0,28.6,0.0,0.7,59.7,16.8,5,119,12.8,13.2,69.4,265,31.0,33.9,51.6,52.4,True
SAL13762,SAL13762,49,608,697,1950,248,1.7,20,4,46,32,0,90,22.2,4.4,51.1,0.0,64.6,Extreme (>50%),0,35.6,Moderate (30-40%),0,3.3,55.6,38.9,1.0,103.3,0.0,15,90,16.4,16.4,48.1,189,42.2,45.0,54.0,52.3,True
SAL14333,SAL14333,37,462,775,1478,186,2.3,99,146,1033,141,825,1321,7.5,11.1,78.2,62.5,44.0,Severe (40-50%),18,24.0,Manageable (<30%),24,8.2,74.7,11.5,0.9,94.5,4.2,725,1321,25.1,23.4,29.4,3421,52.8,31.4,55.0,48.2,True
SAL10797,SAL10797,61,526,710,1781,300,1.8,315,66,189,96,31,629,50.1,10.5,30.0,4.9,57.9,Extreme (>50%),0,42.3,Severe (40-50%),6,7.0,72.8,11.8,0.8,101.0,4.1,97,629,14.1,16.8,58.0,1202,32.5,38.0,43.9,47.4,True
SAL10022,SAL10022,29,451,944,2210,220,2.9,30,166,752,128,599,990,3.0,16.8,76.0,60.5,54.0,Extreme (>50%),33,23.3,Manageable (<30%),113,1.1,82.0,3.6,0.9,74.3,3.9,653,990,29.9,23.9,19.3,3265,53.1,24.7,58.7,47.0,True
SAL10923,SAL10923,28,483,1020,2600,209,3.1,11,170,501,58,438,710,1.5,23.9,70.6,61.7,58.8,Extreme (>50%),92,20.5,Manageable (<30%),86,4.5,45.9,1.0,0.9,76.5,5.9,430,710,29.0,25.9,13.8,2579,50.0,23.6,58.1,46.8,True
SAL12150,SAL12150,68,556,721,2006,310,1.7,321,29,38,11,0,405,79.3,7.2,9.4,0.0,64.2,Extreme (>50%),22,43.0,Severe (40-50%),16,0.0,68.9,7.7,0.7,109.6,8.1,41,405,7.2,13.5,72.0,721,20.2,38.5,39.2,46.2,True
SAL13907,SAL13907,60,561,788,2297,250,1.7,72,11,40,6,0,127,56.7,8.7,31.5,0.0,67.3,Extreme (>50%),0,31.7,Moderate (30-40%),8,0.0,52.0,41.7,1.0,91.3,2.4,33,127,8.2,22.3,57.2,269,28.1,42.3,47.1,46.2,True
