Suburb,single_parent_families,pct_small_dwellings,Average_num_psns_per_bedroom,rent_stress_ratio,family_lockout_score
SAL12381,4,64.2,1.0,37.7,58.7
SAL13762,15,38.9,1.0,35.6,45.0
SAL10904,107,37.1,1.0,34.1,43.8
SAL14053,20,29.4,1.0,45.9,43.2
SAL11292,10,33.0,0.9,43.0,42.9
SAL14006,9,54.5,1.1,29.3,42.8
SAL13907,33,41.7,1.0,31.7,42.3
SAL11391,16,30.8,0.9,31.2,41.9
SAL14538,3,30.9,1.0,36.1,41.4
SAL10394,9,35.4,0.9,35.3,40.0
SAL14100,6,25.3,1.0,31.0,39.1
SAL11568,8,44.2,1.2,35.5,39.0
SAL11318,20,23.7,1.0,35.6,38.8
SAL12661,21,38.6,0.9,27.6,38.7
SAL12150,41,7.7,0.7,43.0,38.5
SAL11159,4,33.6,0.9,10.1,38.4
SAL11186,160,29.8,0.9,20.0,38.4
SAL11875,46,14.2,0.8,39.0,38.3
SAL10906,198,57.4,1.2,32.4,38.1
SAL12974,156,21.7,0.9,37.6,38.1
