SAL_CODE_2021,Suburb,Median_age_persons,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Median_mortgage_repay_monthly,Median_rent_weekly,Average_household_size,owned_outright,owned_mortgage,renting_total,renting_private,renting_social,total_dwellings,pct_owned_outright,pct_owned_mortgage,pct_renting,pct_renting_social,mortgage_stress_ratio,mortgage_stress_level,high_mortgage_count,rent_stress_ratio,rent_stress_level,high_rent_count,pct_apartments,pct_houses,pct_small_dwellings,Average_num_psns_per_bedroom,pct_low_income,pct_high_income,single_parent_families,total_households,pct_young_adults,pct_families_age,pct_retirees,total_population,homeownership_lockout_score,family_lockout_score,first_buyer_lockout_score,crisis_score,affordability_score,is_sydney_metro
SAL11749,SAL11749,42,759,1406,815,160,2.8,46,31,19,0,0,109,42.2,28.4,17.4,0.0,13.4,Manageable (<30%),10,11.4,Manageable (<30%),0,0.0,102.8,3.7,0.8,43.1,7.3,23,109,21.4,25.1,35.8,299,20.4,14.8,22.0,17.3,92.4,True
SAL13826,SAL13826,42,803,1912,1083,231,2.9,58,35,31,10,0,137,42.3,25.5,22.6,0.0,13.1,Manageable (<30%),6,12.1,Manageable (<30%),0,0.0,101.5,2.2,0.8,19.7,17.5,26,137,24.3,25.7,32.7,452,23.3,9.8,24.3,15.0,92.3,True
SAL13972,SAL13972,50,520,931,345,100,2.3,80,28,17,6,5,133,60.2,21.1,12.8,3.8,8.6,Manageable (<30%),0,10.7,Manageable (<30%),0,0.0,94.0,3.8,0.7,68.4,6.8,16,133,16.3,22.5,43.9,369,15.6,19.4,18.4,18.7,92.2,True
SAL10348,SAL10348,43,925,2025,1403,280,2.7,86,61,36,22,0,198,43.4,30.8,18.2,0.0,16.0,Manageable (<30%),18,13.8,Manageable (<30%),0,0.0,100.5,0.0,0.8,34.3,27.8,23,198,25.8,24.7,32.4,586,22.2,12.6,23.9,17.4,91.2,True
SAL13070,SAL13070,50,637,1053,709,150,2.3,68,34,18,3,3,128,53.1,26.6,14.1,2.3,15.5,Manageable (<30%),0,14.2,Manageable (<30%),0,0.0,98.4,0.0,0.7,59.4,7.8,8,128,18.8,21.7,42.4,304,18.4,17.5,21.5,20.2,90.8,True
SAL10964,SAL10964,43,841,1555,867,180,2.4,181,104,108,12,6,439,41.2,23.7,24.6,1.4,12.9,Manageable (<30%),10,11.6,Manageable (<30%),0,4.8,91.8,1.6,0.7,33.9,9.1,65,439,21.6,24.7,36.2,1152,23.5,12.1,24.5,17.2,90.7,True
SAL11711,SAL11711,38,728,1375,783,220,2.5,51,38,37,14,0,139,36.7,27.3,26.6,0.0,13.1,Manageable (<30%),0,16.0,Manageable (<30%),0,0.0,101.4,4.3,0.7,45.3,11.5,32,139,27.2,24.8,28.4,416,27.2,16.6,25.9,20.4,90.7,True
SAL14131,SAL14131,54,753,1416,1042,200,2.3,68,28,17,4,0,115,59.1,24.3,14.8,0.0,17.0,Manageable (<30%),0,14.1,Manageable (<30%),0,0.0,100.0,0.0,0.7,57.4,31.3,11,115,14.0,20.4,50.5,299,17.0,17.1,21.6,20.4,90.7,True
SAL14297,SAL14297,41,696,1243,693,200,2.4,67,54,30,6,0,178,37.6,30.3,16.9,0.0,12.9,Manageable (<30%),0,16.1,Manageable (<30%),0,0.0,99.4,2.8,0.8,53.9,6.7,52,178,22.0,26.0,29.6,523,22.2,18.1,21.6,19.9,90.6,True
SAL10713,SAL10713,45,788,1638,1350,198,2.7,58,52,11,5,0,131,44.3,39.7,8.4,0.0,19.0,Manageable (<30%),10,12.1,Manageable (<30%),0,0.0,103.8,4.6,0.8,45.8,11.5,10,131,16.9,23.0,34.9,421,15.9,15.8,19.5,17.5,90.5,True
