Suburb_Name,SAL_CODE_2021,Value_Score,Undervalued_Score,Quality_Index,Price_Index,Education_Index,Employment_Index,Demographics_Index,Density_Index,Tertiary_Pct,Median_tot_prsnl_inc_weekly,Median_age_persons,Average_household_size,Density_per_sqkm,Total_Population,Median_mortgage_repay_monthly,Median_rent_weekly,Mortgage_to_Income_Ratio,Median_tot_hhd_inc_weekly
Captains Flat,SAL10803,5290.395857504729,100.0,4846.534176349966,90.61004784688996,32.262474367737525,7963.089542036912,9785.714285714286,10.0,24.02826855123675,1011,40,2.4,3.660690534448835,611,1309,300,0.29879023054097237,1644
Cobar,SAL10948,4652.559948836163,99.93164730006835,4524.972317156527,96.25768967874231,10.457963089542037,7091.592617908408,9571.428571428572,10.0,15.393866506313891,937,36,2.3,1.6479758849397232,3603,1109,200,0.27313028486987934,1816
Abercrombie,SAL10004,6527.3056762663255,99.86329460013671,4966.329301040557,75.08544087491455,57.48462064251538,8133.97129186603,10000.0,59.283515253288556,36.7109634551495,1029,39,2.8,378.50545759865656,1127,1733,393,0.38865216416236825,2202
Bourkelands,SAL10521,6244.923200787337,99.79494190020506,4901.94456959683,77.49487354750512,63.704716336295284,7901.572112098428,10000.0,82.41014044275173,40.234375,1003,35,2.8,1482.0280885503453,3113,1733,360,0.39872689623437385,2203
Bilbul,SAL10348,5016.403680435247,99.72658920027341,4581.814422419686,90.33663704716335,13.67053998632946,6920.71086807929,10000.0,10.0,16.417910447761194,925,43,2.7,7.4536025957870615,586,1403,280,0.35002079002079,2025
Gunning,SAL11819,6122.845075167025,99.65823650034177,4845.355092276144,78.13568010936432,51.40123034859877,7761.449077238551,10000.0,10.0,33.33333333333333,985,38,2.7,10.405219867371514,820,1733,350,0.40601327606403753,2049
Bourke,SAL10520,4343.505793261695,99.58988380041012,4308.636021872864,98.1971975393028,22.419685577580314,6001.367053998633,10000.0,10.0,20.211360634081903,860,35,2.5,0.43757172673684297,1699,947,180,0.2541144901610018,1560
Robin Hill,SAL13390,7432.505764873375,99.52153110047847,5042.241376736602,66.84039644565961,68.76281613123719,8380.041011619958,10000.0,50.66818940829375,42.96724470134875,1056,48,2.9,120.04568224881253,925,2167,234,0.4735576923076923,2708
Lloyd,SAL12374,7005.175680377562,99.45317840054683,4963.020928632772,69.84791524265209,51.94805194805194,8605.604921394395,9428.57142857143,57.414529914529915,33.65122615803814,1086,32,2.7,322.43589743589746,1509,1803,420,0.38312792180195493,2247
Hamilton Valley,SAL11849,5475.301237347761,99.38482570061518,4620.622807017544,83.3902939166097,40.12303485987697,7341.07997265892,9619.04761904762,10.0,27.648578811369507,952,33,2.9,70.18488752745542,834,1590,345,0.3854234001292825,1924
Michelago,SAL12609,9624.03766870633,99.31647300068353,5305.423444976076,54.12679425837321,53.86192754613808,9292.54955570745,10000.0,10.0,34.659090909090914,1262,38,2.9,2.7256921963262597,642,2330,400,0.42606363525539437,2750
Gobbagombalin,SAL11693,7095.677451023562,99.24812030075188,4956.813283208021,68.8568010936432,71.29186602870813,9224.196855775805,8666.666666666668,10.0,44.340425531914896,1231,28,2.9,50.4819360654601,2184,1924,410,0.3606823720552397,2510
Crestwood,SAL11116,5788.034718527242,99.17976760082024,4686.725610805828,79.97265892002734,67.39576213260425,7713.602187286398,9357.142857142859,87.60341129608824,42.216257668711656,982,35,2.2,2520.682259217649,4936,1733,320,0.4072536424878584,1719
Turvey Park,SAL14001,5275.4720619054115,99.11141490088859,4550.247905315927,85.2529049897471,69.03622693096378,6725.905673274095,10000.0,78.43556836272757,43.14363143631436,912,35,2.5,953.0670508818272,3572,1517,338,0.38385627530364375,1785
Jerrabomberra,SAL12025,11277.056764093752,99.04306220095694,5441.0449956517405,47.24880382775119,80.45112781954887,9685.577580314422,10000.0,74.90922141033334,51.831429696731,1485,38,3.0,847.2766423100004,9601,2405,490,0.37373737373737376,3403
Tatton,SAL13790,6983.044430336903,98.97470950102529,4915.71961579998,69.39507860560492,68.69446343130554,7942.5837320574165,10000.0,82.24104768908751,42.93563579277865,1009,40,2.8,1448.209537817503,2560,1939,385,0.4434703057101472,2337
Hillston,SAL11919,4290.4683029141315,98.90635680109364,4222.665413533835,97.41968557758032,23.78673957621326,5892.002734107998,9785.714285714286,10.0,20.609579100145137,852,36,2.4,0.3881495995297243,1547,901,220,0.24404117009750811,1486
Bywong,SAL10733,10864.46357230052,98.83800410116199,5353.366028708134,48.274094326725915,80.38277511961722,9425.837320574163,10000.0,10.0,51.81818181818182,1328,47,2.8,14.217321613401149,1342,2419,450,0.42035449490268767,3172
Gol Gol,SAL11697,5721.560904882226,98.76965140123035,4612.368079289132,79.6138072453862,40.328092959671906,6995.898838004101,10000.0,10.0,27.695800227014754,932,37,2.9,96.80819999109127,1956,1733,315,0.42910201386596236,2104
Karabar,SAL12079,6724.314271953197,98.7012987012987,4819.191480324187,70.66814764183184,44.83937115516063,7645.249487354751,10000.0,81.09881847475833,29.693438054218397,975,38,2.6,1219.763694951665,8517,1950,350,0.46153846153846156,1989
Coleambally,SAL10964,4156.49792224076,98.63294600136705,4146.568352699932,98.76110731373889,36.7053998632946,5625.427204374572,9785.714285714286,10.0,26.1758691206544,841,43,2.4,0.6176217456038547,1152,867,180,0.23790359462178723,1555
Millthorpe,SAL12634,6109.732591224924,98.56459330143541,4682.026315789473,75.63226247436774,64.04647983595352,7204.374572795625,10000.0,10.0,40.37433155080214,942,43,2.7,17.62752144223748,1347,1820,325,0.445859872611465,2071
Gundaroo,SAL11811,11373.868062493666,98.49624060150376,5369.196514012303,46.20642515379357,85.30416951469583,9473.684210526315,10000.0,10.0,57.41496598639456,1352,43,3.0,4.106000755264373,1233,2474,475,0.4222803823395539,3243
Greenleigh,SAL11773,11336.486028535972,98.4278879015721,5364.141582832652,46.3174982911825,82.57006151742993,9439.507860560492,10000.0,50.121374728503895,54.25,1335,50,2.7,103.6412418551169,676,2485,465,0.42955920484010374,3263
Lake Albert (NSW),SAL12246,5449.161121877649,98.35953520164047,4516.620814232736,81.88653451811346,47.163362952836636,6647.300068352699,10000.0,55.2118989405053,31.083202511773937,907,43,2.6,256.35696821515893,6291,1625,340,0.41345093715545755,1891
Springvale (NSW),SAL13643,9653.901594801766,98.29118250170882,5193.211773490748,52.79391660970608,59.46684894053315,8892.686261107312,10000.0,50.43893650929515,38.080495356037154,1148,41,3.4,113.1680952788545,1851,2232,420,0.4486732779415706,3185
O'Connell (NSW),SAL13063,7723.755455245593,98.22282980177717,4935.601161995899,62.90157211209843,58.30485304169515,8055.365686944634,10000.0,10.0,37.119113573407205,1024,43,2.9,5.4680637443927225,653,2200,250,0.4957932692307693,2578
Table Top,SAL13737,8319.142101177898,98.15447710184553,5018.239576213261,59.3215994531784,56.9377990430622,8332.194121667808,10000.0,10.0,36.51399491094148,1052,42,3.0,8.64660646362351,1516,2167,380,0.4753582918982158,2475
Lake Wyangan,SAL12264,5765.195106390316,98.08612440191388,4570.700273410799,78.28092959671906,34.72317156527683,6862.611073137388,10000.0,10.0,25.19280205655527,920,44,2.9,29.007078123966394,877,1800,280,0.45150501672240806,2210
Walgett,SAL14114,4136.465920489761,98.01777170198223,4101.137730690362,98.14593301435406,7.450444292549556,5324.675324675324,10000.0,10.0,13.894523326572008,823,35,2.5,0.2777953938234022,1824,970,175,0.2719880362650715,1554
Bungendore,SAL10681,11479.165319380347,97.94941900205059,5338.478810663021,45.50580997949419,64.93506493506493,9391.66097060834,10000.0,10.0,40.95163806552262,1298,38,2.9,15.951719238983648,4745,2383,510,0.42366955078819485,2922
Voyager Point,SAL14097,10185.145274723867,97.88106630211894,5211.828644577258,50.17088174982912,79.90430622009569,8920.027341079973,10000.0,78.99433591492313,51.34264232008593,1152,37,3.3,969.830077447694,1678,2600,325,0.5208333333333334,3205
