Metric,Australia,NSW,Sydney Metro,Sydney vs Australia
Median Age,43.8years,44.2years,44.2years,+1.1%
Median Household Income,1683.7$/week,1767.5$/week,1767.5$/week,+5.0%
Median Rent,330.7$/week,386.4$/week,386.4$/week,+16.8%
Median Mortgage,1713.0$/month,1973.0$/month,1973.0$/month,+15.2%
Mortgage Stress Ratio,24.0%,26.5%,26.5%,+10.4%
Rent Stress Ratio,20.3%,22.6%,22.6%,+11.3%
% Owned Outright,38.3%,40.1%,40.1%,+4.6%
% Owned with Mortgage,34.8%,33.7%,33.7%,-3.0%
% Renting,22.3%,21.8%,21.8%,-2.4%
% Apartments,5.4%,7.9%,7.9%,+44.7%
% Young Adults,22.1%,21.7%,21.7%,-1.8%
% Low Income,42.0%,41.1%,41.1%,-2.1%
