Suburb,pct_young_adults,pct_renting,rent_stress_ratio,Median_rent_weekly,homeownership_lockout_score
SAL12076,66.8,100.0,10.6,254,66.5
SAL10906,68.4,76.0,32.4,520,62.9
SAL11884,63.1,75.6,33.7,650,62.0
SAL12661,58.9,78.7,27.6,215,60.4
SAL14542,59.6,70.5,27.4,600,57.6
SAL13730,52.1,72.0,26.9,600,56.0
SAL14201,47.1,72.7,26.1,530,55.7
SAL14024,56.4,68.1,27.7,500,55.6
SAL13731,50.4,67.7,26.3,520,54.4
SAL14371,61.0,63.0,25.0,540,54.2
SAL11474,36.3,74.0,22.4,300,53.3
SAL10022,29.9,76.0,23.3,220,53.1
SAL11215,64.4,59.0,27.2,650,52.9
SAL11867,46.1,71.5,20.2,360,52.9
SAL12446,50.6,65.8,24.4,460,52.8
SAL14333,25.1,78.2,24.0,186,52.8
SAL12032,41.0,67.6,29.7,350,52.6
SAL13027,51.7,65.7,25.5,395,52.3
SAL13167,42.4,70.2,21.0,440,51.9
SAL13657,40.6,68.3,24.2,600,51.5
