SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score
30805153303,308051533,30805,1189,1154,14,7,0.9705634987384356,0.011774600504625737,0.005887300252312868,2879,6659,0.47023515288468326,28565,0.4497362827678501,97.05634987384356,99.99353211305866,37.28130457279607,95.91355012764187,85.86821551077841,6.873247862376647
11303126901,113031269,11303,826,809,0,8,0.9794188861985472,0.0,0.009685230024213076,1758,10790,0.47908711482106386,46360,0.46748479867700593,97.94188861985472,99.96927753702866,47.45043981631201,97.94188861985472,88.45181553429836,6.579544792099475
21603141622,216031416,21603,773,761,0,12,0.9844760672703752,0.0,0.015523932729624839,1808,9255,0.46442191890806905,30016,0.4400785854616896,98.44760672703752,99.95795873488132,32.6430211499903,98.44760672703752,85.73979521398121,6.548313319277856
51003127229,510031272,51003,1097,1019,25,30,0.9288969917958068,0.022789425706472195,0.027347310847766638,2435,8867,0.5211896784811615,14957,0.5054065013178347,92.88969917958067,99.98868119785266,76.43506241510899,90.77279628123107,91.51677614233297,6.503435997163898
21603141645,216031416,21603,780,757,3,16,0.9705128205128205,0.0038461538461538464,0.020512820512820513,1918,9255,0.46442191890806905,30016,0.4400785854616896,97.05128205128204,99.95957570661665,32.6430211499903,96.67800788954635,85.00479055145051,6.464173574908516
31601141516,316011415,31601,905,849,3,19,0.938121546961326,0.0033149171270718232,0.020994475138121547,2189,6296,0.5268619246861924,28509,0.4835640138408305,93.8121546961326,99.98059633917599,69.03782096888946,93.50117517780289,90.67672249176402,6.387706487105514
11301125616,113011256,11301,703,682,0,9,0.9701280227596017,0.0,0.012802275960170697,1443,10301,0.5008021780349069,23776,0.47975140741338607,97.01280227596017,99.93693810232197,59.95973740379018,97.01280227596017,90.47943004943471,6.360914422332553
11004120554,110041205,11004,742,709,3,10,0.9555256064690026,0.004043126684636119,0.013477088948787063,1964,9046,0.47515495325139195,37962,0.44883481715319407,95.55256064690026,99.94663993273397,38.542946769290474,95.16622953916347,85.43022854635473,6.316689347311174
31201134102,312011341,31201,595,587,5,3,0.9865546218487395,0.008403361344537815,0.005042016806722689,1300,4733,0.5021750663129974,16524,0.4612936545601742,98.65546218487395,99.90702412521829,51.91328180583403,97.82642468752208,89.59959094143409,6.304321464819093
31601141519,316011415,31601,686,660,3,10,0.9620991253644315,0.004373177842565598,0.014577259475218658,1754,6296,0.5268619246861924,28509,0.4835640138408305,96.20991253644316,99.9337041588513,69.03782096888946,95.78916947870361,91.85055740388091,6.284753109135205
31103131920,311031319,31103,761,720,25,0,0.9461235216819974,0.0328515111695138,0.0,1923,7952,0.49600798403193613,40691,0.43463074918288436,94.61235216819975,99.95472479141064,41.578002716512515,91.50419342417216,85.29737819042282,6.278425124959771
21002123218,210021232,21002,702,672,7,11,0.9572649572649573,0.009971509971509971,0.01566951566951567,2217,7132,0.5014765855716495,16545,0.5018350571749219,95.72649572649573,99.93532113058664,68.37647952913784,94.77195801982127,91.42368633758397,6.275213434895679
20202102608,202021026,20202,589,579,0,3,0.9830220713073005,0.0,0.0050933786078098476,1508,4353,0.5216922339405561,23759,0.45255238095238093,98.30220713073004,99.90379018174762,55.91932928012419,98.30220713073004,90.30610647591415,6.271801271417595
31802148423,318021484,31802,581,570,8,0,0.9810671256454389,0.013769363166953529,0.0,1306,5413,0.5354104846686449,94017,0.4875894616741002,98.10671256454388,99.8924713796003,73.08146303602614,96.75584561012676,93.50230360791554,6.245934862662512
