SA2_CODE,Employment,Spoke_SA1_Count,Total_Spoke_Commuters,Total_Car_Commuters,Avg_Car_Dependency,Potential_Modal_Shift_20pct,Avg_TOD_Score
203021487.0,12624.0,53,8412,8053,0.9593153391256659,1610,80.36181084233583
214011374.0,13253.0,48,8346,8039,0.9642421992673355,1607,84.5898736217256
507051313.0,12821.0,47,9499,8033,0.848247832141806,1606,75.65679980918516
212011552.0,12560.0,46,8283,7625,0.9240964393204397,1525,79.23759183547975
212011546.0,12745.0,44,7951,7391,0.9307729526061117,1478,84.44351037510772
404031107.0,14282.0,38,8449,7054,0.8425249514439104,1410,84.77572647238244
213051583.0,12922.0,43,7515,6471,0.8664625938737074,1294,72.72189015082525
203031053.0,12385.0,41,6689,6321,0.9431333939415111,1264,79.52351946740731
314011386.0,13299.0,42,7087,6191,0.8735490062536373,1238,81.49772948303311
504011045.0,13126.0,39,7552,6192,0.821973243787291,1238,81.23113016489297
111011208.0,12516.0,40,5213,4955,0.9510379103940423,991,74.56981668164765
208031188.0,12412.0,32,4399,3791,0.8631570496047998,758,76.75221076514515
128011604.0,13078.0,29,3811,3310,0.8684950162577061,662,75.95260220896928
208021174.0,12978.0,24,3090,2573,0.8356187012397583,514,74.51059897645267
116021632.0,12749.0,16,2261,1810,0.8070677014258458,362,70.5308333863862
122031429.0,12508.0,12,1544,1306,0.8461646508101176,261,76.19783223576015
122011419.0,12894.0,1,113,98,0.8672566371681416,19,75.41510403509275
