SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score,state
80105106116,801051061,80105,315,280,19,16,0.8888888888888888,0.0603174603174603,0.0507936507936507,616,3938,0.5854021108963877,36571,0.5976825521344055,88.88888888888889,98.48732294159498,95.84519112605912,83.52733686067019,92.6235243493129,5.116215300966144,ACT
70101100502,701011005,70101,321,265,21,21,0.8255451713395638,0.0654205607476635,0.0654205607476635,586,2476,0.6279482627441034,16782,0.6205442981807425,82.55451713395638,98.63365888364272,99.0763048961904,77.15375433080037,90.14254093099348,4.767153145075602,NT
30203103708,302031037,30203,411,342,38,25,0.8321167883211679,0.0924574209245742,0.0608272506082725,916,1367,0.6584778420038536,24203,0.5632403248702613,83.21167883211679,99.61192678351982,96.4636828148244,75.51814161649529,90.01280029251708,5.010194611867489,QLD
30202103106,302021031,30202,407,340,42,21,0.8353808353808354,0.1031941031941031,0.0515970515970515,836,8628,0.5978381374722838,39539,0.5319386519574869,83.53808353808354,99.59171463682814,92.97264083823814,74.91744592481695,89.37902056641119,5.021697393851142,QLD
30901122912,309011229,30901,386,331,25,24,0.8575129533678757,0.0647668393782383,0.0621761658031088,823,4149,0.5572867696440564,34101,0.5135692771084337,85.75129533678756,99.4728672142811,85.85392277342993,80.19745496523397,89.33290835020873,5.109426355940046,QLD
70101100802,701011008,70101,380,304,31,30,0.8,0.081578947368421,0.0789473684210526,632,2657,0.6478907583516216,16782,0.6205442981807425,80.0,99.4405277795744,99.36129616454303,73.47368421052632,89.05178598783357,4.754239500101361,NT
30201102507,302011025,30201,318,264,19,17,0.8301886792452831,0.0597484276729559,0.0534591194968553,733,5774,0.5748705694942254,24454,0.5301680216802168,83.01886792452831,98.55442726861136,91.21782226246684,78.05862109884895,88.823301912773,4.786196387217607,QLD
20603111305,206031113,20603,309,257,27,20,0.8317152103559871,0.087378640776699,0.0647249190938511,957,8204,0.5400566124679086,38348,0.5580975666550239,83.1715210355987,98.34907185822392,90.49544013970636,75.90410657617747,88.46282865726567,4.771194435120234,VIC
40403110822,404031108,40403,321,266,27,20,0.8286604361370716,0.0841121495327102,0.0623052959501557,731,9390,0.551639055340148,34761,0.5343160613000907,82.86604361370716,98.63365888364272,90.37093331608564,75.89600256208693,88.4003020300015,4.785142402226831,SA
80109109901,801091099,80109,371,303,35,29,0.816711590296496,0.0943396226415094,0.0781671159029649,817,1499,0.5593283582089552,20751,0.5282975635835943,81.6711590296496,99.3823167971024,89.95254187956795,73.96633270609775,87.87030029751392,4.834029212519578,ACT
80109109902,801091099,80109,334,272,29,25,0.8143712574850299,0.0868263473053892,0.0748502994011976,642,1499,0.5593283582089552,20751,0.5282975635835943,81.437125748503,98.91016105038484,89.95254187956795,74.36623758471082,87.67503074890132,4.7348607923844845,ACT
40403110719,404031107,40403,359,290,39,27,0.807799442896936,0.1086350974930362,0.075208913649025,757,14282,0.5393504531722054,34761,0.5343160613000907,80.77994428969359,99.247299657202,88.67472996572019,72.0044071663007,87.02155432281215,4.754791557438844,SA
40106102104,401061021,40106,362,291,46,22,0.8038674033149171,0.1270718232044199,0.0607734806629834,835,8689,0.5504592968007602,16215,0.5353428637459143,80.38674033149171,99.281256063644,90.31393506241513,70.17185067610879,87.01904503178379,4.7383183004725735,SA
40105101920,401051019,40105,341,285,35,18,0.8357771260997068,0.1026392961876832,0.0527859237536656,734,7143,0.5285238623751387,19346,0.5160722383759704,83.57771260997067,98.99990298169588,81.67041265118687,74.99935501070682,86.96507396980509,4.876601349157896,SA
40106102102,401061021,40106,308,248,35,17,0.8051948051948052,0.1136363636363636,0.0551948051948051,721,8689,0.5504592968007602,16215,0.5353428637459143,80.51948051948052,98.32562576806156,90.31393506241513,71.36953955135775,86.90522090582948,4.616456612567016,SA
70104103702,701041037,70104,353,294,18,32,0.8328611898016998,0.0509915014164305,0.0906515580736544,726,1413,0.5143793228977066,19255,0.5179416828061115,83.28611898016997,99.18100381605328,78.61271909967013,79.03923472622363,86.69521602944037,4.888309610372039,NT
80101102005,801011020,80101,359,300,25,26,0.8356545961002786,0.0696378830083565,0.0724233983286908,860,1559,0.5022551546391752,56414,0.5319014529374605,83.56545961002786,99.247299657202,77.95097341698468,77.74613791016519,86.5651822155852,4.918749887005702,ACT
70102101602,701021016,70102,322,261,24,24,0.8105590062111802,0.0745341614906832,0.0745341614906832,564,1527,0.5280082987551867,28054,0.512860825213433,81.05590062111801,98.65710497380503,80.50983118815083,75.01446703445083,85.62290468166397,4.683128125345073,NT
30503111918,305031119,30503,317,237,48,23,0.7476340694006309,0.1514195583596214,0.0725552050473186,564,2713,0.6301974448315911,60875,0.6083667289607547,74.76340694006309,98.530981178449,98.84507793803763,63.44276487973809,85.57794920514128,4.307905923403476,QLD
20803119011,208031190,20803,313,247,34,29,0.7891373801916933,0.108626198083067,0.0926517571884984,831,7106,0.5384557096309768,64270,0.5238277652351805,78.91373801916933,98.44689864821164,86.94335748011125,70.34163868162379,85.52240016631586,4.537060918592136,VIC
80101100312,801011003,80101,321,245,46,24,0.7632398753894081,0.1433021806853582,0.0747663551401869,621,4691,0.6238031914893617,56414,0.5319014529374605,76.32398753894081,98.63365888364272,93.74474484186015,65.38659368600848,85.40730101764201,4.407368002051028,ACT
80109110916,801091109,80109,327,246,29,52,0.7522935779816514,0.0886850152905198,0.1590214067278287,493,3541,0.6813546276698095,20751,0.5282975635835943,75.22935779816514,98.76059116486644,93.62913136278378,68.55764105153888,85.30151084643663,4.358046934747705,ACT
30502111404,305021114,30502,339,258,61,17,0.7610619469026548,0.1799410029498525,0.0501474926253687,981,4175,0.5636560010800594,26401,0.5949387056066342,76.10619469026548,98.97403143393052,94.4400426880538,62.41156968700238,85.26385281259635,4.436188700128122,QLD
80104104030,801041040,80104,443,331,71,38,0.7471783295711061,0.1602708803611738,0.0857787810383747,819,5220,0.6079664570230608,49565,0.5652813576332657,74.7178329571106,99.72188086152254,95.91189121014165,62.74274009039536,85.26034969236886,4.554668013916628,ACT
70101100211,701011002,70101,407,287,21,75,0.7051597051597052,0.0515970515970515,0.1842751842751842,698,4791,0.6701636592530423,16782,0.6205442981807425,70.51597051597052,99.59171463682814,99.5440139706358,66.87755434684182,84.680460826248,4.238903388339052,NT
30502111705,305021117,30502,352,260,63,23,0.7386363636363636,0.1789772727272727,0.065340909090909,723,8619,0.602390271176964,26401,0.5949387056066342,73.86363636363636,99.16564258456762,96.49561800659724,60.64372417355373,84.65864333949966,4.333186632962094,QLD
40403110819,404031108,40403,307,232,43,22,0.755700325732899,0.1400651465798045,0.0716612377850162,724,9390,0.551639055340148,34761,0.5343160613000907,75.57003257328991,98.29894573442856,90.37093331608564,64.98530488387144,84.29041390124881,4.330238272475144,SA
30503112007,305031120,30503,338,246,70,18,0.727810650887574,0.2071005917159763,0.0532544378698224,700,4027,0.6107993326255119,60875,0.6083667289607547,72.7810650887574,98.95947868831252,98.2884354181489,57.70806344315677,84.22876306994218,4.240224930223642,QLD
50702116524,507021165,50702,341,259,54,22,0.7595307917888563,0.158357771260997,0.064516129032258,700,9019,0.5394138755980862,20712,0.5189676772738662,75.95307917888563,98.99990298169588,85.75164931117004,63.92531883970726,83.62406431226773,4.431718419059281,WA
30901122709,309011227,30901,445,332,37,64,0.7460674157303371,0.0831460674157303,0.1438202247191011,911,7678,0.5485461170250768,34101,0.5135692771084337,74.6067415730337,99.73562512127288,84.87080395834681,68.40348440853428,83.57789339811814,4.551249195664408,QLD
