SA1_CODE_2021,state,total_commuters,total_car,potential_transit_users,daily_time_saved_mins,annual_time_saved_hours,tod_score
70101100901,NT,292,280,56.0,560.0,2146.6666666666665,97.07005640946537
10102101209,NSW,366,355,71.0,710.0,2721.6666666666665,96.88757703468404
70101100903,NT,368,345,69.0,690.0,2645.0,96.4568181546556
10102101232,NSW,247,243,48.6,486.0,1863.0,96.4074750442998
10102161109,NSW,239,239,47.800000000000004,478.00000000000006,1832.3333333333335,96.3925360584697
70101100905,NT,286,270,54.0,540.0,2070.0,96.2558303775094
80104103604,ACT,252,245,49.0,490.0,1878.3333333333333,96.20036795090157
10102101222,NSW,240,236,47.2,472.0,1809.3333333333333,96.16508203436602
10102101224,NSW,248,242,48.400000000000006,484.00000000000006,1855.3333333333335,95.91736588355208
10102101214,NSW,236,231,46.2,462.0,1771.0,95.7979317013064
10102161015,NSW,228,225,45.0,450.0,1725.0,95.76616745538456
10102161003,NSW,281,269,53.800000000000004,538.0,2062.3333333333335,95.5354410277681
70104104217,NT,234,234,46.800000000000004,468.00000000000006,1794.0000000000002,95.514277860423
80107107516,ACT,278,269,53.800000000000004,538.0,2062.3333333333335,95.50607119115884
10102100915,NSW,361,342,68.4,684.0,2622.0,95.35862388005906
10102101215,NSW,215,212,42.400000000000006,424.00000000000006,1625.3333333333335,95.21268066838844
10102101223,NSW,246,236,47.2,472.0,1809.3333333333333,95.1575061931332
10102101227,NSW,202,202,40.400000000000006,404.00000000000006,1548.666666666667,95.1160177220102
10102101211,NSW,308,290,58.0,580.0,2223.3333333333335,95.11510505614544
10102101218,NSW,221,216,43.2,432.0,1656.0,95.09517049320708
80107107102,ACT,248,240,48.0,480.0,1840.0,95.04164148105592
80107107112,ACT,277,265,53.0,530.0,2031.6666666666667,95.00822464331112
80107107814,ACT,259,251,50.2,502.0,1924.3333333333333,94.9293682756944
80104104718,ACT,242,232,46.400000000000006,464.00000000000006,1778.666666666667,94.92769129577432
80104103609,ACT,284,268,53.6,536.0,2054.6666666666665,94.85459820314892
10102101210,NSW,198,198,39.6,396.0,1518.0,94.82860099605458
10102101017,NSW,287,269,53.800000000000004,538.0,2062.3333333333335,94.8218761965309
10102161013,NSW,233,224,44.800000000000004,448.00000000000006,1717.3333333333335,94.81491815347104
70104103606,NT,263,256,51.2,512.0,1962.6666666666667,94.78061760702155
70104103604,NT,317,304,60.800000000000004,608.0,2330.6666666666665,94.72375641936362
80101114302,ACT,261,248,49.6,496.0,1901.3333333333333,94.708501520018
10102101213,NSW,226,218,43.6,436.0,1671.3333333333333,94.69029482116866
80110113603,ACT,237,224,44.800000000000004,448.00000000000006,1717.3333333333335,94.68040744369094
10102101220,NSW,196,196,39.2,392.0,1502.6666666666667,94.67337170946251
80107108804,ACT,202,202,40.400000000000006,404.00000000000006,1548.666666666667,94.62478170881572
80104104633,ACT,229,222,44.400000000000006,444.00000000000006,1702.0000000000002,94.61817416338332
80101101807,ACT,307,287,57.400000000000006,574.0,2200.3333333333335,94.59096894760336
10102161145,NSW,231,224,44.800000000000004,448.00000000000006,1717.3333333333335,94.58269144455356
80110113606,ACT,399,365,73.0,730.0,2798.3333333333335,94.55801767502
30103101924,QLD,323,310,62.0,620.0,2376.6666666666665,94.55569096265585
10102161014,NSW,235,226,45.2,452.0,1732.6666666666667,94.54696438847036
30601113813,QLD,325,313,62.6,626.0,2399.6666666666665,94.44850861090072
10102101203,NSW,285,267,53.400000000000006,534.0,2047.0,94.4344347702852
20903121519,VIC,214,210,42.0,420.0,1610.0,94.42721798652866
80104103616,ACT,260,244,48.800000000000004,488.00000000000006,1870.666666666667,94.41640024585624
21401137455,VIC,338,338,67.60000000000001,676.0000000000001,2591.333333333334,94.3929888105556
31401138333,QLD,229,222,44.400000000000006,444.00000000000006,1702.0000000000002,94.3689179703816
70102102116,NT,398,384,76.80000000000001,768.0000000000001,2944.0000000000005,94.34556366775595
31401138316,QLD,268,255,51.0,510.0,1955.0,94.3056148026951
80104104008,ACT,238,225,45.0,450.0,1725.0,94.2618974715824
80107108809,ACT,263,249,49.800000000000004,498.00000000000006,1909.0000000000002,94.2113549487324
11103122637,NSW,360,356,71.2,712.0,2729.3333333333335,94.20553687054884
10102161138,NSW,257,243,48.6,486.0,1863.0,94.18566566510891
20903121515,VIC,288,271,54.2,542.0,2077.6666666666665,94.12013785270446
10102100908,NSW,284,266,53.2,532.0,2039.3333333333333,94.10611839394556
70101100808,NT,312,281,56.2,562.0,2154.3333333333335,94.08446079637676
80110113910,ACT,291,266,53.2,532.0,2039.3333333333333,94.06257645080213
10103101623,NSW,235,229,45.800000000000004,458.00000000000006,1755.666666666667,94.06005777061571
80104103408,ACT,404,371,74.2,742.0,2844.3333333333335,94.0285722939741
70104104203,NT,386,361,72.2,722.0,2767.6666666666665,93.98790108072508
80107107110,ACT,333,308,61.6,616.0,2361.3333333333335,93.9629609702012
31401138342,QLD,351,326,65.2,652.0,2499.3333333333335,93.93115419727272
40102100820,SA,293,285,57.0,570.0,2185.0,93.9257863504628
80104103704,ACT,206,200,40.0,400.0,1533.3333333333333,93.9245670126463
