SAL_CODE_2021,Suburb_Name,Executive_Score,Manager_Concentration_Pct,Manager_Plus_Professional_Pct,Total_Managers,Total_Professionals,Total_Employed,Median_tot_prsnl_inc_weekly,Median_tot_hhd_inc_weekly,Total_Population
SAL12640,Milsons Point,85.34990734089823,28.685790527018014,73.84923282188124,430,677,1499,1866,3267,2529
SAL80030,Campbell,80.63391058672651,41.88075618031992,70.86766844401357,1728,1196,4126,1292,3052,6564
SAL11212,Darling Point,79.85405791617677,27.097729516288254,70.4837117472853,549,879,2026,1799,3219,3977
SAL80083,Kingston (ACT),76.97385114009361,25.226449275362317,70.22192028985508,1114,1987,4416,1777,2469,6579
SAL10373,Birchgrove,76.74373207369251,26.59636789689514,73.98945518453426,454,809,1707,1661,3603,3228
SAL11114,Cremorne Point,74.3175334835467,25.528455284552848,71.46341463414633,314,565,1230,1661,2951,2270
SAL13126,Paddington (NSW),73.4584930068266,23.445849081193796,72.05786524175682,1799,3730,7673,1698,3131,12701
SAL13450,Rozelle,73.05444359103508,26.363453411149123,67.59911450996177,1310,2049,4969,1652,3196,8553
SAL12557,McMahons Point,72.52775009133931,24.10841654778887,70.82738944365192,338,655,1402,1664,2568,2315
SAL14422,Woollahra,71.72110101887758,23.501070663811564,72.18950749464668,878,1819,3736,1638,3013,7189
SAL11283,Double Bay,71.543718817495,24.072672218016656,69.03860711582135,636,1188,2642,1662,3077,4709
SAL10165,Balmain,71.4310606877031,26.360931209522143,69.03553299492386,1506,2438,5713,1577,3039,10454
SAL12908,Naremburn,71.26492917523943,25.513905683192263,69.58887545344619,844,1458,3308,1593,3272,5924
SAL11398,Elizabeth Bay,70.61929935128234,22.712628865979383,69.3298969072165,705,1447,3104,1676,2116,4878
SAL12182,Kirribilli,70.6183460632167,23.42971086739781,72.6321036889332,470,987,2006,1598,2267,3629
SAL10937,Clovelly,70.46236404421211,23.940058479532166,68.96929824561403,655,1232,2736,1633,3474,4887
SAL10777,Cammeray,69.9909251474073,24.445551956142538,68.20333914776975,981,1756,4013,1612,2870,7088
SAL11442,Erskineville,69.97061669860162,21.16091109478325,69.72814107274064,1440,3305,6805,1704,3020,9657
SAL12485,Manly (NSW),69.26854854823685,24.82809690045488,66.95229027821856,2347,3982,9453,1595,3164,16296
