LGA_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
LGA10050,17855,3878,325,74,24118,74.03,16.08,1.35,0.31,74.03,16.08,1.35,39,31.75,56093,779,1430,1909,8245,27703,29.76,78.41,91.36,True,74.12,False,78.26,True,46.04,70.88,84.29,81.18,82.64,Very High
LGA10180,8967,1108,468,55,12055,74.38,9.19,3.88,0.46,74.38,9.19,3.88,37,31.22,29124,719,1404,1844,5971,15646,38.16,67.08,86.83,True,73.76,False,77.1,True,45.11,69.88,83.47,77.18,74.55,Very High
LGA10250,13126,3776,921,397,19700,66.63,19.17,4.68,2.02,66.63,19.17,4.68,48,41.12,46296,737,1429,1848,8585,25152,34.13,76.11,88.52,False,72.65,False,84.96,True,46.22,71.07,84.44,81.18,82.64,Very High
LGA10300,660,25,12,10,922,71.58,2.71,1.3,1.08,71.58,2.71,1.3,43,35.42,2208,734,1370,1781,123,879,13.99,23.54,53.83,False,49.92,False,80.05,False,36.49,59.66,74.38,53.35,24.36,Medium
LGA10470,13526,1633,699,41,17518,77.21,9.32,3.99,0.23,77.21,9.32,3.99,38,30.76,43567,796,1585,2026,6446,22176,29.07,75.04,90.02,True,74.76,False,80.35,True,46.15,71.01,84.39,80.79,82.18,Very High
LGA10500,22373,7970,33875,462,71347,31.36,11.17,47.48,0.65,31.36,11.17,47.48,35,24.83,175184,872,1959,2243,43771,98633,44.38,93.81,75.44,False,59.96,False,63.54,False,39.6,63.52,77.97,72.27,63.09,High
LGA10550,12340,1267,700,241,17546,70.33,7.22,3.99,1.37,70.33,7.22,3.99,52,46.59,35942,645,1200,1501,5570,19191,29.02,69.56,87.82,True,61.32,False,78.12,False,43.85,68.48,82.3,75.12,69.45,Very High
LGA10600,4721,198,157,87,5821,81.1,3.4,2.7,1.49,81.1,3.4,2.7,50,43.92,13253,613,1197,1479,2425,7282,33.3,52.39,80.96,False,64.25,False,77.99,False,43.05,67.56,81.53,70.33,57.09,High
LGA10650,3041,239,34,24,3894,78.09,6.14,0.87,0.62,78.09,6.14,0.87,52,47.33,8665,618,1128,1460,756,4067,18.59,43.89,74.89,False,46.35,False,75.6,False,39.29,63.14,77.62,61.73,40.55,High
LGA10750,98390,14480,8158,98,127688,77.06,11.34,6.39,0.08,77.06,11.34,6.39,34,20.58,396776,831,2107,2251,82709,191248,43.25,99.29,99.72,True,85.49,True,77.61,False,48.63,73.61,86.44,90.55,99.64,Very High
LGA10800,1968,90,44,21,2783,70.72,3.23,1.58,0.75,70.72,3.23,1.58,43,37.16,5547,730,1326,1811,445,2405,18.5,35.58,65.33,False,54.31,False,80.49,False,39.3,63.16,77.64,60.42,38.36,High
LGA10850,2628,82,22,13,3040,86.45,2.7,0.72,0.43,86.45,2.7,0.72,43,34.97,7497,765,1547,1974,896,3599,24.9,41.77,71.7,False,73.85,False,83.95,True,43.46,68.03,81.92,69.31,54.55,High
LGA10900,28125,1339,943,47,34093,82.49,3.93,2.77,0.14,82.49,3.93,2.77,45,36.79,78121,817,1756,2235,20359,45722,44.53,82.65,93.06,True,84.16,True,89.41,True,48.81,73.8,86.59,87.84,96.73,Very High
LGA10950,840,47,6,11,1184,70.95,3.97,0.51,0.93,70.95,3.97,0.51,41,33.16,2467,774,1444,1931,225,1036,21.72,24.6,54.77,False,66.84,False,79.89,True,39.01,62.8,77.31,58.03,32.73,Medium
LGA11150,717,10,15,7,1095,65.48,0.91,1.37,0.64,65.48,0.91,1.37,37,29.19,2340,862,1559,1899,216,1050,20.57,24.25,51.8,False,66.32,False,76.58,False,37.93,61.47,76.09,56.12,28.91,Medium
LGA11200,417,36,3,5,598,69.73,6.02,0.5,0.84,69.73,6.02,0.5,36,30.75,1356,553,962,1232,110,496,22.18,18.23,49.85,False,50.87,False,62.92,False,33.34,55.57,70.38,47.05,14.36,Medium
LGA11250,6910,177,186,8,8836,78.2,2.0,2.11,0.09,78.2,2.0,2.11,44,37.78,17588,647,1173,1623,1439,7621,18.88,58.58,83.43,False,47.59,False,74.9,False,40.9,65.07,79.35,67.37,51.09,High
LGA11300,4871,2152,6944,96,15485,31.46,13.9,44.84,0.62,31.46,13.9,44.84,34,25.53,40217,739,1867,2101,11461,23547,48.67,73.1,67.22,False,59.56,False,63.15,False,37.98,61.54,76.15,65.46,47.27,High
LGA11350,10293,1375,773,353,15220,67.63,9.03,5.08,2.32,67.63,9.03,5.08,43,32.94,36116,764,1602,1926,8908,21798,40.87,69.73,86.54,False,78.23,False,81.97,True,46.21,71.07,84.44,79.96,80.0,Very High
LGA11400,4599,69,55,185,5480,83.92,1.26,1.0,3.38,83.92,1.26,1.0,44,36.06,13766,768,1538,1984,1847,6686,27.62,53.1,81.24,False,75.71,False,84.96,True,45.4,70.19,83.73,75.16,69.64,Very High
LGA11450,34397,2192,365,153,38576,89.17,5.68,0.95,0.4,89.17,5.68,0.95,33,18.58,119325,984,2353,2487,17748,55385,32.04,87.79,95.12,True,89.32,True,77.04,False,48.3,73.27,86.18,87.68,96.36,Very High
LGA11500,44903,8701,3674,16,60258,74.52,14.44,6.1,0.03,74.52,14.44,6.1,35,24.33,176519,738,1700,1927,26560,79548,33.39,94.16,97.66,True,77.11,True,76.05,False,47.14,72.06,85.23,86.42,93.36,Very High
LGA11520,12769,3307,18011,373,37883,33.71,8.73,47.54,0.98,33.71,8.73,47.54,39,28.35,89177,1107,2371,2870,29078,54301,53.55,83.72,72.75,False,65.66,False,71.31,False,40.93,65.11,79.39,72.81,63.82,High
LGA11570,64393,18398,33403,586,126210,51.02,14.58,26.47,0.46,51.02,14.58,26.47,36,26.3,371006,625,1556,1786,63331,166569,38.02,99.12,88.8,False,54.88,False,67.28,False,41.8,66.13,80.28,77.0,73.45,Very High
LGA11600,911,0,23,20,1109,82.15,0.0,2.07,1.8,82.15,0.0,2.07,37,29.0,2866,837,1516,1814,248,1243,19.95,26.73,56.42,False,63.36,False,77.53,False,38.51,62.19,76.75,57.49,31.64,Medium
LGA11650,103225,15743,11486,983,146248,70.58,10.76,7.85,0.67,70.58,10.76,7.85,43,35.15,346596,727,1507,1954,48947,174231,28.09,98.76,99.5,True,68.55,False,83.52,True,47.31,72.23,85.37,87.62,96.18,Very High
LGA11700,480,21,6,7,819,58.61,2.56,0.73,0.85,58.61,2.56,0.73,42,34.14,1725,524,988,1128,118,729,16.19,21.59,45.58,False,39.06,False,61.97,False,30.51,51.72,66.45,43.25,9.27,Medium
LGA11720,20413,1731,300,59,24664,82.76,7.02,1.22,0.24,82.76,7.02,1.22,37,29.01,63632,696,1493,1818,4729,28983,16.32,80.35,92.14,True,56.59,False,77.06,False,43.85,68.47,82.3,77.12,73.82,Very High
LGA11730,18018,1345,916,560,24141,74.64,5.57,3.79,2.32,74.64,5.57,3.79,49,42.94,54115,578,1123,1398,5261,26639,19.75,77.7,91.08,True,45.94,False,75.36,False,42.08,66.46,80.57,73.19,64.55,High
LGA11750,1270,44,68,20,1940,65.46,2.27,3.51,1.03,65.46,2.27,3.51,37,30.43,4059,900,1740,2260,287,1843,15.57,31.86,58.27,False,58.55,False,80.84,True,38.64,62.35,76.9,58.7,35.09,Medium
LGA11800,22545,3508,3078,521,32505,69.36,10.79,9.47,1.6,69.36,10.79,9.47,44,36.59,78759,688,1363,1685,11444,40076,28.56,82.83,92.77,False,62.78,False,80.71,False,45.18,69.95,83.53,80.27,80.73,Very High
LGA12000,1600,23,13,10,1875,85.33,1.23,0.69,0.53,85.33,1.23,0.69,44,37.22,4385,693,1310,1691,436,1909,22.84,33.27,62.08,False,63.57,False,79.41,False,39.83,63.79,78.21,61.02,39.45,High
LGA12150,1216,23,43,3,1567,77.6,1.47,2.74,0.19,77.6,1.47,2.74,39,33.04,3732,661,1231,1533,297,1499,19.81,30.97,59.85,False,51.67,False,72.17,False,36.76,60.0,74.71,55.11,26.91,Medium
LGA12160,4150,214,83,31,5101,81.36,4.2,1.63,0.61,81.36,4.2,1.63,49,42.94,11403,627,1132,1518,1001,5065,19.76,49.03,79.61,False,48.66,False,75.76,False,40.48,64.57,78.91,64.79,45.27,High
LGA12350,4678,278,90,24,5813,80.47,4.78,1.55,0.41,80.47,4.78,1.55,47,40.39,12724,606,1112,1447,1093,5751,19.01,51.15,80.46,False,46.1,False,75.15,False,40.2,64.24,78.62,64.68,44.73,High
LGA12380,37257,10796,23184,189,78143,47.68,13.82,29.67,0.24,47.68,13.82,29.67,34,21.9,235439,654,1678,1808,43818,108910,40.23,97.35,86.19,False,55.0,False,63.76,False,40.89,65.06,79.35,75.02,69.09,Very High
LGA12390,16444,1502,1159,100,20900,78.68,7.19,5.55,0.48,78.68,7.19,5.55,36,28.97,54922,837,1597,1969,6756,26745,25.26,78.05,91.22,True,70.54,False,78.93,False,45.66,70.48,83.96,80.34,81.36,Very High
LGA12700,3469,55,8,32,3998,86.77,1.38,0.2,0.8,86.77,1.38,0.2,46,38.12,9541,710,1485,1856,1170,4739,24.69,46.19,77.56,False,72.73,False,86.01,True,44.56,69.26,82.96,72.19,62.55,High
LGA12730,2998,281,16,10,3856,77.75,7.29,0.41,0.26,77.75,7.29,0.41,46,39.82,8456,701,1240,1709,835,3862,21.62,43.36,74.26,False,58.21,False,79.27,False,41.26,65.5,79.74,65.32,46.73,High
LGA12750,13873,1379,974,322,22827,60.77,6.04,4.27,1.41,60.77,6.04,4.27,54,49.9,40593,618,1167,1436,5755,22016,26.14,73.27,84.03,False,57.14,False,72.89,False,42.0,66.36,80.48,72.37,63.27,High
LGA12850,43987,7598,8970,173,64394,68.31,11.8,13.93,0.27,68.31,11.8,13.93,39,30.18,208475,485,1390,1482,21228,71898,29.53,95.4,97.19,False,59.99,False,74.69,True,44.82,69.55,83.2,81.91,84.55,Very High
LGA12870,4610,532,27,51,6123,75.29,8.69,0.44,0.83,75.29,8.69,0.44,51,45.61,12899,646,1187,1592,1036,5882,17.61,51.86,80.74,False,46.87,False,77.51,False,40.67,64.8,79.12,65.69,47.82,High
