LGA_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
LGA54170,50982,4900,1483,120,60810,83.84,8.06,2.44,0.2,83.84,8.06,2.44,41,31.54,160003,906,2165,2528,34003,86272,39.41,92.39,96.96,True,89.01,True,88.99,True,49.91,74.91,87.43,92.07,100.0,Very High
LGA17420,48537,5313,5836,13,62824,77.26,8.46,9.29,0.02,77.26,8.46,9.29,38,25.75,191876,1033,2831,2990,58235,106451,54.71,94.87,97.95,True,87.55,True,84.95,False,49.44,74.44,87.07,91.48,99.82,Very High
LGA10750,98390,14480,8158,98,127688,77.06,11.34,6.39,0.08,77.06,11.34,6.39,34,20.58,396776,831,2107,2251,82709,191248,43.25,99.29,99.72,True,85.49,True,77.61,False,48.63,73.61,86.44,90.55,99.64,Very High
LGA55320,29265,7179,2067,4,41861,69.91,17.15,4.94,0.01,69.91,17.15,4.94,42,33.58,103523,909,2096,2654,31473,59574,52.83,86.37,94.5,False,88.37,True,90.36,True,49.62,74.62,87.22,90.31,99.45,Very High
LGA23670,47854,7959,1531,47,60403,79.22,13.18,2.53,0.08,79.22,13.18,2.53,40,30.78,159103,797,1884,2194,34547,83315,41.47,92.04,96.82,True,86.01,True,85.2,True,49.12,74.11,86.83,90.26,99.27,Very High
LGA21610,102149,9995,1007,122,117991,86.57,8.47,0.85,0.1,86.57,8.47,0.85,34,20.75,365239,783,1918,2045,57334,167206,34.29,98.94,99.58,True,86.57,True,75.71,False,48.51,73.49,86.35,90.23,99.09,Very High
LGA27450,52325,2919,313,216,59475,87.98,4.91,0.53,0.36,87.98,4.91,0.53,40,30.66,156068,808,1881,2203,26120,80367,32.5,91.5,96.6,True,85.16,True,85.03,True,48.97,73.96,86.71,89.83,98.91,Very High
LGA22750,89397,10866,2558,556,115839,77.17,9.38,2.21,0.48,77.17,9.38,2.21,39,31.51,271057,769,1592,2051,50113,140374,35.7,98.05,99.22,True,79.33,False,81.32,True,48.27,73.24,86.16,89.54,98.73,Very High
LGA20660,36197,7746,3636,40,51602,70.15,15.01,7.05,0.08,70.15,15.01,7.05,40,30.61,126236,915,2027,2521,36642,70544,51.94,89.03,95.61,True,85.27,True,86.68,True,49.02,74.01,86.75,89.48,98.55,Very High
LGA27260,79221,8421,2045,87,95935,82.58,8.78,2.13,0.09,82.58,8.78,2.13,32,15.19,292011,839,2023,2129,62325,143573,43.41,98.23,99.29,True,88.64,True,71.21,False,48.19,73.15,86.09,89.4,98.36,Very High
LGA36250,49276,6680,2559,170,63200,77.97,10.57,4.05,0.27,77.97,10.57,4.05,43,34.64,159222,786,1767,2131,23511,81214,28.95,92.21,96.88,True,78.45,True,87.58,True,48.53,73.51,86.37,89.01,98.18,Very High
LGA25710,19557,726,609,9,21915,89.24,3.31,2.78,0.04,89.24,3.31,2.78,42,31.34,62895,962,2476,2772,15895,34599,45.94,79.65,91.86,True,91.64,True,90.12,True,49.57,74.57,87.17,88.93,98.0,Very High
