SA1_CODE_2021,separate_house,semi_attached,flat_apartment,other_dwelling,total_dwellings,pct_separate,pct_semi_attached,pct_apartment,pct_other,pct_low_density,pct_medium_density,pct_high_density,median_age,pct_age_55_plus,total_population,median_personal_income,median_household_income,median_family_income,tertiary_qualified,total_qualified,pct_tertiary,urban_proximity_score,subdivision_potential_score,high_subdivision_potential,luxury_apartment_demand_score,high_luxury_demand,downsizing_wave_score,high_downsizing_potential,transform_prob_5yr,transform_prob_10yr,transform_prob_15yr,redevelopment_readiness_score,readiness_percentile,readiness_category
50301103533,234,33,0,0,295,79.32,11.19,0.0,0.0,79.32,11.19,0.0,46,38.06,804,1190,3524,4333,345,496,69.56,98.17,80.88,False,98.44,True,97.34,True,49.5,74.49,87.12,92.84,100.0,Very High
80109110401,233,13,0,0,254,91.73,5.12,0.0,0.0,91.73,5.12,0.0,48,40.09,676,1378,3524,3805,284,411,69.1,94.7,79.23,False,98.36,True,99.28,True,49.46,74.46,87.09,92.12,100.0,Very High
80109110702,192,5,0,0,212,90.57,2.36,0.0,0.0,90.57,2.36,0.0,49,39.36,625,1477,4700,4666,273,387,70.54,91.43,77.82,False,99.3,True,99.26,True,49.35,74.35,87.01,91.27,100.0,Very High
12601149647,191,22,0,0,217,88.02,10.14,0.0,0.0,88.02,10.14,0.0,46,37.36,645,1182,3718,4036,287,407,70.52,92.94,78.47,False,98.82,True,96.85,True,49.12,74.11,86.83,91.05,100.0,Very High
50704117713,243,7,0,0,286,84.97,2.45,0.0,0.0,84.97,2.45,0.0,53,48.28,727,1141,2931,3365,255,455,56.04,96.64,80.11,False,92.94,True,97.79,True,48.8,73.79,86.58,91.04,99.99,Very High
20802117740,166,22,20,0,225,73.78,9.78,8.89,0.0,73.78,9.78,8.89,50,46.78,746,1305,4620,4847,251,385,65.19,97.12,80.34,False,89.38,True,99.86,True,48.67,73.65,86.47,90.84,99.99,Very High
50301103011,224,5,0,0,244,91.8,2.05,0.0,0.0,91.8,2.05,0.0,44,29.07,774,1367,4767,4865,317,456,69.52,97.7,80.63,False,99.2,True,89.01,False,48.59,73.57,86.41,90.78,99.99,Very High
50301103410,192,5,0,0,206,93.2,2.43,0.0,0.0,93.2,2.43,0.0,52,45.21,606,1221,4512,4737,220,357,61.62,89.66,77.08,False,97.21,True,99.79,True,49.06,74.05,86.78,90.31,99.99,Very High
50301103513,203,4,0,0,215,94.42,1.86,0.0,0.0,94.42,1.86,0.0,45,33.91,637,1222,4022,4318,302,390,77.44,92.35,78.21,False,99.49,True,93.56,True,48.78,73.76,86.56,90.2,99.99,Very High
50502109624,370,25,23,0,446,82.96,5.61,5.16,0.0,82.96,5.61,5.16,44,31.88,1242,1024,3086,3511,485,729,66.53,99.77,82.39,False,91.62,True,90.19,True,48.12,73.08,86.04,90.12,99.99,Very High
11501129153,208,0,0,0,211,98.58,0.0,0.0,0.0,98.58,0.0,0.0,41,28.27,771,1281,4388,3750,286,460,62.17,97.63,80.59,False,97.35,True,88.03,False,48.26,73.23,86.15,90.05,99.98,Very High
50607114621,246,0,0,0,276,89.13,0.0,0.0,0.0,89.13,0.0,0.0,50,43.28,670,1072,2807,3384,241,429,56.18,94.4,79.1,False,92.4,True,97.28,True,48.53,73.5,86.36,90.03,99.98,Very High
50301103532,198,0,0,0,214,92.52,0.0,0.0,0.0,92.52,0.0,0.0,44,32.86,633,1483,4860,5083,290,398,72.86,92.06,78.09,False,99.59,True,92.81,True,48.68,73.67,86.49,89.94,99.98,Very High
30403109211,200,0,0,0,217,92.17,0.0,0.0,0.0,92.17,0.0,0.0,43,31.93,642,1455,4125,4662,284,379,74.93,92.72,78.37,False,99.44,True,91.63,True,48.57,73.55,86.4,89.82,99.98,Very High
12003168106,165,4,0,0,178,92.7,2.25,0.0,0.0,92.7,2.25,0.0,46,36.82,611,1004,3388,3374,243,352,69.03,90.16,77.29,False,98.14,True,95.92,True,48.75,73.74,86.54,89.73,99.98,Very High
12202142111,196,16,0,3,227,86.34,7.05,0.0,1.32,86.34,7.05,0.0,54,49.51,618,1181,3463,3791,214,394,54.31,90.83,77.57,False,93.94,True,99.23,True,48.69,73.68,86.49,89.73,99.98,Very High
10704114824,232,41,9,0,299,77.59,13.71,3.01,0.0,77.59,13.71,3.01,43,34.25,870,1161,3025,3517,290,524,55.34,98.82,81.27,False,89.97,True,92.31,True,48.0,72.96,85.94,89.71,99.97,Very High
50501107522,215,27,0,6,280,76.79,9.64,0.0,2.14,76.79,9.64,0.0,51,44.46,722,1159,2818,3365,188,403,46.65,96.49,80.04,False,88.29,True,97.32,True,48.2,73.17,86.1,89.71,99.97,Very High
30903123911,292,0,0,0,371,78.71,0.0,0.0,0.0,78.71,0.0,0.0,50,40.83,960,1271,3486,4055,181,568,31.87,99.32,81.65,False,82.02,False,99.25,True,47.94,72.9,85.89,89.68,99.97,Very High
11501129149,231,0,0,0,247,93.52,0.0,0.0,0.0,93.52,0.0,0.0,40,25.2,877,1235,4611,4374,293,497,58.95,98.88,81.31,False,96.39,True,85.05,False,47.91,72.86,85.86,89.53,99.97,Very High
