SA1_CODE_2021,SA2_CODE,SA3_CODE,total_commuters,total_car,total_public_transit,total_active_transport,car_dependency_ratio,public_transit_ratio,active_transport_ratio,total_population,sa2_employment,sa2_employment_density,sa3_employment,sa3_employment_density,car_dependency_score,commuter_volume_score,employment_proximity_score,transit_gap_score,tod_score,commute_pain_score,state,tod_category,car_dep_category,transit_category,investment_priority
10102100802,101021008,10102,246,237,0,3,0.9634146341463414,0.0,0.0121951219512195,574,4315,0.5066337912410473,35546,0.5486086459957095,96.34146341463416,94.89036931634436,81.13034409158527,96.34146341463416,92.86391132053744,5.307825348702563,NSW,Extreme (85-100),Extreme (>90%),,Priority 1
10102100808,101021008,10102,214,199,3,9,0.9299065420560748,0.014018691588785,0.0420560747663551,508,4315,0.5066337912410473,35546,0.5486086459957095,92.99065420560748,90.44612250177867,81.13034409158527,91.68704690365972,89.72487194145963,4.994191437371051,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 1
10102100813,101021008,10102,228,220,0,0,0.9649122807017544,0.0,0.0,421,4315,0.5066337912410473,35546,0.5486086459957095,96.49122807017544,92.74222236595304,81.13034409158527,96.49122807017544,92.29434956319068,5.243065091148828,NSW,Extreme (85-100),Extreme (>90%),,Priority 1
10102100814,101021008,10102,239,229,0,3,0.9581589958158996,0.0,0.0125523012552301,515,4315,0.5066337912410473,35546,0.5486086459957095,95.81589958158996,94.14817928982602,81.13034409158527,95.81589958158996,92.37847239605983,5.251323487218896,NSW,Extreme (85-100),Extreme (>90%),,Priority 1
10102100821,101021008,10102,216,213,0,3,0.9861111111111112,0.0,0.0138888888888888,454,4315,0.5066337912410473,35546,0.5486086459957095,98.61111111111111,90.80023931181684,81.13034409158527,98.61111111111111,92.77169616741767,5.305176556963509,NSW,Extreme (85-100),Extreme (>90%),,Priority 1
10102100907,101021009,10102,253,230,12,8,0.9090909090909092,0.0474308300395256,0.0316205533596837,514,6248,0.550872861929113,35546,0.5486086459957095,90.9090909090909,95.53149860940432,91.44217709074444,86.59719726913403,91.97124109151996,5.033940242744124,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
10102100908,101021009,10102,284,266,8,10,0.9366197183098592,0.028169014084507,0.0352112676056338,537,6248,0.550872861929113,35546,0.5486086459957095,93.66197183098592,97.50177866890888,91.44217709074444,91.02360642729616,94.10611839394556,5.294232823772751,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
10102100909,101021009,10102,315,277,22,11,0.8793650793650793,0.0698412698412698,0.0349206349206349,616,6248,0.550872861929113,35546,0.5486086459957095,87.93650793650794,98.48732294159498,91.44217709074444,81.79491055681531,91.1887265309121,5.061398708455792,NSW,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
10102100910,101021009,10102,274,254,14,6,0.927007299270073,0.0510948905109489,0.0218978102189781,564,6248,0.550872861929113,35546,0.5486086459957095,92.7007299270073,97.00455986029364,91.44217709074444,87.96419628110182,93.26651497515007,5.206787805866092,NSW,Extreme (85-100),Extreme (>90%),Low (5-10%),Priority 2
10102100911,101021009,10102,214,195,9,3,0.911214953271028,0.0420560747663551,0.014018691588785,455,6248,0.550872861929113,35546,0.5486086459957095,91.1214953271028,90.44612250177867,91.44217709074444,87.2892829068041,90.59979859020405,4.893805679835954,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
10102100913,101021009,10102,292,269,7,12,0.9212328767123288,0.023972602739726,0.0410958904109589,648,6248,0.550872861929113,35546,0.5486086459957095,92.12328767123287,97.82355604424036,91.44217709074444,89.91485269281291,93.47630256919544,5.232761752827368,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
10102100915,101021009,10102,361,342,3,12,0.9473684210526316,0.0083102493074792,0.0332409972299169,781,6248,0.550872861929113,35546,0.5486086459957095,94.73684210526316,99.26832028976132,91.44217709074444,93.94955532876511,95.35862388005906,5.581557674361257,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
10102100916,101021009,10102,204,186,5,9,0.9117647058823528,0.0245098039215686,0.0441176470588235,482,6248,0.550872861929113,35546,0.5486086459957095,91.17647058823528,88.44592846517043,91.44217709074444,88.94175317185697,90.18697751017984,4.85333262803796,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
10102100919,101021009,10102,235,200,15,14,0.851063829787234,0.0638297872340425,0.0595744680851063,524,6248,0.550872861929113,35546,0.5486086459957095,85.1063829787234,93.6630877692258,91.44217709074444,79.67406066093255,88.39732100649925,4.650069621298392,NSW,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
10102100921,101021009,10102,237,213,15,6,0.8987341772151899,0.0632911392405063,0.0253164556962025,410,6248,0.550872861929113,35546,0.5486086459957095,89.87341772151899,93.89512321324624,91.44217709074444,84.18522672648614,90.82486214337897,4.918116681400946,NSW,Extreme (85-100),Very High (80-90%),Low (5-10%),Priority 2
10102100925,101021009,10102,271,245,3,20,0.904059040590406,0.011070110701107,0.07380073800738,480,6248,0.550872861929113,35546,0.5486086459957095,90.40590405904058,96.84043722915725,91.44217709074444,89.40510069307335,92.44343827981965,5.067976037795274,NSW,Extreme (85-100),Extreme (>90%),Very Low (<5%),Priority 2
10102100929,101021009,10102,212,189,8,15,0.8915094339622641,0.0377358490566037,0.070754716981132,542,6248,0.550872861929113,35546,0.5486086459957095,89.15094339622641,90.09119720587285,91.44217709074444,85.78675685297259,89.55484762369856,4.779642543957931,NSW,Extreme (85-100),Very High (80-90%),Very Low (<5%),Priority 2
10102101006,101021010,10102,232,201,6,17,0.8663793103448276,0.0258620689655172,0.0732758620689655,497,2925,0.5752212389380531,35546,0.5486086459957095,86.63793103448276,93.2677381799366,93.34696979496798,84.39729488703924,89.7446173154716,4.722666936063387,NSW,Extreme (85-100),Very High (80-90%),Very Low (<5%),Priority 2
10102101008,101021010,10102,246,207,12,16,0.8414634146341463,0.048780487804878,0.065040650406504,527,2925,0.5752212389380531,35546,0.5486086459957095,84.14634146341463,94.89036931634436,93.34696979496798,80.04164187983342,88.7992055272461,4.6359487222845175,NSW,Extreme (85-100),Very High (80-90%),Very Low (<5%),Priority 2
10102101010,101021010,10102,208,196,0,9,0.9423076923076924,0.0,0.0432692307692307,405,2925,0.5752212389380531,35546,0.5486086459957095,94.23076923076924,89.30615742836815,93.34696979496798,94.23076923076924,92.57662580288866,5.034122660505303,NSW,Extreme (85-100),Extreme (>90%),,Priority 2
10102101015,101021010,10102,344,305,17,17,0.8866279069767442,0.0494186046511627,0.0494186046511627,641,2925,0.5752212389380531,35546,0.5486086459957095,88.66279069767442,99.04922061962355,93.34696979496798,84.28119929691725,92.27739635364216,5.181049555798154,NSW,Extreme (85-100),Very High (80-90%),Very Low (<5%),Priority 2
10102101017,101021010,10102,287,269,0,11,0.9372822299651568,0.0,0.0383275261324041,508,2925,0.5752212389380531,35546,0.5486086459957095,93.72822299651568,97.62790246426492,93.34696979496798,93.72822299651568,94.8218761965309,5.307792227026375,NSW,Extreme (85-100),Extreme (>90%),,Priority 2
